Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/0040r6f76 -> https://ror.org/000neg726,https://ror.org/0040r6f76,https://ror.org/000neg726,NZ,NZ,Wellington,Wellington,Victoria University of Wellington,Gillies McIndoe Research Institute,education,facility
319,https://ror.org/0040r6f76 -> https://ror.org/0040r6f76,https://ror.org/0040r6f76,https://ror.org/0040r6f76,NZ,NZ,Wellington,Wellington,Victoria University of Wellington,Victoria University of Wellington,education,education
19,https://ror.org/0040r6f76 -> https://ror.org/00t28mr39,https://ror.org/0040r6f76,https://ror.org/00t28mr39,NZ,NZ,Wellington,Wellington,Victoria University of Wellington,Crown Research Institutes,education,government
19,https://ror.org/0040r6f76 -> https://ror.org/00tsqex91,https://ror.org/0040r6f76,https://ror.org/00tsqex91,NZ,NZ,Wellington,Hamilton,Victoria University of Wellington,Te Pūkenga,education,education
2,https://ror.org/0040r6f76 -> https://ror.org/011bwkg92,https://ror.org/0040r6f76,https://ror.org/011bwkg92,NZ,NZ,Wellington,Lower Hutt,Victoria University of Wellington,Industrial Research Limited,education,government
4,https://ror.org/0040r6f76 -> https://ror.org/013fsnh78,https://ror.org/0040r6f76,https://ror.org/013fsnh78,NZ,NZ,Wellington,Hamilton,Victoria University of Wellington,University of Waikato,education,education
1,https://ror.org/0040r6f76 -> https://ror.org/0190e1q31,https://ror.org/0040r6f76,https://ror.org/0190e1q31,NZ,NZ,Wellington,Christchurch,Victoria University of Wellington,Antarctica New Zealand,education,facility
25,https://ror.org/0040r6f76 -> https://ror.org/01jmxt844,https://ror.org/0040r6f76,https://ror.org/01jmxt844,NZ,NZ,Wellington,Dunedin,Victoria University of Wellington,University of Otago,education,education
1,https://ror.org/0040r6f76 -> https://ror.org/01qjmkr85,https://ror.org/0040r6f76,https://ror.org/01qjmkr85,NZ,NZ,Wellington,Auckland,Victoria University of Wellington,Fonterra (New Zealand),education,company
2,https://ror.org/0040r6f76 -> https://ror.org/01zvqw119,https://ror.org/0040r6f76,https://ror.org/01zvqw119,NZ,NZ,Wellington,Auckland,Victoria University of Wellington,Auckland University of Technology,education,education
