OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.99999993032415,https://ror.org/017g3c465,PA,Panamá,Universidad Metropolitana de Ciencia y Tecnología,education
0.6404667647145225,https://ror.org/03mx33742,PA,Panamá,Universidad de Santander,education
0.0,https://ror.org/02yh39302,PA,Panama City,Delphi University,education
0.0,https://ror.org/04b28td81,PA,Panamá,Latin University of Panama,education
-5.420945458892341e-07,https://ror.org/0070j0q91,PA,Panama City,Universidad de Panamá,education
-0.30980623975641325,https://ror.org/01z110311,PA,Panamá,Universidad Especializada de las Américas,education
-0.3595339289847028,https://ror.org/030ve2c48,PA,Panama City,Universidad Tecnológica de Panamá,education
-0.40246538614322297,https://ror.org/0085ewn55,PA,Panamá,Universidad del Istmo,education
-0.9999985633523558,https://ror.org/019ev8b82,PA,Panama City,Instituto Conmemorativo Gorgas de Estudios de la Salud,facility
-0.9999985633523558,https://ror.org/03nye1643,PA,Panamá,Complejo Hospitalario Dr. Arnulfo Arias Madrid,healthcare
-0.9999985633523558,https://ror.org/04ngphv84,PA,Panama City,Instituto de Investigaciones Científicas y Servicios de Alta Tecnología,facility
-1.1198445574281704,https://ror.org/05s3rh916,PA,David,Universidad Autónoma de Chiriquí,education
-1.1341550863583982,https://ror.org/03grmx823,PA,Panamá,Universidad Interamericana de Panamá,education
-1.214361135693895,https://ror.org/02x62qd57,PA,Panamá,Universidad Católica Santa María La Antigua,education
-1.334669410735161,https://ror.org/03gat5t60,PA,Panama City,"Secretaría Nacional de Ciencia, Tecnología e Innovación",government
