Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
20,https://ror.org/0070j0q91 -> https://ror.org/0070j0q91,https://ror.org/0070j0q91,https://ror.org/0070j0q91,PA,PA,Panama City,Panama City,Universidad de Panamá,Universidad de Panamá,education,education
5,https://ror.org/0070j0q91 -> https://ror.org/0085ewn55,https://ror.org/0070j0q91,https://ror.org/0085ewn55,PA,PA,Panama City,Panamá,Universidad de Panamá,Universidad del Istmo,education,education
1,https://ror.org/0070j0q91 -> https://ror.org/019ev8b82,https://ror.org/0070j0q91,https://ror.org/019ev8b82,PA,PA,Panama City,Panama City,Universidad de Panamá,Instituto Conmemorativo Gorgas de Estudios de la Salud,education,facility
2,https://ror.org/0070j0q91 -> https://ror.org/01z110311,https://ror.org/0070j0q91,https://ror.org/01z110311,PA,PA,Panama City,Panamá,Universidad de Panamá,Universidad Especializada de las Américas,education,education
2,https://ror.org/0070j0q91 -> https://ror.org/02x62qd57,https://ror.org/0070j0q91,https://ror.org/02x62qd57,PA,PA,Panama City,Panamá,Universidad de Panamá,Universidad Católica Santa María La Antigua,education,education
1,https://ror.org/0070j0q91 -> https://ror.org/030ve2c48,https://ror.org/0070j0q91,https://ror.org/030ve2c48,PA,PA,Panama City,Panama City,Universidad de Panamá,Universidad Tecnológica de Panamá,education,education
2,https://ror.org/0070j0q91 -> https://ror.org/03grmx823,https://ror.org/0070j0q91,https://ror.org/03grmx823,PA,PA,Panama City,Panamá,Universidad de Panamá,Universidad Interamericana de Panamá,education,education
1,https://ror.org/0070j0q91 -> https://ror.org/03nye1643,https://ror.org/0070j0q91,https://ror.org/03nye1643,PA,PA,Panama City,Panamá,Universidad de Panamá,Complejo Hospitalario Dr. Arnulfo Arias Madrid,education,healthcare
1,https://ror.org/0070j0q91 -> https://ror.org/04ngphv84,https://ror.org/0070j0q91,https://ror.org/04ngphv84,PA,PA,Panama City,Panama City,Universidad de Panamá,Instituto de Investigaciones Científicas y Servicios de Alta Tecnología,education,facility
2,https://ror.org/0070j0q91 -> https://ror.org/05s3rh916,https://ror.org/0070j0q91,https://ror.org/05s3rh916,PA,PA,Panama City,David,Universidad de Panamá,Universidad Autónoma de Chiriquí,education,education
1,https://ror.org/0085ewn55 -> https://ror.org/0070j0q91,https://ror.org/0085ewn55,https://ror.org/0070j0q91,PA,PA,Panamá,Panama City,Universidad del Istmo,Universidad de Panamá,education,education
1,https://ror.org/0085ewn55 -> https://ror.org/0085ewn55,https://ror.org/0085ewn55,https://ror.org/0085ewn55,PA,PA,Panamá,Panamá,Universidad del Istmo,Universidad del Istmo,education,education
1,https://ror.org/0085ewn55 -> https://ror.org/02x62qd57,https://ror.org/0085ewn55,https://ror.org/02x62qd57,PA,PA,Panamá,Panamá,Universidad del Istmo,Universidad Católica Santa María La Antigua,education,education
2,https://ror.org/0085ewn55 -> https://ror.org/030ve2c48,https://ror.org/0085ewn55,https://ror.org/030ve2c48,PA,PA,Panamá,Panama City,Universidad del Istmo,Universidad Tecnológica de Panamá,education,education
1,https://ror.org/0085ewn55 -> https://ror.org/03grmx823,https://ror.org/0085ewn55,https://ror.org/03grmx823,PA,PA,Panamá,Panamá,Universidad del Istmo,Universidad Interamericana de Panamá,education,education
3,https://ror.org/017g3c465 -> https://ror.org/0070j0q91,https://ror.org/017g3c465,https://ror.org/0070j0q91,PA,PA,Panamá,Panama City,Universidad Metropolitana de Ciencia y Tecnología,Universidad de Panamá,education,education
1,https://ror.org/017g3c465 -> https://ror.org/017g3c465,https://ror.org/017g3c465,https://ror.org/017g3c465,PA,PA,Panamá,Panamá,Universidad Metropolitana de Ciencia y Tecnología,Universidad Metropolitana de Ciencia y Tecnología,education,education
1,https://ror.org/019ev8b82 -> https://ror.org/019ev8b82,https://ror.org/019ev8b82,https://ror.org/019ev8b82,PA,PA,Panama City,Panama City,Instituto Conmemorativo Gorgas de Estudios de la Salud,Instituto Conmemorativo Gorgas de Estudios de la Salud,facility,facility
1,https://ror.org/01z110311 -> https://ror.org/0070j0q91,https://ror.org/01z110311,https://ror.org/0070j0q91,PA,PA,Panamá,Panama City,Universidad Especializada de las Américas,Universidad de Panamá,education,education
2,https://ror.org/01z110311 -> https://ror.org/01z110311,https://ror.org/01z110311,https://ror.org/01z110311,PA,PA,Panamá,Panamá,Universidad Especializada de las Américas,Universidad Especializada de las Américas,education,education
1,https://ror.org/01z110311 -> https://ror.org/02x62qd57,https://ror.org/01z110311,https://ror.org/02x62qd57,PA,PA,Panamá,Panamá,Universidad Especializada de las Américas,Universidad Católica Santa María La Antigua,education,education
1,https://ror.org/01z110311 -> https://ror.org/03gat5t60,https://ror.org/01z110311,https://ror.org/03gat5t60,PA,PA,Panamá,Panama City,Universidad Especializada de las Américas,"Secretaría Nacional de Ciencia, Tecnología e Innovación",education,government
1,https://ror.org/02x62qd57 -> https://ror.org/02x62qd57,https://ror.org/02x62qd57,https://ror.org/02x62qd57,PA,PA,Panamá,Panamá,Universidad Católica Santa María La Antigua,Universidad Católica Santa María La Antigua,education,education
1,https://ror.org/02yh39302 -> https://ror.org/02yh39302,https://ror.org/02yh39302,https://ror.org/02yh39302,PA,PA,Panama City,Panama City,Delphi University,Delphi University,education,education
1,https://ror.org/030ve2c48 -> https://ror.org/0070j0q91,https://ror.org/030ve2c48,https://ror.org/0070j0q91,PA,PA,Panama City,Panama City,Universidad Tecnológica de Panamá,Universidad de Panamá,education,education
1,https://ror.org/030ve2c48 -> https://ror.org/0085ewn55,https://ror.org/030ve2c48,https://ror.org/0085ewn55,PA,PA,Panama City,Panamá,Universidad Tecnológica de Panamá,Universidad del Istmo,education,education
1,https://ror.org/030ve2c48 -> https://ror.org/02x62qd57,https://ror.org/030ve2c48,https://ror.org/02x62qd57,PA,PA,Panama City,Panamá,Universidad Tecnológica de Panamá,Universidad Católica Santa María La Antigua,education,education
9,https://ror.org/030ve2c48 -> https://ror.org/030ve2c48,https://ror.org/030ve2c48,https://ror.org/030ve2c48,PA,PA,Panama City,Panama City,Universidad Tecnológica de Panamá,Universidad Tecnológica de Panamá,education,education
1,https://ror.org/030ve2c48 -> https://ror.org/03gat5t60,https://ror.org/030ve2c48,https://ror.org/03gat5t60,PA,PA,Panama City,Panama City,Universidad Tecnológica de Panamá,"Secretaría Nacional de Ciencia, Tecnología e Innovación",education,government
1,https://ror.org/030ve2c48 -> https://ror.org/05s3rh916,https://ror.org/030ve2c48,https://ror.org/05s3rh916,PA,PA,Panama City,David,Universidad Tecnológica de Panamá,Universidad Autónoma de Chiriquí,education,education
1,https://ror.org/03mx33742 -> https://ror.org/030ve2c48,https://ror.org/03mx33742,https://ror.org/030ve2c48,PA,PA,Panamá,Panama City,Universidad de Santander,Universidad Tecnológica de Panamá,education,education
1,https://ror.org/04b28td81 -> https://ror.org/04b28td81,https://ror.org/04b28td81,https://ror.org/04b28td81,PA,PA,Panamá,Panamá,Latin University of Panama,Latin University of Panama,education,education
1,https://ror.org/04ngphv84 -> https://ror.org/04ngphv84,https://ror.org/04ngphv84,https://ror.org/04ngphv84,PA,PA,Panama City,Panama City,Instituto de Investigaciones Científicas y Servicios de Alta Tecnología,Instituto de Investigaciones Científicas y Servicios de Alta Tecnología,facility,facility
