OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.7635013225042285,https://ror.org/00mtrzx11,PE,Lima,Hospital Nacional Cayetano Heredia,healthcare
0.7635013225042285,https://ror.org/01jgs5r19,PE,Pucallpa,Universidad Privada de Pucallpa,education
0.6117991118278654,https://ror.org/01897f782,PE,Juliaca,Universidad Nacional de Juliaca,education
0.3141660995848722,https://ror.org/014pqsx51,PE,Tacna,Universidad Privada de Tacna,education
0.11688915311674654,https://ror.org/01h558915,PE,Chiclayo,Universidad Católica Santo Toribio de Mogrovejo,education
0.1031296731267947,https://ror.org/03wbarw78,PE,Tumbes,Universidad Nacional de Tumbes,education
0.02102779697102057,https://ror.org/01fefmh69,PE,Lima,Universidad Jaime Bausate y Meza,education
0.011817339248855575,https://ror.org/03yczjf25,PE,Lima,Universidad Peruana Cayetano Heredia,education
0.0064835045784269315,https://ror.org/05dm6rc87,PE,Lima,Esan University,education
1.403572463443995e-05,https://ror.org/00013q465,PE,Lima,Pontifical Catholic University of Peru,education
0.0,https://ror.org/042gckq23,PE,Lima,Peruvian Union University,education
-0.0611511795262138,https://ror.org/015wdp703,PE,Lima,Federico Villarreal National University,education
-0.07738448261157123,https://ror.org/0297axj39,PE,Trujillo,Universidad César Vallejo,education
-0.08407000687231134,https://ror.org/001b4cb05,PE,Trujillo,National University of Trujillo,education
-0.13440423402863266,https://ror.org/047xrr705,PE,Lima,Peruvian University of Applied Sciences,education
-0.13935588154837644,https://ror.org/05mr3e010,PE,Huánuco,Universidad Nacional Hermilio Valdizán,education
-0.1565458243447607,https://ror.org/00vr49948,PE,Lima,National Agrarian University,education
-0.17712734324653684,https://ror.org/03db1hz44,PE,Arequipa,Universidad Católica San Pablo,education
-0.1951991178124356,https://ror.org/03eek8g24,PE,Trujillo,Antenor Orrego Private University,education
-0.20734750510115477,https://ror.org/03svsaq22,PE,Lima,Universidad Inca Garcilaso de la Vega,education
-0.23096006697408097,https://ror.org/00fx5h019,PE,Juliaca,Universidad Andina Néstor Cáceres Velásquez,education
-0.23487214222048863,https://ror.org/03zmnt269,PE,Chimbote,Universidad Nacional del Santa,education
-0.23659362114784108,https://ror.org/006vs7897,PE,Lima,National University of San Marcos,education
-0.24355265252940755,https://ror.org/031vfrf75,PE,Piura,Universidad Nacional de Piura,education
-0.2785732097433678,https://ror.org/040hbk441,PE,Lambayeque,Universidad Nacional Pedro Ruíz Gallo,education
-0.3290128779428299,https://ror.org/02rp4gd98,PE,Pucallpa,Universidad Nacional de Ucayali,education
-0.3381164713581867,https://ror.org/01fgscm92,PE,Huánuco,Universidad de Huánuco,education
-0.35690576364001697,https://ror.org/03deqdj72,PE,Lima,Universidad de San Martín de Porres,education
-0.3608083914047555,https://ror.org/03kqcyw85,PE,Puno,Universidad Nacional del Altiplano,education
-0.3634312661979353,https://ror.org/028gydn91,PE,Ica,Saint Aloysius Gonzaga National University,education
-0.3724648861060775,https://ror.org/0319nzt45,PE,Tingo María,Universidad Nacional Agraria de la Selva,education
-0.37995429727380575,https://ror.org/00sxy8533,PE,Arequipa,Universidad La Salle,education
-0.3940553299647622,https://ror.org/02shjm398,PE,Pucallpa,Universidad Nacional Intercultural de la Amazonía,education
-0.4126406571187389,https://ror.org/03vgk3f90,PE,Lima,Universidad San Ignacio de Loyola,education
-0.4156153119129281,https://ror.org/03n96hw58,PE,Cerro de Pasco,Daniel Alcides Carrión National University,education
-0.4156511009222043,https://ror.org/00s582s04,PE,Lima,Universidad Alas Peruanas,education
-0.4161723570223909,https://ror.org/04e8qfh32,PE,Lima,Universidad Marcelino Champagnat,education
-0.4264522375390172,https://ror.org/0431avj27,PE,Lima,National University of Education Enrique Guzmán y Valle,education
-0.45126959601546973,https://ror.org/023ycer62,PE,Provincia de Huanta,Universidad Nacional Autónoma de Huanta,education
-0.4871271349649437,https://ror.org/008d6q968,PE,Huancayo,Universidad Nacional del Centro del Perú,education
-0.5155894651158405,https://ror.org/02h7fsz12,PE,Tarapoto,Universidad Nacional de San Martín,education
-0.5347792407019782,https://ror.org/04abrpb32,PE,Lima,Universidad Norbert Wiener,education
-0.5790386122503636,https://ror.org/05akw7810,PE,Chiclayo,Universidad de Lambayeque,education
-0.5800712798848665,https://ror.org/00zd77s10,PE,Lima,Ministerio de Educación del Perú,government
-0.5938117679626614,https://ror.org/006v63s16,PE,Lima,National University of Engineering,education
-0.5961735142398096,https://ror.org/040gykh71,PE,Lima,Universidad de Ingeniería y Tecnología,education
-0.6390555476334109,https://ror.org/02mb17771,PE,Lima,Universidad Ricardo Palma,education
-0.6504929450392503,https://ror.org/03sdg3x20,PE,Lima,Universidad Femenina del Sagrado Corazón,education
-0.6541817869054771,https://ror.org/03w7bgm07,PE,Huaraz,Universidad Nacional Santiago Antúnez de Mayolo,education
-0.6573005554364361,https://ror.org/02nv8wk59,PE,Lima,Universidad Antonio Ruiz de Montoya,education
-0.6927220660376177,https://ror.org/040akr227,PE,Huacho,Universidad Nacional José Faustino Sánchez Carrión,education
-0.7579150497251098,https://ror.org/01d03q474,PE,Callao,National University of Callao,education
-0.7671894887155025,https://ror.org/05rcf8d17,PE,Huancayo,Universidad Continental,education
-0.7713932816139262,https://ror.org/03fehwj53,PE,Chimbote,Universidad San Pedro,education
-0.7813586940387043,https://ror.org/053zbv090,PE,Lima,Facultad de Teología Pontificia y Civil de Lima,education
-0.7978262165962007,https://ror.org/05p4rzq96,PE,Chiclayo,Universidad Señor de Sipán,education
-0.8213613636976251,https://ror.org/01e9gfg41,PE,Arequipa,National University of Saint Augustine,education
-0.8266344805268286,https://ror.org/03n7nwh86,PE,Lima,Universidad Católica Sedes Sapientiae,education
-0.8313687084620603,https://ror.org/009kktb11,PE,Huancayo,Los Andes Peruvian University,education
-0.8414494643226571,https://ror.org/03hefp680,PE,Huancavelica,Universidad Nacional de Huancavelica,education
-0.8586975222123953,https://ror.org/004fs0e42,PE,Cajamarca,National University of Cajamarca,education
-0.8838427547947025,https://ror.org/01h1szm41,PE,Chiclayo,Universidad de Chiclayo,education
-0.8922504086767279,https://ror.org/05h6yvy73,PE,Iquitos,Universidad Nacional de la Amazonía Peruana,education
-0.9143009672412747,https://ror.org/0232mk144,PE,Lima,EsSALUD,other
-0.9469399287578765,https://ror.org/04ytrqw44,PE,Lima,Universidad Privada San Juan Bautista,education
-0.9576445738356588,https://ror.org/0406pmf58,PE,Lima,Universidad Tecnológica del Perú,education
-0.9881241525132008,https://ror.org/02bm24g42,PE,Lima,Asociación Civil Impacta Salud y Educación,nonprofit
-0.9881241525132008,https://ror.org/04bk2qw80,PE,Lima,Instituto Peruano de Energía Nuclear,government
-0.9945035724306192,https://ror.org/02e838q34,PE,Lima,Instituto Nacional de Estadística e Informática,government
-1.0470392735134262,https://ror.org/0323wfn23,PE,Chachapoyas,National University Toribio Rodríguez de Mendoza,education
-1.0611153513481533,https://ror.org/00yty3s07,PE,Lima,Universidad Nacional Tecnológica de Lima Sur,education
-1.069232389904251,https://ror.org/022sn3k05,PE,Lima,Universidad Peruana de Ciencias e Informática,education
-1.069232389904251,https://ror.org/054rm6z62,PE,Chimbote,Catholic University Los Angeles of Chimbote,education
-1.0773238420782347,https://ror.org/017bd4h68,PE,Sullana,Universidad Nacional de Frontera,education
-1.083519474489822,https://ror.org/004qcrr52,PE,Lima,Instituto Nacional de Innovación Agraria,government
-1.0840257698464237,https://ror.org/04xf1tw93,PE,Lima,Superintendencia Nacional de Aduanas y de Administración Tributaria,government
-1.0840257698464237,https://ror.org/05e2jbm26,PE,Cajamarca,Universidad Privada Antonio Guillermo Urrelo,education
-1.0840361412252772,https://ror.org/010ywy128,PE,Iquitos,Instituto de Investigaciones de la Amazonía Peruana,facility
-1.0865345125882568,https://ror.org/0087jna26,PE,Tacna,Jorge Basadre Grohmann National University,education
-1.103887323224322,https://ror.org/03gsd6w61,PE,Cusco,National University of Saint Anthony the Abbot in Cuzco,education
-1.1059859455115584,https://ror.org/028w3g135,PE,Moquegua,Universidad José Carlos Mariategui,education
-1.1123531110710891,https://ror.org/00tfqpy41,PE,Lima,Servicio Nacional de Sanidad Agraria,government
