Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
23,https://ror.org/00013q465 -> https://ror.org/00013q465,https://ror.org/00013q465,https://ror.org/00013q465,PE,PE,Lima,Lima,Pontifical Catholic University of Peru,Pontifical Catholic University of Peru,education,education
2,https://ror.org/00013q465 -> https://ror.org/006v63s16,https://ror.org/00013q465,https://ror.org/006v63s16,PE,PE,Lima,Lima,Pontifical Catholic University of Peru,National University of Engineering,education,education
6,https://ror.org/00013q465 -> https://ror.org/006vs7897,https://ror.org/00013q465,https://ror.org/006vs7897,PE,PE,Lima,Lima,Pontifical Catholic University of Peru,National University of San Marcos,education,education
1,https://ror.org/00013q465 -> https://ror.org/01751w114,https://ror.org/00013q465,https://ror.org/01751w114,PE,PE,Lima,Lima,Pontifical Catholic University of Peru,University of Lima,education,education
1,https://ror.org/00013q465 -> https://ror.org/0297axj39,https://ror.org/00013q465,https://ror.org/0297axj39,PE,PE,Lima,Trujillo,Pontifical Catholic University of Peru,Universidad César Vallejo,education,education
1,https://ror.org/00013q465 -> https://ror.org/02mb17771,https://ror.org/00013q465,https://ror.org/02mb17771,PE,PE,Lima,Lima,Pontifical Catholic University of Peru,Universidad Ricardo Palma,education,education
2,https://ror.org/00013q465 -> https://ror.org/03deqdj72,https://ror.org/00013q465,https://ror.org/03deqdj72,PE,PE,Lima,Lima,Pontifical Catholic University of Peru,Universidad de San Martín de Porres,education,education
1,https://ror.org/00013q465 -> https://ror.org/03gsd6w61,https://ror.org/00013q465,https://ror.org/03gsd6w61,PE,PE,Lima,Cusco,Pontifical Catholic University of Peru,National University of Saint Anthony the Abbot in Cuzco,education,education
1,https://ror.org/00013q465 -> https://ror.org/03sdg3x20,https://ror.org/00013q465,https://ror.org/03sdg3x20,PE,PE,Lima,Lima,Pontifical Catholic University of Peru,Universidad Femenina del Sagrado Corazón,education,education
1,https://ror.org/00013q465 -> https://ror.org/040hbk441,https://ror.org/00013q465,https://ror.org/040hbk441,PE,PE,Lima,Lambayeque,Pontifical Catholic University of Peru,Universidad Nacional Pedro Ruíz Gallo,education,education
1,https://ror.org/00013q465 -> https://ror.org/04xr5we72,https://ror.org/00013q465,https://ror.org/04xr5we72,PE,PE,Lima,Lima,Pontifical Catholic University of Peru,Universidad Científica del Sur,education,education
1,https://ror.org/00013q465 -> https://ror.org/05h6yvy73,https://ror.org/00013q465,https://ror.org/05h6yvy73,PE,PE,Lima,Iquitos,Pontifical Catholic University of Peru,Universidad Nacional de la Amazonía Peruana,education,education
31,https://ror.org/001b4cb05 -> https://ror.org/001b4cb05,https://ror.org/001b4cb05,https://ror.org/001b4cb05,PE,PE,Trujillo,Trujillo,National University of Trujillo,National University of Trujillo,education,education
1,https://ror.org/001b4cb05 -> https://ror.org/004fs0e42,https://ror.org/001b4cb05,https://ror.org/004fs0e42,PE,PE,Trujillo,Cajamarca,National University of Trujillo,National University of Cajamarca,education,education
2,https://ror.org/001b4cb05 -> https://ror.org/006vs7897,https://ror.org/001b4cb05,https://ror.org/006vs7897,PE,PE,Trujillo,Lima,National University of Trujillo,National University of San Marcos,education,education
1,https://ror.org/001b4cb05 -> https://ror.org/009kktb11,https://ror.org/001b4cb05,https://ror.org/009kktb11,PE,PE,Trujillo,Huancayo,National University of Trujillo,Los Andes Peruvian University,education,education
1,https://ror.org/001b4cb05 -> https://ror.org/00s582s04,https://ror.org/001b4cb05,https://ror.org/00s582s04,PE,PE,Trujillo,Lima,National University of Trujillo,Universidad Alas Peruanas,education,education
1,https://ror.org/001b4cb05 -> https://ror.org/00vr49948,https://ror.org/001b4cb05,https://ror.org/00vr49948,PE,PE,Trujillo,Lima,National University of Trujillo,National Agrarian University,education,education
2,https://ror.org/001b4cb05 -> https://ror.org/010ywy128,https://ror.org/001b4cb05,https://ror.org/010ywy128,PE,PE,Trujillo,Iquitos,National University of Trujillo,Instituto de Investigaciones de la Amazonía Peruana,education,facility
1,https://ror.org/001b4cb05 -> https://ror.org/015wdp703,https://ror.org/001b4cb05,https://ror.org/015wdp703,PE,PE,Trujillo,Lima,National University of Trujillo,Federico Villarreal National University,education,education
7,https://ror.org/001b4cb05 -> https://ror.org/0297axj39,https://ror.org/001b4cb05,https://ror.org/0297axj39,PE,PE,Trujillo,Trujillo,National University of Trujillo,Universidad César Vallejo,education,education
1,https://ror.org/001b4cb05 -> https://ror.org/02rp4gd98,https://ror.org/001b4cb05,https://ror.org/02rp4gd98,PE,PE,Trujillo,Pucallpa,National University of Trujillo,Universidad Nacional de Ucayali,education,education
3,https://ror.org/001b4cb05 -> https://ror.org/031vfrf75,https://ror.org/001b4cb05,https://ror.org/031vfrf75,PE,PE,Trujillo,Piura,National University of Trujillo,Universidad Nacional de Piura,education,education
2,https://ror.org/001b4cb05 -> https://ror.org/03eek8g24,https://ror.org/001b4cb05,https://ror.org/03eek8g24,PE,PE,Trujillo,Trujillo,National University of Trujillo,Antenor Orrego Private University,education,education
1,https://ror.org/001b4cb05 -> https://ror.org/04xf1tw93,https://ror.org/001b4cb05,https://ror.org/04xf1tw93,PE,PE,Trujillo,Lima,National University of Trujillo,Superintendencia Nacional de Aduanas y de Administración Tributaria,education,government
