Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
51,https://ror.org/002rc4w13 -> https://ror.org/002rc4w13,https://ror.org/002rc4w13,https://ror.org/002rc4w13,PK,PK,Bahawalpur,Bahawalpur,Islamia University of Bahawalpur,Islamia University of Bahawalpur,education,education
2,https://ror.org/002rc4w13 -> https://ror.org/0086rpr26,https://ror.org/002rc4w13,https://ror.org/0086rpr26,PK,PK,Bahawalpur,Sargodha,Islamia University of Bahawalpur,University of Sargodha,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/008dh2426,https://ror.org/002rc4w13,https://ror.org/008dh2426,PK,PK,Bahawalpur,Islamabad,Islamia University of Bahawalpur,National University of Modern Languages,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/00g325k81,https://ror.org/002rc4w13,https://ror.org/00g325k81,PK,PK,Bahawalpur,Lahore,Islamia University of Bahawalpur,University of Veterinary and Animal Sciences,education,education
3,https://ror.org/002rc4w13 -> https://ror.org/00nqqvk19,https://ror.org/002rc4w13,https://ror.org/00nqqvk19,PK,PK,Bahawalpur,Islamabad,Islamia University of Bahawalpur,COMSATS University Islamabad,education,education
2,https://ror.org/002rc4w13 -> https://ror.org/00vmr6593,https://ror.org/002rc4w13,https://ror.org/00vmr6593,PK,PK,Bahawalpur,Multan,Islamia University of Bahawalpur,Muhammad Nawaz Shareef University of Agriculture,education,education
2,https://ror.org/002rc4w13 -> https://ror.org/00ya1zd25,https://ror.org/002rc4w13,https://ror.org/00ya1zd25,PK,PK,Bahawalpur,Lahore,Islamia University of Bahawalpur,Virtual University of Pakistan,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/00yh88643,https://ror.org/002rc4w13,https://ror.org/00yh88643,PK,PK,Bahawalpur,Lahore,Islamia University of Bahawalpur,Superior University,education,education
3,https://ror.org/002rc4w13 -> https://ror.org/011maz450,https://ror.org/002rc4w13,https://ror.org/011maz450,PK,PK,Bahawalpur,Lahore,Islamia University of Bahawalpur,University of the Punjab,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/0130a6s10,https://ror.org/002rc4w13,https://ror.org/0130a6s10,PK,PK,Bahawalpur,Islamabad,Islamia University of Bahawalpur,Foundation University Islamabad,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/0161dyt30,https://ror.org/002rc4w13,https://ror.org/0161dyt30,PK,PK,Bahawalpur,Rahim Yar Khan,Islamia University of Bahawalpur,Khwaja Fareed University of Engineering and Information Technology,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/01xe5fb92,https://ror.org/002rc4w13,https://ror.org/01xe5fb92,PK,PK,Bahawalpur,Gujrat,Islamia University of Bahawalpur,University of Gujrat,education,education
6,https://ror.org/002rc4w13 -> https://ror.org/01zp49f50,https://ror.org/002rc4w13,https://ror.org/01zp49f50,PK,PK,Bahawalpur,Bahawalnagar,Islamia University of Bahawalpur,Government Sadiq College Women University,education,education
2,https://ror.org/002rc4w13 -> https://ror.org/023a7t361,https://ror.org/002rc4w13,https://ror.org/023a7t361,PK,PK,Bahawalpur,Dera Ghazi Khan,Islamia University of Bahawalpur,Ghazi University,education,education
2,https://ror.org/002rc4w13 -> https://ror.org/0262vjy29,https://ror.org/002rc4w13,https://ror.org/0262vjy29,PK,PK,Bahawalpur,Lahore,Islamia University of Bahawalpur,Government of Punjab,education,government
1,https://ror.org/002rc4w13 -> https://ror.org/02e4fn963,https://ror.org/002rc4w13,https://ror.org/02e4fn963,PK,PK,Bahawalpur,Sahiwal,Islamia University of Bahawalpur,University of Sahiwal,education,education
3,https://ror.org/002rc4w13 -> https://ror.org/02v8d7770,https://ror.org/002rc4w13,https://ror.org/02v8d7770,PK,PK,Bahawalpur,Islamabad,Islamia University of Bahawalpur,Bahria University,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/030dak672,https://ror.org/002rc4w13,https://ror.org/030dak672,PK,PK,Bahawalpur,Faisalabad,Islamia University of Bahawalpur,National Textile University,education,education
3,https://ror.org/002rc4w13 -> https://ror.org/035ggvj17,https://ror.org/002rc4w13,https://ror.org/035ggvj17,PK,PK,Bahawalpur,Multan,Islamia University of Bahawalpur,The Women University Multan,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/03dd8b657,https://ror.org/002rc4w13,https://ror.org/03dd8b657,PK,PK,Bahawalpur,Islamabad,Islamia University of Bahawalpur,Mohi-ud-Din Islamic University,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/03yfe9v83,https://ror.org/002rc4w13,https://ror.org/03yfe9v83,PK,PK,Bahawalpur,Islamabad,Islamia University of Bahawalpur,Air University,education,education
2,https://ror.org/002rc4w13 -> https://ror.org/040gec961,https://ror.org/002rc4w13,https://ror.org/040gec961,PK,PK,Bahawalpur,Lahore,Islamia University of Bahawalpur,"Government College University, Lahore",education,education
1,https://ror.org/002rc4w13 -> https://ror.org/047w75g40,https://ror.org/002rc4w13,https://ror.org/047w75g40,PK,PK,Bahawalpur,Islamabad,Islamia University of Bahawalpur,"International Islamic University, Islamabad",education,education
1,https://ror.org/002rc4w13 -> https://ror.org/04g0mqe67,https://ror.org/002rc4w13,https://ror.org/04g0mqe67,PK,PK,Bahawalpur,Lahore,Islamia University of Bahawalpur,University of Central Punjab,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/04s9hft57,https://ror.org/002rc4w13,https://ror.org/04s9hft57,PK,PK,Bahawalpur,Islamabad,Islamia University of Bahawalpur,Quaid-i-Azam University,education,education
1,https://ror.org/002rc4w13 -> https://ror.org/04v893f23,https://ror.org/002rc4w13,https://ror.org/04v893f23,PK,PK,Bahawalpur,Lahore,Islamia University of Bahawalpur,Forman Christian College,education,education
3,https://ror.org/002rc4w13 -> https://ror.org/051jrjw38,https://ror.org/002rc4w13,https://ror.org/051jrjw38,PK,PK,Bahawalpur,Lahore,Islamia University of Bahawalpur,University of Lahore,education,education
