OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.2842975645576704,https://ror.org/01e0qt032,PL,Warsaw,Polish Institute of International Affairs,nonprofit
2.2842975645576704,https://ror.org/02fne8r97,PL,Gdynia,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,education
2.2842975645576704,https://ror.org/03pjs2912,PL,Warsaw,Warsaw University of Technology Business School,education
2.2842975645576704,https://ror.org/0431cb905,PL,Warsaw,Instytut Gruźlicy i Chorób Płuc,facility
2.268212126024709,https://ror.org/03x0yya69,PL,Łódź,Central Institute for Labour Protection,facility
2.2107447582587083,https://ror.org/03s5jv345,PL,Sosnowiec,Humanitas University in Sosnowiec,education
2.1515811047902678,https://ror.org/048zd9m77,PL,Warsaw,Foundation for Polish Science,nonprofit
2.0244621105792366,https://ror.org/0310y6579,PL,Rzeszów,Rzeszów School of Engineering and Economics,education
2.005452621063411,https://ror.org/0108chx74,PL,Katowice,Karol Szymanowski Academy of Music,education
1.9269999184176632,https://ror.org/00w3hap50,PL,Warsaw,Instytut Chemii i Techniki Jądrowej,facility
1.8948805317087607,https://ror.org/003rage82,PL,Nowy Sącz,National-Louis University,education
1.8948805317087607,https://ror.org/04vd30725,PL,Radom,Radom Academy of Social and Technical Sciences,education
1.8334432077862095,https://ror.org/029zea722,PL,Skierniewice,Research Institute of Pomology and Floriculture,facility
1.810689053701734,https://ror.org/03jgmfc14,PL,Warsaw,Postgraduate School of Molecular Medicine,facility
1.7137672092585978,https://ror.org/04ck9y280,PL,Poznań,Poznan University of Social Sciences,education
1.5861425912983056,https://ror.org/00qhg0338,PL,Puławy,Institute of Soil Science and Plant Cultivation,facility
1.5664831995139996,https://ror.org/01md6nx87,PL,Poznań,Samuel Bogumił Linde College of Modern Languages,education
1.5626737119548206,https://ror.org/03f5avr03,PL,Wrocław,Electrotechnical Institute,facility
1.413891680082548,https://ror.org/03m5cqr70,PL,Krakow,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,education
1.3854997851195647,https://ror.org/033722021,PL,Poznań,Institute of Plant Protection,facility
1.3634738637798207,https://ror.org/032cph770,PL,Warsaw,SGH Warsaw School of Economics,education
1.3533332602783448,https://ror.org/029xngd29,PL,Warsaw,Fryderyk Chopin University of Music,education
1.3492185464098667,https://ror.org/0583g9182,PL,Kraków,Pontifical University of John Paul II in Kraków,education
1.3326273034604892,https://ror.org/04wbhy398,PL,Kielce,Wojewódzki Szpital Zespolony,healthcare
1.3190626959727803,https://ror.org/04qyefj88,PL,Lublin,John Paul II Catholic University of Lublin,education
1.3179057298737633,https://ror.org/015h0qg34,PL,Lublin,Maria Curie-Skłodowska University,education
1.302712202994114,https://ror.org/013sm1c65,PL,Wrocław,Wroclaw University of Economics and Business,education
1.2843291252258977,https://ror.org/039bjqg32,PL,Warsaw,University of Warsaw,education
1.275837358571365,https://ror.org/046wvt864,PL,Łódź,Academy of Music in Łódź,education
1.2682278574525903,https://ror.org/00s8fpf52,PL,Lodz,Lodz University of Technology,education
1.2532171861293384,https://ror.org/03bqmcz70,PL,Krakow,Jagiellonian University,education
1.24195142607505,https://ror.org/0532c1x92,PL,Poznań,Poznań University of Economics and Business,education
1.2347355528137764,https://ror.org/00vtya531,PL,Biała Podlaska,Akademia Bialska im. Jana Pawła II,education
1.231034513763285,https://ror.org/05wtrdx73,PL,Katowice,Akademii Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach,education
1.2195305078845158,https://ror.org/0104rcc94,PL,Katowice,University of Silesia,education
1.219514617758916,https://ror.org/01b33j376,PL,Katowice,Academy of Fine Arts in Katowice,education
1.214773596652811,https://ror.org/02zbb2597,PL,Poznan,Poznan University of Medical Sciences,education
1.2107763103713345,https://ror.org/04g6bbq64,PL,Poznan,Adam Mickiewicz University in Poznań,education
1.1888780366045641,https://ror.org/008fyn775,PL,Wroclaw,Wrocław University of Science and Technology,education
1.1849531923320937,https://ror.org/02dyjk442,PL,Gliwice,Silesian University of Technology,education
1.1704655594408928,https://ror.org/05cq64r17,PL,Lodz,University of Łódź,education
1.1555453165144995,https://ror.org/02kyzv273,PL,Gdańsk,University Clinical Centre,healthcare
1.1515968729065664,https://ror.org/00y0xnp53,PL,Warsaw,Warsaw University of Technology,education
1.1504660084121987,https://ror.org/00p7p3302,PL,Poznan,Poznań University of Technology,education
1.1422727344115156,https://ror.org/034741m06,PL,Kraków,Institute of Advanced Manufacturing Technology,facility
1.138257613582343,https://ror.org/05vy8np18,PL,Krakow,University School of Physical Education in Kraków,education
1.1288377773580958,https://ror.org/036d1w285,PL,Warsaw,Academy of Fine Arts in Warsaw,education
1.123200855010309,https://ror.org/01apd5369,PL,Kraków,John Paul II Hospital,healthcare
1.1079158533263775,https://ror.org/0407f1r36,PL,Warsaw,University of Social Sciences and Humanities,education
1.0827576159095211,https://ror.org/006x4sc24,PL,Gdansk,Gdańsk University of Technology,education
1.066754905313767,https://ror.org/011dv8m48,PL,Gdansk,University of Gdańsk,education
1.0667389876038564,https://ror.org/014anrn41,PL,Gdansk,Ateneum University,education
1.0662753546837618,https://ror.org/0262te083,PL,Krakow,Krakow University of Economics,education
1.0650464026043787,https://ror.org/00bas1c41,PL,Krakow,AGH University of Krakow,education
1.061902012725538,https://ror.org/01vxt3d40,PL,Katowice,University of Economics in Katowice,education
1.0598138518049671,https://ror.org/05fct5h31,PL,Warsaw,Military University of Technology in Warsaw,education
1.054327925677887,https://ror.org/020atbp69,PL,Warsaw,Children's Memorial Health Institute,healthcare
1.053900896978791,https://ror.org/00yae6e25,PL,Wroclaw,University of Wrocław,education
1.0247375807054029,https://ror.org/05113d564,PL,Warsaw,War Studies Academy,education
1.0244931672928606,https://ror.org/03hq67y94,PL,Lublin,University of Life Sciences in Lublin,education
1.0136013576589806,https://ror.org/0266k9652,PL,Płock,State School of Higher Professional Education in Płock,education
0.9901057218608512,https://ror.org/04kz5ba43,PL,Poznan,WSB Merito University in Poznan,education
0.9893136939468113,https://ror.org/04c3c7847,PL,Wrocław,Karol Lipiński Academy of Music in Wrocław,education
0.9824470919577288,https://ror.org/0102mm775,PL,Torun,Nicolaus Copernicus University,education
0.9812392175930003,https://ror.org/01qpw1b93,PL,Wroclaw,Wroclaw Medical University,education
0.9803834560708403,https://ror.org/043k6re07,PL,Warsaw,Józef Piłsudski University of Physical Education in Warsaw,education
0.9777108795320355,https://ror.org/00y4ya841,PL,Bialystok,Medical University of Białystok,education
0.9744515369106518,https://ror.org/00pdej676,PL,Krakow,Cracow University of Technology,education
0.9726148520244765,https://ror.org/04fh2kz81,PL,Warsaw,Papieski Wydział Teologiczny w Warszawie,education
0.9676579049837781,https://ror.org/01dr6c206,PL,Warsaw,Polish Academy of Sciences,government
0.962146342464909,https://ror.org/04af78111,PL,Poznań,University of Fine Arts in Poznań,education
0.9539991183003369,https://ror.org/005k7hp45,PL,Katowice,Medical University of Silesia,education
0.9535023454108758,https://ror.org/046awyn59,PL,Częstochowa,Częstochowa University of Technology,education
0.9488594630958833,https://ror.org/00s1rmw18,PL,Warsaw,Christian Theological Academy in Warsaw,education
0.9471396073412535,https://ror.org/00andm809,PL,Gdańsk,Akademia Sztuk Pięknych w Gdańsku,nonprofit
0.9394065678558736,https://ror.org/05938c493,PL,Tarnów,Specjalistyczny Szpital im.E.Szczeklika w Tarnowie,healthcare
0.9386530795900712,https://ror.org/011xw5c92,PL,Warsaw,Instytut Budownictwa Mechanizacji i Elektryfikacji Rolnictwa,facility
0.9361717048974831,https://ror.org/02htqyr59,PL,Warsaw,National Defence University of Warsaw,education
0.9270314825000745,https://ror.org/04p2y4s44,PL,Warsaw,Medical University of Warsaw,education
0.9055111576990592,https://ror.org/02khfkr46,PL,Warsaw,Institute of Electron Technology,facility
0.9016745926831368,https://ror.org/05cs8k179,PL,Wroclaw,Wroclaw University of Environmental and Life Sciences,education
0.8949123770605668,https://ror.org/016f61126,PL,Lublin,Medical University of Lublin,education
0.891444101397575,https://ror.org/0375f2x73,PL,Warsaw,Uczelnia Łazarskiego,education
0.8851454294575551,https://ror.org/01y3dkx74,PL,Warsaw,International Institute of Molecular and Cell Biology,facility
0.8808901186003996,https://ror.org/02vncvd63,PL,Wrocław,Philological School of Higher Education,education
