OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.5570841636276304,https://ror.org/0575v6d36,PR,San Juan,Center for Advanced Studies on Puerto Rico and the Caribbean,education
0.4999999755164714,https://ror.org/00epbns71,PR,Arecibo,Universidad Internacional Iberoamericana,education
0.11334084930234842,https://ror.org/04w7hre37,PR,Aguadilla,University of Puerto Rico at Aguadilla,education
-4.568558996953463e-08,https://ror.org/0022qva30,PR,Ponce,Ponce Health Sciences University,education
-0.1095826748691438,https://ror.org/058hjkk82,PR,Bayamón,University of Puerto Rico at Bayamón,education
-0.2119994478767805,https://ror.org/01b8jmq89,PR,San Juan,Polytechnic University of Puerto Rico,education
-0.3722208608688184,https://ror.org/00xcgnn15,PR,San Germán,InterAmerican University of Puerto Rico,education
-0.44291554490306995,https://ror.org/02yg0nm07,PR,San Juan,University of Puerto Rico System,education
-0.4999999755164714,https://ror.org/02hs8e066,PR,Bayamon,National University College,education
-0.5443092171011776,https://ror.org/0538pfx71,PR,Ponce,Pontifical Catholic University of Puerto Rico,education
-0.5986242751179118,https://ror.org/04bg0r715,PR,San Juan,Carlos Albizu University,education
-0.6662793902118075,https://ror.org/02smd3j38,PR,Gurabo,University of Turabo,education
-0.776249144861758,https://ror.org/05s2fqz02,PR,Utuado,University of Puerto Rico at Utuado,education
-0.8228468847294227,https://ror.org/05r9v2c42,PR,San Juan,Ana G. Mendez University System,education
-0.9433321304338119,https://ror.org/03cxxnd48,PR,San Juan,University of The Sacred Heart,education
-1.0000013012535784,https://ror.org/00g3xxn90,PR,San Juan,Puerto Rico Department of Health,government
-1.3321870908440303,https://ror.org/0414ppq07,PR,Caguas,San Juan Bautista School of Medicine,education
-1.372222936891498,https://ror.org/00qa8mx25,PR,San Juan,Puerto Rico Department of Education,government
-1.4429157384382563,https://ror.org/03cx1e057,PR,Bayamon,American University of Puerto Rico,education
-1.4429157384382563,https://ror.org/05phyf558,PR,Carolina,University of Puerto Rico at Carolina,education
-1.4429158459438092,https://ror.org/01rpmzy83,PR,Bayamon,Central University of the Caribbean,education
-1.4429174106940896,https://ror.org/039w2vw18,PR,Bayamón,Caribbean University,education
