Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
22,https://ror.org/0022qva30 -> https://ror.org/0022qva30,https://ror.org/0022qva30,https://ror.org/0022qva30,PR,PR,Ponce,Ponce,Ponce Health Sciences University,Ponce Health Sciences University,education,education
1,https://ror.org/0022qva30 -> https://ror.org/00g3xxn90,https://ror.org/0022qva30,https://ror.org/00g3xxn90,PR,PR,Ponce,San Juan,Ponce Health Sciences University,Puerto Rico Department of Health,education,government
8,https://ror.org/0022qva30 -> https://ror.org/02yg0nm07,https://ror.org/0022qva30,https://ror.org/02yg0nm07,PR,PR,Ponce,San Juan,Ponce Health Sciences University,University of Puerto Rico System,education,education
1,https://ror.org/0022qva30 -> https://ror.org/03cxxnd48,https://ror.org/0022qva30,https://ror.org/03cxxnd48,PR,PR,Ponce,San Juan,Ponce Health Sciences University,University of The Sacred Heart,education,education
1,https://ror.org/0022qva30 -> https://ror.org/0414ppq07,https://ror.org/0022qva30,https://ror.org/0414ppq07,PR,PR,Ponce,Caguas,Ponce Health Sciences University,San Juan Bautista School of Medicine,education,education
1,https://ror.org/0022qva30 -> https://ror.org/04bg0r715,https://ror.org/0022qva30,https://ror.org/04bg0r715,PR,PR,Ponce,San Juan,Ponce Health Sciences University,Carlos Albizu University,education,education
1,https://ror.org/0022qva30 -> https://ror.org/04w7hre37,https://ror.org/0022qva30,https://ror.org/04w7hre37,PR,PR,Ponce,Aguadilla,Ponce Health Sciences University,University of Puerto Rico at Aguadilla,education,education
1,https://ror.org/0022qva30 -> https://ror.org/0538pfx71,https://ror.org/0022qva30,https://ror.org/0538pfx71,PR,PR,Ponce,Ponce,Ponce Health Sciences University,Pontifical Catholic University of Puerto Rico,education,education
2,https://ror.org/00epbns71 -> https://ror.org/00epbns71,https://ror.org/00epbns71,https://ror.org/00epbns71,PR,PR,Arecibo,Arecibo,Universidad Internacional Iberoamericana,Universidad Internacional Iberoamericana,education,education
1,https://ror.org/00epbns71 -> https://ror.org/02hs8e066,https://ror.org/00epbns71,https://ror.org/02hs8e066,PR,PR,Arecibo,Bayamon,Universidad Internacional Iberoamericana,National University College,education,education
