Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
36,https://ror.org/0046mja08 -> https://ror.org/0046mja08,https://ror.org/0046mja08,https://ror.org/0046mja08,PS,PS,Nablus,Nablus,An-Najah National University,An-Najah National University,education,education
2,https://ror.org/0046mja08 -> https://ror.org/00cfa1c07,https://ror.org/0046mja08,https://ror.org/00cfa1c07,PS,PS,Nablus,Tulkarm,An-Najah National University,Palestine Technical University - Kadoorie,education,education
3,https://ror.org/0046mja08 -> https://ror.org/0256kw398,https://ror.org/0046mja08,https://ror.org/0256kw398,PS,PS,Nablus,Bīr Zayt,An-Najah National University,Birzeit University,education,education
1,https://ror.org/0046mja08 -> https://ror.org/047cjg072,https://ror.org/0046mja08,https://ror.org/047cjg072,PS,PS,Nablus,Bethlehem,An-Najah National University,Bethlehem University,education,education
2,https://ror.org/0046mja08 -> https://ror.org/04cgn5q20,https://ror.org/0046mja08,https://ror.org/04cgn5q20,PS,PS,Nablus,Ramallah,An-Najah National University,Al-Quds Open University,education,education
4,https://ror.org/0046mja08 -> https://ror.org/04jmsq731,https://ror.org/0046mja08,https://ror.org/04jmsq731,PS,PS,Nablus,Janīn,An-Najah National University,Arab American University,education,education
1,https://ror.org/00cfa1c07 -> https://ror.org/0046mja08,https://ror.org/00cfa1c07,https://ror.org/0046mja08,PS,PS,Tulkarm,Nablus,Palestine Technical University - Kadoorie,An-Najah National University,education,education
1,https://ror.org/00f72x493 -> https://ror.org/00f72x493,https://ror.org/00f72x493,https://ror.org/00f72x493,PS,PS,Gaza,Gaza,University College of Applied Science,University College of Applied Science,education,education
1,https://ror.org/00f72x493 -> https://ror.org/057ts1y80,https://ror.org/00f72x493,https://ror.org/057ts1y80,PS,PS,Gaza,Gaza,University College of Applied Science,Islamic University of Gaza,education,education
5,https://ror.org/0256kw398 -> https://ror.org/0046mja08,https://ror.org/0256kw398,https://ror.org/0046mja08,PS,PS,Bīr Zayt,Nablus,Birzeit University,An-Najah National University,education,education
23,https://ror.org/0256kw398 -> https://ror.org/0256kw398,https://ror.org/0256kw398,https://ror.org/0256kw398,PS,PS,Bīr Zayt,Bīr Zayt,Birzeit University,Birzeit University,education,education
4,https://ror.org/0256kw398 -> https://ror.org/047cjg072,https://ror.org/0256kw398,https://ror.org/047cjg072,PS,PS,Bīr Zayt,Bethlehem,Birzeit University,Bethlehem University,education,education
