OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.5657511573915336,https://ror.org/0373te416,PT,Caparica,Uninova,nonprofit
0.5000004742345119,https://ror.org/036ypft38,PT,Lisbon,Centro Hospitalar de Lisboa Ocidental,healthcare
0.030323485772408523,https://ror.org/006bxqs05,PT,Porto,Institute of Astrophysics and Space Sciences,facility
1.5865155419536166e-05,https://ror.org/0025r1k74,PT,Tondela,Centro Hospitalar Tondela-Viseu,healthcare
0.0,https://ror.org/00rtryt44,PT,Lisbon,Nzytech (Portugal),company
0.0,https://ror.org/03fbewc07,PT,Porto,Conservatório de Música do Porto,education
0.0,https://ror.org/03jgmp057,PT,Lisbon,Luso American Development Foundation,nonprofit
0.0,https://ror.org/05n5mpz07,PT,Lisbon,Ordem dos Médicos,government
-0.43434219793700357,https://ror.org/02xankh89,PT,Lisbon,Universidade Nova de Lisboa,education
-0.4391564772752014,https://ror.org/037wpkx04,PT,Braga,University of Minho,education
-0.4527186074092484,https://ror.org/019yg0716,PT,Lisbon,"Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",education
-0.48541128533999156,https://ror.org/0208sdr22,PT,Lisbon,Administração Regional de Saúde de Lisboa e Vale do Tejo,government
-0.5000004742345119,https://ror.org/04jq4p608,PT,Almada,Hospital Garcia de Orta,healthcare
-0.519957779292972,https://ror.org/05y20sz16,PT,Lisbon,Ministério da Defesa Nacional,government
-0.5200504537728331,https://ror.org/01c27hj86,PT,Lisbon,University of Lisbon,education
-0.5361187206535737,https://ror.org/014837179,PT,Lisbon,Iscte – Instituto Universitário de Lisboa,education
-0.5557744379507357,https://ror.org/043pwc612,PT,Porto,Universidade do Porto,education
-0.5580732971291388,https://ror.org/042jpy919,PT,Vila Nova de Gaia,Centro Hospitalar de Vila Nova de Gaia,healthcare
-0.5594315498683569,https://ror.org/04dwpyh46,PT,Porto,Centro Hospitalar do Porto,healthcare
-0.562438719099521,https://ror.org/04z8k9a98,PT,Coimbra,University of Coimbra,education
-0.6317008105755504,https://ror.org/0597jba28,PT,Coimbra,Instituto Superior de Contabilidade e Administração de Coimbra,education
-0.6868804160084855,https://ror.org/00nt41z93,PT,Aveiro,University of Aveiro,education
-0.6899226712596274,https://ror.org/04b08hq31,PT,Oeiras,Instituto Gulbenkian de Ciência,education
-0.7355335643938373,https://ror.org/045b9pr88,PT,Lisbon,Ministry of Science Technology and Higher Education,government
-0.7553566673042542,https://ror.org/04qsnc772,PT,Porto,Hospital de São João,healthcare
-0.7883373452120027,https://ror.org/00zjprf31,PT,Lisbon,Lusíada University of Lisbon,education
-0.864640138819863,https://ror.org/00k6r3f30,PT,Lisbon,Centro Hospitalar de Lisboa Central,healthcare
-0.9666861729420734,https://ror.org/03b9snr86,PT,Lisbon,Universidade Católica Portuguesa,education
-0.9696819041392596,https://ror.org/014g34x36,PT,Faro,University of Algarve,education
-0.9698790489492082,https://ror.org/027ras364,PT,Porto,IPO Porto,healthcare
-0.9764499960791639,https://ror.org/04ehtgm24,PT,Porto,Lusíada University of Porto,education
-0.985223863657335,https://ror.org/020sr6z07,PT,Lisbon,Centro Hospitalar Lisboa Norte,healthcare
-0.990089723069164,https://ror.org/04276xd64,PT,Ponta Delgada,Universidade dos Açores,education
-1.0131528139118295,https://ror.org/03f94es11,PT,Loulé,Instituto Superior Dom Afonso III,education
-1.056808114117841,https://ror.org/02gyps716,PT,Evora,University of Évora,education
-1.0695513185121786,https://ror.org/05ws8g470,PT,Lisbon,Institute for Biotechnology and Bioengineering,facility
-1.081894320901145,https://ror.org/02rv3w387,PT,Lisbon,Universidade Aberta,education
-1.0857240483872364,https://ror.org/03nf36p02,PT,Covilha,University of Beira Interior,education
-1.1271224234057124,https://ror.org/03w6kry90,PT,Viana do Castelo,Polytechnic Institute of Viana do Castelo,education
-1.12978484923938,https://ror.org/010bsbc18,PT,Amadora,Hospital Prof. Dr. Fernando Fonseca,healthcare
-1.153923991326609,https://ror.org/00r7b5b77,PT,Lisbon,Instituto Português de Oncologia Francisco Gentil,healthcare
-1.154612530083851,https://ror.org/03jpm9j23,PT,Lisbon,Hospital da Luz,healthcare
-1.2037105516590056,https://ror.org/0448qsq10,PT,Barcelos,Polytechnic Institute of Cávado and Ave,education
-1.2253975187737798,https://ror.org/02kmtwp90,PT,Lisbon,Government of Portugal,government
-1.2394893310398651,https://ror.org/03g001n57,PT,Lisbon,Champalimaud Foundation,facility
-1.2989992628887486,https://ror.org/00wg3s094,PT,Porto,Instituto Superior de Contabilidade e Administracao do Porto,education
-1.3024174028768905,https://ror.org/03qc8vh97,PT,Vila Real,University of Trás-os-Montes and Alto Douro,education
-1.3552404582999231,https://ror.org/04h8e7606,PT,Porto,Fernando Pessoa University,education
-1.3596432200447168,https://ror.org/01sp7nd78,PT,Lisbon,Portuguese Sea and Atmosphere Institute,facility
-1.371258503365897,https://ror.org/04bcdt432,PT,Lisbon,Universidade Europeia,education
-1.379411526310888,https://ror.org/04dv3aq25,PT,Braga,International Iberian Nanotechnology Laboratory,facility
-1.3959567509619444,https://ror.org/01n85qf05,PT,Lisbon,Escola Superior de Enfermagem S. Francisco das Misericórdias,education
-1.3971088473908968,https://ror.org/042vq9b25,PT,Lisbon,Instituto Superior de Educação e Ciências,education
-1.4112461158452043,https://ror.org/034d74a71,PT,Lisbon,FCiências.ID - Associação para a Investigação e Desenvolvimento de Ciências,other
-1.4341506940732889,https://ror.org/01js43d58,PT,Lisbon,"Instituto de Artes Visuais, Design e Marketing",education
-1.4341506940732889,https://ror.org/03jzc4108,PT,Lisbon,PLUX - Wireless Biosignals (Portugal),company
-1.4341506940732889,https://ror.org/03kyy9y42,PT,Loures,Hospital Beatriz Ângelo,healthcare
-1.4341506940732889,https://ror.org/04vh24428,PT,Lisbon,NOVA.id.FCT - Associação para a Inovação e Desenvolvimento da FCT,other
-1.4374899919687796,https://ror.org/029gksr15,PT,Braga,SilicoLife (Portugal),company
-1.4389660157835473,https://ror.org/011zg5725,PT,Vila Nova de Famalicão,Centro Tecnológico das Indústrias Têxtil e do Vestuário de Portugal,nonprofit
-1.4389660157835473,https://ror.org/04cmhn872,PT,Porto,Sociedade Portuguesa de Inovação,company
-1.4389660157835473,https://ror.org/04jjy0g33,PT,Braga,Hospital Braga,healthcare
-1.4390639154827642,https://ror.org/031vecd37,PT,Porto,Instituto Superior de Ciências Empresariais e do Turismo,education
-1.4390639154827642,https://ror.org/03a4d8673,PT,Porto,Escola Superior de Educação de Paula Frassinetti,education
-1.4391194096822084,https://ror.org/038dty275,PT,Braga,CeNTI (Portugal),company
-1.4619228257385626,https://ror.org/0599z7n30,PT,Oeiras,Instituto de Biologia Experimental e Tecnológica,nonprofit
-1.4771047336542515,https://ror.org/023th6c34,PT,Loures,Hovione (Portugal),company
-1.4851386948028735,https://ror.org/02aea0q64,PT,Lisbon,IADE Superior de Marketing e Publicidade,education
-1.4925365202402068,https://ror.org/00jrpyg10,PT,Barcarena,Atlântica Instituto Universitário,education
-1.4949663278547625,https://ror.org/05pv4tx93,PT,Póvoa de Lanhoso,Instituto Superior de Saúde do Alto Ave,education
-1.5000736023318608,https://ror.org/05wm6p530,PT,Porto,Universidade Portucalense,education
-1.5007051243299327,https://ror.org/04evw4v13,PT,Paços de Brandão,Instituto Superior de Paços de Brandão,education
-1.5074971331726323,https://ror.org/03gsfpp62,PT,Tomar,Instituto Politécnico de Tomar,education
-1.5196781295451973,https://ror.org/00v97d044,PT,Coimbra,Centro de Estudos em Geografia e Ordenamento do Territorio,facility
-1.5198593170825359,https://ror.org/00jtwxn03,PT,Lisbon,Terra Scenica,education
-1.5198593170825359,https://ror.org/01pe22k85,PT,Caparica,Instituto Português Da Qualidade,government
-1.5198593170825359,https://ror.org/0213kp011,PT,Lisbon,Empresa de Desenvolvimento Mineiro (Portugal),company
-1.5198593170825359,https://ror.org/02fsnvs68,PT,Lisbon,Portuguese Air Transportations (Portugal),company
-1.5198593170825359,https://ror.org/03cvzf910,PT,Coimbra,MARE - Centro de Ciências do Mar e do Ambiente,facility
-1.5198593170825359,https://ror.org/03d5pp684,PT,Funchal,Escola Superior de Enfermagem de São José de Cluny,education
-1.5199587277619935,https://ror.org/006x15235,PT,Lisbon,"National Institute of Engineering, Technology and Innovation",facility
-1.5199587277619935,https://ror.org/0307h0f23,PT,Lisbon,Higher Institute of Police Sciences and Homeland Security,education
-1.5199887971999277,https://ror.org/01ev6gy70,PT,Almada,Portuguese Naval School,education
-1.5199887971999277,https://ror.org/05bz1tw26,PT,Lisbon,Hospital de Santa Maria,healthcare
-1.5200041834696518,https://ror.org/018jp3h36,PT,Lisbon,Ciência Viva,government
-1.5209903647487455,https://ror.org/043ft3840,PT,Lisbon,Centre for Research in Anthropology,facility
-1.525469210283509,https://ror.org/04988re48,PT,Porto,Polytechnic Institute of Porto,education
-1.5289351621553575,https://ror.org/03bvw9g02,PT,Lisbon,National Laboratory for Civil Engineering,facility
-1.5341181766819219,https://ror.org/018qmvm63,PT,Lisbon,IST-ID - Associação do Instituto Superior Técnico para a Investigação e Desenvolvimento,other
-1.5359267447112073,https://ror.org/04rpeeg31,PT,Lisbon,Escola Superior de Tecnologias e Artes de Lisboa,education
-1.5429625773590359,https://ror.org/00w7bj245,PT,Gandra,Cooperativa de Ensino Superior Politécnico e Universitário,education
-1.543889799167371,https://ror.org/02bbx2g30,PT,Santarém,Instituto Politécnico de Santarém,education
-1.5440406686447767,https://ror.org/05xxfer42,PT,Lisbon,Universidade Lusófona,education
-1.5470154383814214,https://ror.org/01prbq409,PT,Almada,Escola Superior de Saúde Egas Moniz,education
-1.5486340622664605,https://ror.org/00w53b262,PT,Feira,Instituto Superior de Entre Douro e Vouga,education
-1.5527296903161416,https://ror.org/0235kxk33,PT,Viseu,Polytechnic Institute of Viseu,education
-1.5536790041820703,https://ror.org/04yxemn98,PT,Lisbon,Calouste Gulbenkian Foundation,nonprofit
-1.5555823855659947,https://ror.org/0304t8e63,PT,Senhora da Hora,Instituto Superior de Serviço Social do Porto,education
-1.5555823855659947,https://ror.org/008836v19,PT,Porto,Universidade Sénior Contemporânea,education
-1.5555823855659947,https://ror.org/03t0xat23,PT,Valbom,Paralab (Portugal),company
-1.5555823855659947,https://ror.org/05v384f19,PT,Porto,Instituto dos Vinhos do Douro e Porto,education
-1.5556819161630158,https://ror.org/01vgbcw83,PT,Porto,Escola Superior Artística do Porto,education
-1.5565930624278308,https://ror.org/0245c5212,PT,Lisbon,Portuguese Military Academy,education
