Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/004nxe453 -> https://ror.org/02f6q5s54,https://ror.org/004nxe453,https://ror.org/02f6q5s54,PY,PY,Asunción,Asunción,Universidad Evangélica del Paraguay,Universidad Americana,education,education
3,https://ror.org/00xwv4z20 -> https://ror.org/00xwv4z20,https://ror.org/00xwv4z20,https://ror.org/00xwv4z20,PY,PY,Ciudad del Este,Ciudad del Este,Universidad Nacional del Este,Universidad Nacional del Este,education,education
1,https://ror.org/0371t1780 -> https://ror.org/02fp10z94,https://ror.org/0371t1780,https://ror.org/02fp10z94,PY,PY,Encarnación,Encarnación,Universidad Nacional de Itapúa,Universidad Autónoma de Encarnación,education,education
7,https://ror.org/0371t1780 -> https://ror.org/0371t1780,https://ror.org/0371t1780,https://ror.org/0371t1780,PY,PY,Encarnación,Encarnación,Universidad Nacional de Itapúa,Universidad Nacional de Itapúa,education,education
1,https://ror.org/03f27y887 -> https://ror.org/00821s992,https://ror.org/03f27y887,https://ror.org/00821s992,PY,PY,San Lorenzo,Asunción,Universidad Nacional de Asunción,Ministerio de Educación y Ciencias,education,government
1,https://ror.org/03f27y887 -> https://ror.org/00xwv4z20,https://ror.org/03f27y887,https://ror.org/00xwv4z20,PY,PY,San Lorenzo,Ciudad del Este,Universidad Nacional de Asunción,Universidad Nacional del Este,education,education
1,https://ror.org/03f27y887 -> https://ror.org/02f6q5s54,https://ror.org/03f27y887,https://ror.org/02f6q5s54,PY,PY,San Lorenzo,Asunción,Universidad Nacional de Asunción,Universidad Americana,education,education
33,https://ror.org/03f27y887 -> https://ror.org/03f27y887,https://ror.org/03f27y887,https://ror.org/03f27y887,PY,PY,San Lorenzo,San Lorenzo,Universidad Nacional de Asunción,Universidad Nacional de Asunción,education,education
1,https://ror.org/03f27y887 -> https://ror.org/03gatys88,https://ror.org/03f27y887,https://ror.org/03gatys88,PY,PY,San Lorenzo,Asunción,Universidad Nacional de Asunción,Ministerio de Salud Pública y Bienestar Social,education,government
1,https://ror.org/03f27y887 -> https://ror.org/04jjna482,https://ror.org/03f27y887,https://ror.org/04jjna482,PY,PY,San Lorenzo,Asunción,Universidad Nacional de Asunción,Universidad Católica Nuestra Señora de la Asunción,education,education
1,https://ror.org/03f27y887 -> https://ror.org/04jst1j84,https://ror.org/03f27y887,https://ror.org/04jst1j84,PY,PY,San Lorenzo,Asunción,Universidad Nacional de Asunción,Universidad Columbia del Paraguay,education,education
1,https://ror.org/03f27y887 -> https://ror.org/05g0pkp12,https://ror.org/03f27y887,https://ror.org/05g0pkp12,PY,PY,San Lorenzo,Asunción,Universidad Nacional de Asunción,Universidad Nacional De Caaguazú,education,education
2,https://ror.org/03p5xhb29 -> https://ror.org/00xwv4z20,https://ror.org/03p5xhb29,https://ror.org/00xwv4z20,PY,PY,Pilar,Ciudad del Este,Universidad Nacional de Pilar,Universidad Nacional del Este,education,education
1,https://ror.org/03p5xhb29 -> https://ror.org/03p5xhb29,https://ror.org/03p5xhb29,https://ror.org/03p5xhb29,PY,PY,Pilar,Pilar,Universidad Nacional de Pilar,Universidad Nacional de Pilar,education,education
4,https://ror.org/03p5xhb29 -> https://ror.org/05g0pkp12,https://ror.org/03p5xhb29,https://ror.org/05g0pkp12,PY,PY,Pilar,Asunción,Universidad Nacional de Pilar,Universidad Nacional De Caaguazú,education,education
1,https://ror.org/03z0f3m78 -> https://ror.org/02f6q5s54,https://ror.org/03z0f3m78,https://ror.org/02f6q5s54,PY,PY,Asunción,Asunción,Universidad del Pacífico,Universidad Americana,education,education
1,https://ror.org/0498fb204 -> https://ror.org/04dvk9y30,https://ror.org/0498fb204,https://ror.org/04dvk9y30,PY,PY,Asunción,Asunción,Instituto Nacional de Educación Superior Dr. Raúl Peña,Universidad Autónoma de Asunción,education,education
2,https://ror.org/04dvk9y30 -> https://ror.org/02f6q5s54,https://ror.org/04dvk9y30,https://ror.org/02f6q5s54,PY,PY,Asunción,Asunción,Universidad Autónoma de Asunción,Universidad Americana,education,education
1,https://ror.org/04dvk9y30 -> https://ror.org/02ms23a70,https://ror.org/04dvk9y30,https://ror.org/02ms23a70,PY,PY,Asunción,Asunción,Universidad Autónoma de Asunción,Universidad del Norte,education,education
1,https://ror.org/04jhxpq45 -> https://ror.org/00821s992,https://ror.org/04jhxpq45,https://ror.org/00821s992,PY,PY,Asunción,Asunción,Universidad Iberoamericana,Ministerio de Educación y Ciencias,education,government
2,https://ror.org/05tv4xd72 -> https://ror.org/04jst1j84,https://ror.org/05tv4xd72,https://ror.org/04jst1j84,PY,PY,Asunción,Asunción,Universidad Tecnológica Intercontinental,Universidad Columbia del Paraguay,education,education
1,https://ror.org/05tv4xd72 -> https://ror.org/05tv4xd72,https://ror.org/05tv4xd72,https://ror.org/05tv4xd72,PY,PY,Asunción,Asunción,Universidad Tecnológica Intercontinental,Universidad Tecnológica Intercontinental,education,education
