OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.9999999983260841,https://ror.org/03eyq4y97,QA,Doha,Hamad bin Khalifa University,education
0.9999999879024608,https://ror.org/05gd1cs26,QA,Doha,Doha Institute for Graduate Studies,education
3.862872526190497e-10,https://ror.org/00yhnba62,QA,Doha,Qatar University,education
-4.9953073847502916e-09,https://ror.org/006m74d95,QA,Doha,Northwestern University in Qatar,education
-8.000371712335586e-09,https://ror.org/03acdk243,QA,Doha,Sidra Medical and Research Center,healthcare
-1.5510317617067892e-08,https://ror.org/01cawbq05,QA,Doha,Qatar Foundation,nonprofit
-3.139420184233854e-08,https://ror.org/01k999n94,QA,Doha,University of Calgary in Qatar,education
-1.0000000061545848,https://ror.org/00dgyys91,QA,Doha,Qatar Mobility Innovations Center,facility
-1.000000021831594,https://ror.org/02zwb6n98,QA,Doha,Hamad Medical Corporation,nonprofit
-1.0000000323736684,https://ror.org/041ddxq18,QA,Doha,University of Doha for Science and Technology,education
