Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/00yhnba62 -> https://ror.org/00dgyys91,https://ror.org/00yhnba62,https://ror.org/00dgyys91,QA,QA,Doha,Doha,Qatar University,Qatar Mobility Innovations Center,education,facility
79,https://ror.org/00yhnba62 -> https://ror.org/00yhnba62,https://ror.org/00yhnba62,https://ror.org/00yhnba62,QA,QA,Doha,Doha,Qatar University,Qatar University,education,education
1,https://ror.org/00yhnba62 -> https://ror.org/02zwb6n98,https://ror.org/00yhnba62,https://ror.org/02zwb6n98,QA,QA,Doha,Doha,Qatar University,Hamad Medical Corporation,education,nonprofit
1,https://ror.org/01cawbq05 -> https://ror.org/02zwb6n98,https://ror.org/01cawbq05,https://ror.org/02zwb6n98,QA,QA,Doha,Doha,Qatar Foundation,Hamad Medical Corporation,nonprofit,nonprofit
2,https://ror.org/01k999n94 -> https://ror.org/02zwb6n98,https://ror.org/01k999n94,https://ror.org/02zwb6n98,QA,QA,Doha,Doha,University of Calgary in Qatar,Hamad Medical Corporation,education,nonprofit
2,https://ror.org/01k999n94 -> https://ror.org/041ddxq18,https://ror.org/01k999n94,https://ror.org/041ddxq18,QA,QA,Doha,Doha,University of Calgary in Qatar,University of Doha for Science and Technology,education,education
3,https://ror.org/02zwb6n98 -> https://ror.org/02zwb6n98,https://ror.org/02zwb6n98,https://ror.org/02zwb6n98,QA,QA,Doha,Doha,Hamad Medical Corporation,Hamad Medical Corporation,nonprofit,nonprofit
3,https://ror.org/03eyq4y97 -> https://ror.org/006m74d95,https://ror.org/03eyq4y97,https://ror.org/006m74d95,QA,QA,Doha,Doha,Hamad bin Khalifa University,Northwestern University in Qatar,education,education
20,https://ror.org/03eyq4y97 -> https://ror.org/00yhnba62,https://ror.org/03eyq4y97,https://ror.org/00yhnba62,QA,QA,Doha,Doha,Hamad bin Khalifa University,Qatar University,education,education
1,https://ror.org/03eyq4y97 -> https://ror.org/01cawbq05,https://ror.org/03eyq4y97,https://ror.org/01cawbq05,QA,QA,Doha,Doha,Hamad bin Khalifa University,Qatar Foundation,education,nonprofit
2,https://ror.org/03eyq4y97 -> https://ror.org/03acdk243,https://ror.org/03eyq4y97,https://ror.org/03acdk243,QA,QA,Doha,Doha,Hamad bin Khalifa University,Sidra Medical and Research Center,education,healthcare
8,https://ror.org/03eyq4y97 -> https://ror.org/03eyq4y97,https://ror.org/03eyq4y97,https://ror.org/03eyq4y97,QA,QA,Doha,Doha,Hamad bin Khalifa University,Hamad bin Khalifa University,education,education
2,https://ror.org/041ddxq18 -> https://ror.org/041ddxq18,https://ror.org/041ddxq18,https://ror.org/041ddxq18,QA,QA,Doha,Doha,University of Doha for Science and Technology,University of Doha for Science and Technology,education,education
1,https://ror.org/05gd1cs26 -> https://ror.org/00yhnba62,https://ror.org/05gd1cs26,https://ror.org/00yhnba62,QA,QA,Doha,Doha,Doha Institute for Graduate Studies,Qatar University,education,education
