Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/009maf963 -> https://ror.org/009maf963,https://ror.org/009maf963,https://ror.org/009maf963,RO,RO,Târgu Mureş,Târgu Mureş,Universitatea Petru Maior din Tîrgu Mureş,Universitatea Petru Maior din Tîrgu Mureş,education,education
1,https://ror.org/00a34ea95 -> https://ror.org/051h0cw83,https://ror.org/00a34ea95,https://ror.org/051h0cw83,RO,RO,Cluj-Napoca,Cluj-Napoca,Institutul Regional de Gastroenterologie Prof. Dr. Octavian Fodor,Iuliu Hațieganu University of Medicine and Pharmacy,healthcare,education
10,https://ror.org/00abdnc40 -> https://ror.org/00abdnc40,https://ror.org/00abdnc40,https://ror.org/00abdnc40,RO,RO,Ploieşti,Ploieşti,Petroleum & Gas University of Ploieşti,Petroleum & Gas University of Ploieşti,education,education
27,https://ror.org/00afdp487 -> https://ror.org/00afdp487,https://ror.org/00afdp487,https://ror.org/00afdp487,RO,RO,Timişoara,Timişoara,Victor Babeș University of Medicine and Pharmacy Timișoara,Victor Babeș University of Medicine and Pharmacy Timișoara,education,education
2,https://ror.org/00afdp487 -> https://ror.org/00e6nys21,https://ror.org/00afdp487,https://ror.org/00e6nys21,RO,RO,Timişoara,Bucharest,Victor Babeș University of Medicine and Pharmacy Timișoara,Government of Romania,education,government
3,https://ror.org/00afdp487 -> https://ror.org/04fm87419,https://ror.org/00afdp487,https://ror.org/04fm87419,RO,RO,Timişoara,Bucharest,Victor Babeș University of Medicine and Pharmacy Timișoara,Carol Davila University of Medicine and Pharmacy,education,education
1,https://ror.org/00afdp487 -> https://ror.org/0583a0t97,https://ror.org/00afdp487,https://ror.org/0583a0t97,RO,RO,Timişoara,Timișoara,Victor Babeș University of Medicine and Pharmacy Timișoara,West University of Timişoara,education,education
1,https://ror.org/00d3pnh21 -> https://ror.org/00d3pnh21,https://ror.org/00d3pnh21,https://ror.org/00d3pnh21,RO,RO,Bucharest,Bucharest,Horia Hulubei National Institute for R and D in Physics and Nuclear Engineering,Horia Hulubei National Institute for R and D in Physics and Nuclear Engineering,facility,facility
2,https://ror.org/00e6nys21 -> https://ror.org/00e6nys21,https://ror.org/00e6nys21,https://ror.org/00e6nys21,RO,RO,Bucharest,Bucharest,Government of Romania,Government of Romania,government,government
2,https://ror.org/00e6nys21 -> https://ror.org/04fm87419,https://ror.org/00e6nys21,https://ror.org/04fm87419,RO,RO,Bucharest,Bucharest,Government of Romania,Carol Davila University of Medicine and Pharmacy,government,education
