OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.8176650502475116,https://ror.org/01znas443,RS,Belgrade,"Ministry of Education, Science and Technological Development",government
1.6108940735985149,https://ror.org/02122at02,RS,Belgrade,Univerzitetski Klinički Centar Srbije,healthcare
1.0717781991250859,https://ror.org/04mqtta86,RS,Belgrade,University of Belgrade - Faculty of Physical Chemistry,education
0.9963203592042303,https://ror.org/03scay082,RS,Belgrade,University of Arts in Belgrade,education
0.8176943343844278,https://ror.org/02vm8jd66,RS,Novi Sad,RT-RK Institute for Computer Based Systems (Serbia),company
0.8176084343299288,https://ror.org/00xa57a59,RS,Novi Sad,University of Novi Sad,education
0.6108698295924665,https://ror.org/02qsmb048,RS,Belgrade,University of Belgrade,education
0.3173015974053657,https://ror.org/017v7rz39,RS,Belgrade,Singidunum University,education
0.09875516509085974,https://ror.org/04f7vj627,RS,Kragujevac,University of Kragujevac,education
0.07180204238900091,https://ror.org/04akw0j64,RS,Belgrade,Institute of General and Physical Chemistry,facility
0.0717841039696125,https://ror.org/0150fxq66,RS,Belgrade,"Institute of Virology, Vaccines and Sera “Torlak”",healthcare
0.04242893803432053,https://ror.org/00965bg92,RS,Niš,University of Nis,education
4.459995796657649e-05,https://ror.org/001et3313,RS,Bor,Mining and Metallurgy Institute Bor,facility
0.0,https://ror.org/054nax084,RS,Kragujevac,Clinical Centre of Kragujevac,healthcare
-0.08817686827388699,https://ror.org/02ffca462,RS,Belgrade,Megatrend University,education
-0.1188438123615774,https://ror.org/04qn48008,RS,Novi Sad,BioSense Institute,facility
-0.18236653029062294,https://ror.org/01dx39x96,RS,Belgrade,Institute of Social Sciences,facility
-0.18236653029062294,https://ror.org/02p56s395,RS,Novi Sad,Institute of Public Health of Vojvodina,education
-0.18236653029062294,https://ror.org/0546j8a61,RS,Kamenica,Institute for Pulmonary Diseases of Vojvodina,healthcare
-0.18237953325595654,https://ror.org/037vhb936,RS,Kamenitz,Educons University,education
-0.18237953325595654,https://ror.org/051dyvc17,RS,Zrenjanin,Technical College of Applied Sciences,education
-0.27699806536049876,https://ror.org/05m1y4204,RS,Belgrade,Serbian Academy of Sciences and Arts,government
-0.28574895185807286,https://ror.org/01y6sx232,RS,Belgrade,Institut za savremenu istoriju,facility
-0.31230845296863186,https://ror.org/01ykx8d32,RS,Belgrade,Institut za onkologiju i radiologiju Srbije,healthcare
-0.3374399034666724,https://ror.org/008szy192,RS,Novi Sad,Institute of Field and Vegetable Crops,facility
-0.38910605484684707,https://ror.org/028yn3418,RS,Belgrade,Institute of Architecture and Urban & Spatial Planning of Serbia,facility
-0.38910605484684707,https://ror.org/001p58g30,RS,Belgrade,Institute for Plant Protection and Environment,facility
-0.38910605484684707,https://ror.org/01101ex45,RS,Belgrade,Institute of Comparative Law,government
-0.38910605484684707,https://ror.org/04pschh68,RS,Novi Sad,"Scientific Veterinary Institute ""Novi Sad""",facility
-0.38910605484684707,https://ror.org/04rx5bj15,RS,Valjevo,Petnica Science Center,nonprofit
-0.38910605484684707,https://ror.org/05422jd13,RS,Belgrade,"University Children's Hospital, Belgrade",healthcare
-0.38911837046018893,https://ror.org/03ypwqc95,RS,Belgrade,Ministry of Interior of the Republic of Serbia,government
-0.38911837046018893,https://ror.org/04t4pcw17,RS,Belgrade,Astronomical Observatory,facility
-0.389122421316681,https://ror.org/017vm7w59,RS,Belgrade,Institute of Forestry,education
-0.389122421316681,https://ror.org/02kfc0089,RS,Belgrade,Institute of Criminological & Sociological Research,facility
-0.389122421316681,https://ror.org/03gh3xj41,RS,Belgrade,Institute of Economic Sciences,nonprofit
-0.3891243875760164,https://ror.org/02yxh7f90,RS,Belgrade,Institute of International Politics and Economics,facility
-0.4064896814017327,https://ror.org/02kgjn162,RS,Belgrade,Univerzitet Union Nikola Tesla,education
-0.5113745219804289,https://ror.org/04dt6a039,RS,Belgrade,Military Medical Academy,healthcare
-0.531234651092367,https://ror.org/01p8d4t94,RS,Belgrade,Union University,education
-0.5350887031469777,https://ror.org/00ewfne71,RS,Belgrade,Metropolitan University,education
-0.6451756888382263,https://ror.org/0596rmt30,RS,Belgrade,Military Technical Institute,government
-0.6753308179225535,https://ror.org/04mmq3h75,RS,Belgrade,University of Defence,education
-0.6945350994458982,https://ror.org/04rafa332,RS,Belgrade,Institute for Technology of Nuclear and other Mineral Raw Materials,facility
-0.8099031009784943,https://ror.org/00ggq9r86,RS,Novi Pazar,State University of Novi Pazar,education
