Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/001et3313 -> https://ror.org/02qsmb048,https://ror.org/001et3313,https://ror.org/02qsmb048,RS,RS,Bor,Belgrade,Mining and Metallurgy Institute Bor,University of Belgrade,facility,education
1,https://ror.org/001et3313 -> https://ror.org/04rafa332,https://ror.org/001et3313,https://ror.org/04rafa332,RS,RS,Bor,Belgrade,Mining and Metallurgy Institute Bor,Institute for Technology of Nuclear and other Mineral Raw Materials,facility,facility
1,https://ror.org/008szy192 -> https://ror.org/008szy192,https://ror.org/008szy192,https://ror.org/008szy192,RS,RS,Novi Sad,Novi Sad,Institute of Field and Vegetable Crops,Institute of Field and Vegetable Crops,facility,facility
2,https://ror.org/00965bg92 -> https://ror.org/001et3313,https://ror.org/00965bg92,https://ror.org/001et3313,RS,RS,Niš,Bor,University of Nis,Mining and Metallurgy Institute Bor,education,facility
91,https://ror.org/00965bg92 -> https://ror.org/00965bg92,https://ror.org/00965bg92,https://ror.org/00965bg92,RS,RS,Niš,Niš,University of Nis,University of Nis,education,education
2,https://ror.org/00965bg92 -> https://ror.org/00ewfne71,https://ror.org/00965bg92,https://ror.org/00ewfne71,RS,RS,Niš,Belgrade,University of Nis,Metropolitan University,education,education
5,https://ror.org/00965bg92 -> https://ror.org/00ggq9r86,https://ror.org/00965bg92,https://ror.org/00ggq9r86,RS,RS,Niš,Novi Pazar,University of Nis,State University of Novi Pazar,education,education
1,https://ror.org/00965bg92 -> https://ror.org/00xa57a59,https://ror.org/00965bg92,https://ror.org/00xa57a59,RS,RS,Niš,Novi Sad,University of Nis,University of Novi Sad,education,education
1,https://ror.org/00965bg92 -> https://ror.org/01p8d4t94,https://ror.org/00965bg92,https://ror.org/01p8d4t94,RS,RS,Niš,Belgrade,University of Nis,Union University,education,education
1,https://ror.org/00965bg92 -> https://ror.org/02qsmb048,https://ror.org/00965bg92,https://ror.org/02qsmb048,RS,RS,Niš,Belgrade,University of Nis,University of Belgrade,education,education
