Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
7,https://ror.org/000hzy098 -> https://ror.org/000hzy098,https://ror.org/000hzy098,https://ror.org/000hzy098,RU,RU,Saint Petersburg,Saint Petersburg,Saint Petersburg State Pediatric Medical University,Saint Petersburg State Pediatric Medical University,education,education
1,https://ror.org/000hzy098 -> https://ror.org/00ctbs693,https://ror.org/000hzy098,https://ror.org/00ctbs693,RU,RU,Saint Petersburg,Yaroslavl,Saint Petersburg State Pediatric Medical University,Yaroslavl State Medical Academy,education,education
1,https://ror.org/000hzy098 -> https://ror.org/01p8ehb87,https://ror.org/000hzy098,https://ror.org/01p8ehb87,RU,RU,Saint Petersburg,Moscow,Saint Petersburg State Pediatric Medical University,Ministry of Health of the Russian Federation,education,government
1,https://ror.org/000hzy098 -> https://ror.org/023znxa73,https://ror.org/000hzy098,https://ror.org/023znxa73,RU,RU,Saint Petersburg,Saint Petersburg,Saint Petersburg State Pediatric Medical University,St Petersburg University,education,education
2,https://ror.org/000hzy098 -> https://ror.org/04g525b43,https://ror.org/000hzy098,https://ror.org/04g525b43,RU,RU,Saint Petersburg,Saint Petersburg,Saint Petersburg State Pediatric Medical University,First Pavlov State Medical University of St. Petersburg,education,education
1,https://ror.org/000hzy098 -> https://ror.org/052ay8m85,https://ror.org/000hzy098,https://ror.org/052ay8m85,RU,RU,Saint Petersburg,Moscow,Saint Petersburg State Pediatric Medical University,Federal Medical-Biological Agency,education,government
4,https://ror.org/000hzy098 -> https://ror.org/05qrfxd25,https://ror.org/000hzy098,https://ror.org/05qrfxd25,RU,RU,Saint Petersburg,Moscow,Saint Petersburg State Pediatric Medical University,Russian Academy of Sciences,education,government
4,https://ror.org/001w4ps18 -> https://ror.org/001w4ps18,https://ror.org/001w4ps18,https://ror.org/001w4ps18,RU,RU,Tula,Tula,Tula State Pedagogical University named after L.N. Tolstoy,Tula State Pedagogical University named after L.N. Tolstoy,education,education
1,https://ror.org/001w4ps18 -> https://ror.org/02dn9h927,https://ror.org/001w4ps18,https://ror.org/02dn9h927,RU,RU,Tula,Moscow,Tula State Pedagogical University named after L.N. Tolstoy,Peoples' Friendship University of Russia,education,education
1,https://ror.org/001w4ps18 -> https://ror.org/04zn7jb34,https://ror.org/001w4ps18,https://ror.org/04zn7jb34,RU,RU,Tula,Moscow,Tula State Pedagogical University named after L.N. Tolstoy,Moscow State Institute of International Relations,education,education
