Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
32,https://ror.org/00286hs46 -> https://ror.org/00286hs46,https://ror.org/00286hs46,https://ror.org/00286hs46,RW,RW,Butare,Butare,University of Rwanda,University of Rwanda,education,education
1,https://ror.org/00286hs46 -> https://ror.org/017wwgg26,https://ror.org/00286hs46,https://ror.org/017wwgg26,RW,RW,Butare,Kigali,University of Rwanda,Kigali Independent University,education,education
3,https://ror.org/00286hs46 -> https://ror.org/04c8tz716,https://ror.org/00286hs46,https://ror.org/04c8tz716,RW,RW,Butare,Kigali,University of Rwanda,University of Global Health Equity,education,education
1,https://ror.org/00286hs46 -> https://ror.org/05prysf28,https://ror.org/00286hs46,https://ror.org/05prysf28,RW,RW,Butare,Kigali,University of Rwanda,Ministry of Health,education,government
2,https://ror.org/00p954r86 -> https://ror.org/00286hs46,https://ror.org/00p954r86,https://ror.org/00286hs46,RW,RW,Kigali,Butare,University of Lay Adventists of Kigali,University of Rwanda,education,education
2,https://ror.org/017wwgg26 -> https://ror.org/00286hs46,https://ror.org/017wwgg26,https://ror.org/00286hs46,RW,RW,Kigali,Butare,Kigali Independent University,University of Rwanda,education,education
1,https://ror.org/02w32z542 -> https://ror.org/00286hs46,https://ror.org/02w32z542,https://ror.org/00286hs46,RW,RW,Kigali,Butare,African Institute for Mathematical Sciences,University of Rwanda,education,education
1,https://ror.org/03v842g47 -> https://ror.org/00286hs46,https://ror.org/03v842g47,https://ror.org/00286hs46,RW,RW,Kigali,Butare,University of Kigali,University of Rwanda,education,education
4,https://ror.org/04c8tz716 -> https://ror.org/00286hs46,https://ror.org/04c8tz716,https://ror.org/00286hs46,RW,RW,Kigali,Butare,University of Global Health Equity,University of Rwanda,education,education
1,https://ror.org/04c8tz716 -> https://ror.org/017wwgg26,https://ror.org/04c8tz716,https://ror.org/017wwgg26,RW,RW,Kigali,Kigali,University of Global Health Equity,Kigali Independent University,education,education
