OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.0409220655623312,https://ror.org/00q919b81,SA,Riyadh,Ministry of Education,government
0.7031439827586966,https://ror.org/01q3tbs38,SA,Jeddah,King Abdullah University of Science and Technology,education
0.6230380926876801,https://ror.org/049c46160,SA,Riyadh,Naif Arab University for Security Sciences,education
0.5035093238500512,https://ror.org/0149jvn88,SA,Riyadh,King Saud bin Abdulaziz University for Health Sciences,education
0.3487130197498039,https://ror.org/04cjdzt83,SA,Mecca,King Abdulaziz Hospital,healthcare
0.3167992821829304,https://ror.org/0230h1q47,SA,Khobar,King Fahd Hospital of the University,healthcare
0.08683656375350512,https://ror.org/03yez3163,SA,Dhahran,King Fahd University of Petroleum and Minerals,education
0.040863032251588535,https://ror.org/02f81g417,SA,Riyadh,King Saud University,education
0.015360453544515706,https://ror.org/02ma4wv74,SA,Jeddah,King Abdulaziz University,education
0.00290879057072975,https://ror.org/00cdrtq48,SA,Riyadh,Alfaisal University,education
3.226993404916787e-05,https://ror.org/009djsq06,SA,Riyadh,King Abdulaziz Medical City,healthcare
0.0,https://ror.org/00m813a78,SA,Al Bukayrīyah,Sulaiman Al Rajhi Colleges,education
-0.09380339625708634,https://ror.org/01vv03303,SA,Jeddah,King Abdul Aziz University Hospital,healthcare
-0.11458859490444655,https://ror.org/01xjqrm90,SA,Mecca,Umm al-Qura University,education
-0.12134684184006364,https://ror.org/05ndh7v49,SA,Riyadh,Saudi Electronic University,education
-0.1409160610773717,https://ror.org/053mqrf26,SA,Riyadh,Prince Sultan University,education
-0.29679988054598155,https://ror.org/009p8zv69,SA,Jeddah,King Abdullah International Medical Research Center,facility
-0.29679988054598155,https://ror.org/02cnwgt19,SA,Jeddah,Effat University,education
-0.307792419275922,https://ror.org/03d64na34,SA,Khobar,Prince Mohammad bin Fahd University,education
-0.3299228062221861,https://ror.org/015ya8798,SA,Jeddah,Jeddah University,education
-0.33187615339961374,https://ror.org/02zsyt821,SA,Sakakah,Al Jouf University,education
-0.3330925798394543,https://ror.org/05gxjyb39,SA,Riyadh,Imam Mohammad ibn Saud Islamic University,education
-0.34426794729386145,https://ror.org/02bjnq803,SA,Jizan,Jazan University,education
-0.35621211281009246,https://ror.org/030atj633,SA,Riyadh,Ministry of Health,government
-0.4509183556327858,https://ror.org/03ypap427,SA,Dhahran,Saudi Aramco (Saudi Arabia),company
-0.5696509981796982,https://ror.org/014g1a453,SA,Ta’if,Taif University,education
-0.6198226176932117,https://ror.org/00dn43547,SA,Al Hufūf,King Faisal University,education
-0.6832634002514927,https://ror.org/052kwzs30,SA,Abhā,King Khalid University,education
-0.7024813645194629,https://ror.org/038cy8j79,SA,Dammam,Imam Abdulrahman Bin Faisal University,education
-0.7233824489461737,https://ror.org/013w98a82,SA,Ha'il,University of Ha'il,education
-0.7413969453453688,https://ror.org/01xv1nn60,SA,Medina,Taibah University,education
-0.7614566454091267,https://ror.org/04yej8x59,SA,Tabuk,University of Tabuk,education
-0.7698952018798852,https://ror.org/05b0cyh02,SA,Riyadh,Princess Nourah bint Abdulrahman University,education
-0.8965114679946139,https://ror.org/03cxjvr57,SA,Al Jubayl,​​Jubail University College,education
-0.9131029634378781,https://ror.org/05edw4a90,SA,Najrān,Najran University,education
-0.9131029634378781,https://ror.org/05n0wgt02,SA,Riyadh,King Faisal Specialist Hospital & Research Centre,healthcare
-0.9131576039289524,https://ror.org/021jt1927,SA,Riyadh,University of Hafr Al-Batin,education
-0.9590726577807746,https://ror.org/00rz3mr26,SA,Riyadh,Riyadh Elm University,education
-0.9590726577807746,https://ror.org/00g1a3p24,SA,Riyadh,Saudi Commission for Health Specialties,government
-0.9590726577807746,https://ror.org/035n3nf68,SA,Riyadh,Security Forces Hospital,healthcare
-0.9590726577807746,https://ror.org/036b03a90,SA,Riyadh,Al Yamamah University,education
-0.9590726577807746,https://ror.org/03myd1n81,SA,Riyadh,Dar Al Uloom University,education
-0.9749865985747033,https://ror.org/05hawb687,SA,Riyadh,Shaqra University,education
-0.9845804359936202,https://ror.org/054atdn20,SA,Mecca,King Abdullah Medical City,healthcare
-0.9846115699805799,https://ror.org/05tcr1n44,SA,Jeddah,University of Business and Technology,education
-0.9956101297123647,https://ror.org/03rcp1y74,SA,Medina,Islamic University of Madinah,education
-1.0367125073050178,https://ror.org/01g0jya04,SA,Jeddah,Dar Al-Hekma University,education
-1.0627408100197762,https://ror.org/01wsfe280,SA,Buraydah,Qassim University,education
-1.1098211615726905,https://ror.org/01rw40d12,SA,Al Jubayl,Jubail Industrial College,education
-1.114528565087926,https://ror.org/0403jak37,SA,Al Bahah,Al Baha University,education
-1.1461001029703366,https://ror.org/01mcrnj60,SA,Riyadh,Majmaah University,education
-1.1787416183962527,https://ror.org/04jt46d36,SA,Al Kharj,Prince Sattam Bin Abdulaziz University,education
-1.2413786358197527,https://ror.org/03j9tzj20,SA,Arar,Northern Border University,education
-1.4503692447287404,https://ror.org/040548g92,SA,Bisha,University of Bisha,education
-1.6611226236012366,https://ror.org/02pecpe58,SA,Riyadh,National Guard Health Affairs,healthcare
-1.7413630105426996,https://ror.org/011adk382,SA,Yanbu,Yanbu University College,education
