Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/009djsq06 -> https://ror.org/01vv03303,https://ror.org/009djsq06,https://ror.org/01vv03303,SA,SA,Riyadh,Jeddah,King Abdulaziz Medical City,King Abdul Aziz University Hospital,healthcare,healthcare
1,https://ror.org/009djsq06 -> https://ror.org/02f81g417,https://ror.org/009djsq06,https://ror.org/02f81g417,SA,SA,Riyadh,Riyadh,King Abdulaziz Medical City,King Saud University,healthcare,education
1,https://ror.org/009p8zv69 -> https://ror.org/009p8zv69,https://ror.org/009p8zv69,https://ror.org/009p8zv69,SA,SA,Jeddah,Jeddah,King Abdullah International Medical Research Center,King Abdullah International Medical Research Center,facility,facility
1,https://ror.org/00cdrtq48 -> https://ror.org/02f81g417,https://ror.org/00cdrtq48,https://ror.org/02f81g417,SA,SA,Riyadh,Riyadh,Alfaisal University,King Saud University,education,education
1,https://ror.org/00cdrtq48 -> https://ror.org/05b0cyh02,https://ror.org/00cdrtq48,https://ror.org/05b0cyh02,SA,SA,Riyadh,Riyadh,Alfaisal University,Princess Nourah bint Abdulrahman University,education,education
1,https://ror.org/00cdrtq48 -> https://ror.org/05hawb687,https://ror.org/00cdrtq48,https://ror.org/05hawb687,SA,SA,Riyadh,Riyadh,Alfaisal University,Shaqra University,education,education
9,https://ror.org/00dn43547 -> https://ror.org/00dn43547,https://ror.org/00dn43547,https://ror.org/00dn43547,SA,SA,Al Hufūf,Al Hufūf,King Faisal University,King Faisal University,education,education
1,https://ror.org/00dn43547 -> https://ror.org/02pecpe58,https://ror.org/00dn43547,https://ror.org/02pecpe58,SA,SA,Al Hufūf,Riyadh,King Faisal University,National Guard Health Affairs,education,healthcare
1,https://ror.org/00dn43547 -> https://ror.org/052kwzs30,https://ror.org/00dn43547,https://ror.org/052kwzs30,SA,SA,Al Hufūf,Abhā,King Faisal University,King Khalid University,education,education
2,https://ror.org/00m813a78 -> https://ror.org/00m813a78,https://ror.org/00m813a78,https://ror.org/00m813a78,SA,SA,Al Bukayrīyah,Al Bukayrīyah,Sulaiman Al Rajhi Colleges,Sulaiman Al Rajhi Colleges,education,education
1,https://ror.org/00q919b81 -> https://ror.org/02f81g417,https://ror.org/00q919b81,https://ror.org/02f81g417,SA,SA,Riyadh,Riyadh,Ministry of Education,King Saud University,government,education
1,https://ror.org/00rz3mr26 -> https://ror.org/00rz3mr26,https://ror.org/00rz3mr26,https://ror.org/00rz3mr26,SA,SA,Riyadh,Riyadh,Riyadh Elm University,Riyadh Elm University,education,education
1,https://ror.org/013w98a82 -> https://ror.org/013w98a82,https://ror.org/013w98a82,https://ror.org/013w98a82,SA,SA,Ha'il,Ha'il,University of Ha'il,University of Ha'il,education,education
1,https://ror.org/0149jvn88 -> https://ror.org/013w98a82,https://ror.org/0149jvn88,https://ror.org/013w98a82,SA,SA,Riyadh,Ha'il,King Saud bin Abdulaziz University for Health Sciences,University of Ha'il,education,education
1,https://ror.org/0149jvn88 -> https://ror.org/0149jvn88,https://ror.org/0149jvn88,https://ror.org/0149jvn88,SA,SA,Riyadh,Riyadh,King Saud bin Abdulaziz University for Health Sciences,King Saud bin Abdulaziz University for Health Sciences,education,education
6,https://ror.org/0149jvn88 -> https://ror.org/02f81g417,https://ror.org/0149jvn88,https://ror.org/02f81g417,SA,SA,Riyadh,Riyadh,King Saud bin Abdulaziz University for Health Sciences,King Saud University,education,education
1,https://ror.org/0149jvn88 -> https://ror.org/02ma4wv74,https://ror.org/0149jvn88,https://ror.org/02ma4wv74,SA,SA,Riyadh,Jeddah,King Saud bin Abdulaziz University for Health Sciences,King Abdulaziz University,education,education
1,https://ror.org/0149jvn88 -> https://ror.org/052kwzs30,https://ror.org/0149jvn88,https://ror.org/052kwzs30,SA,SA,Riyadh,Abhā,King Saud bin Abdulaziz University for Health Sciences,King Khalid University,education,education
2,https://ror.org/014g1a453 -> https://ror.org/014g1a453,https://ror.org/014g1a453,https://ror.org/014g1a453,SA,SA,Ta’if,Ta’if,Taif University,Taif University,education,education
2,https://ror.org/014g1a453 -> https://ror.org/01wsfe280,https://ror.org/014g1a453,https://ror.org/01wsfe280,SA,SA,Ta’if,Buraydah,Taif University,Qassim University,education,education
