OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.6585487265460278,https://ror.org/058v0t886,SD,Khartoum,Sudan Academy of Sciences,education
0.6247043644655789,https://ror.org/028gajb68,SD,Khartoum,Nile Valley University,education
0.606254997929771,https://ror.org/01rztx461,SD,Khartoum,University of Medical Sciences and Technology,education
0.38961008812622244,https://ror.org/029bt1211,SD,Khartoum,Sudan Academy for Banking and Financial Sciences,education
0.2711544502885985,https://ror.org/02ts9m233,SD,Khartoum,Sudan Medical Specialization Board,education
0.1735800078376341,https://ror.org/02jbayz55,SD,Khartoum,University of Khartoum,education
0.15169132286104392,https://ror.org/008r9vm50,SD,Sennar,Sinnar University,education
1.4583610587418661e-05,https://ror.org/001mf9v16,SD,Wad Madani,University of Gezira,education
0.0,https://ror.org/004qjck53,SD,Omdurman,University of Science and Technology Omdurman,education
-0.00471896256637559,https://ror.org/02fwtg066,SD,Khartoum,Sudan University of Science and Technology,education
-0.14564954695687604,https://ror.org/01j7x7d84,SD,Khartoum,Alzaiem Alazhari University,education
-0.17558043143973384,https://ror.org/03ws81249,SD,Omdurman,Karary University,education
-0.18449350094749667,https://ror.org/05dvsnx49,SD,Khartoum,Al-Neelain University,education
-0.3212799979868724,https://ror.org/038cq1h45,SD,Khartoum,Khartoum International Institute for Arabic Languague,education
-0.32643285653676124,https://ror.org/01g5skz36,SD,Omdurman,Ahfad University for Women,education
-0.34148018883121795,https://ror.org/0040db356,SD,El Fasher,Al Fashir University,education
-0.3937763599420639,https://ror.org/04da1m383,SD,Khartoum,University of Garden City,education
-0.47488484923972674,https://ror.org/05jds5x60,SD,Khartoum,University of Bahri,education
-0.5051033937634618,https://ror.org/04k46b490,SD,Port Sudan,Red Sea University,education
-0.5474542198619669,https://ror.org/00p4jn321,SD,Khartoum,Sudan International University,education
-0.5722022680621025,https://ror.org/04zfq3f98,SD,El Obeid,University of Kordofan,education
-0.5839574854769017,https://ror.org/00kn43d12,SD,Khartoum,National Centre for Research,facility
-0.6082807731339036,https://ror.org/025qja684,SD,Omdurman,Omdurman Islamic University,education
-0.7217372503348942,https://ror.org/029jt9a82,SD,Khartoum,International University of Africa,education
-0.7746657823652712,https://ror.org/01x7yyx87,SD,Khartoum,National Ribat University,education
-0.8264620263567088,https://ror.org/00v5bx942,SD,Khartoum,Nahda College,education
-0.8264620263567088,https://ror.org/03275xe23,SD,Nyala,University of Nyala,education
-0.8264620263567088,https://ror.org/05y7edy46,SD,Al Fūlah,West Kordofan University,education
-0.8885471494440056,https://ror.org/03bm5es30,SD,Dongola,University of Dongola,education
-0.9155909548440848,https://ror.org/003r3cg42,SD,Khartoum,National University,education
-0.9155909548440848,https://ror.org/05tzr3y75,SD,Kassala,Kassala University,education
-0.9453001350069857,https://ror.org/01wnxx236,SD,Ad-Damazin,Blue Nile University,education
-0.9804098622626632,https://ror.org/03ghc4a37,SD,Shendi,Shendi University,education
-1.0000310910203536,https://ror.org/03j6adw74,SD,Al Qadarif,Gadarif University,education
-1.001034246397374,https://ror.org/00yga0160,SD,Khartoum,Delta College of Science and Technology,education
-1.0032406867514432,https://ror.org/01b0sca09,SD,Kosti,University of El Imam El Mahdi,education
-1.0036480066196511,https://ror.org/0092t1z08,SD,Khartoum,The Future University,education
-1.0047638557507843,https://ror.org/04mz2ft79,SD,Khartoum,Bayan University,education
-1.1363362741750562,https://ror.org/0239tnv53,SD,Omdurman,Omdurman Ahlia University,education
-1.7747109890757202,https://ror.org/00vgwmr59,SD,Khartoum,Elrazi University,education
