Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
38,https://ror.org/001mf9v16 -> https://ror.org/001mf9v16,https://ror.org/001mf9v16,https://ror.org/001mf9v16,SD,SD,Wad Madani,Wad Madani,University of Gezira,University of Gezira,education,education
1,https://ror.org/001mf9v16 -> https://ror.org/0092t1z08,https://ror.org/001mf9v16,https://ror.org/0092t1z08,SD,SD,Wad Madani,Khartoum,University of Gezira,The Future University,education,education
1,https://ror.org/001mf9v16 -> https://ror.org/01j7x7d84,https://ror.org/001mf9v16,https://ror.org/01j7x7d84,SD,SD,Wad Madani,Khartoum,University of Gezira,Alzaiem Alazhari University,education,education
1,https://ror.org/001mf9v16 -> https://ror.org/0239tnv53,https://ror.org/001mf9v16,https://ror.org/0239tnv53,SD,SD,Wad Madani,Omdurman,University of Gezira,Omdurman Ahlia University,education,education
2,https://ror.org/001mf9v16 -> https://ror.org/025qja684,https://ror.org/001mf9v16,https://ror.org/025qja684,SD,SD,Wad Madani,Omdurman,University of Gezira,Omdurman Islamic University,education,education
2,https://ror.org/001mf9v16 -> https://ror.org/029jt9a82,https://ror.org/001mf9v16,https://ror.org/029jt9a82,SD,SD,Wad Madani,Khartoum,University of Gezira,International University of Africa,education,education
4,https://ror.org/001mf9v16 -> https://ror.org/02fwtg066,https://ror.org/001mf9v16,https://ror.org/02fwtg066,SD,SD,Wad Madani,Khartoum,University of Gezira,Sudan University of Science and Technology,education,education
6,https://ror.org/001mf9v16 -> https://ror.org/02jbayz55,https://ror.org/001mf9v16,https://ror.org/02jbayz55,SD,SD,Wad Madani,Khartoum,University of Gezira,University of Khartoum,education,education
5,https://ror.org/001mf9v16 -> https://ror.org/03bm5es30,https://ror.org/001mf9v16,https://ror.org/03bm5es30,SD,SD,Wad Madani,Dongola,University of Gezira,University of Dongola,education,education
1,https://ror.org/001mf9v16 -> https://ror.org/03ghc4a37,https://ror.org/001mf9v16,https://ror.org/03ghc4a37,SD,SD,Wad Madani,Shendi,University of Gezira,Shendi University,education,education
1,https://ror.org/001mf9v16 -> https://ror.org/03j6adw74,https://ror.org/001mf9v16,https://ror.org/03j6adw74,SD,SD,Wad Madani,Al Qadarif,University of Gezira,Gadarif University,education,education
1,https://ror.org/001mf9v16 -> https://ror.org/04zfq3f98,https://ror.org/001mf9v16,https://ror.org/04zfq3f98,SD,SD,Wad Madani,El Obeid,University of Gezira,University of Kordofan,education,education
3,https://ror.org/001mf9v16 -> https://ror.org/05dvsnx49,https://ror.org/001mf9v16,https://ror.org/05dvsnx49,SD,SD,Wad Madani,Khartoum,University of Gezira,Al-Neelain University,education,education
2,https://ror.org/004qjck53 -> https://ror.org/004qjck53,https://ror.org/004qjck53,https://ror.org/004qjck53,SD,SD,Omdurman,Omdurman,University of Science and Technology Omdurman,University of Science and Technology Omdurman,education,education
1,https://ror.org/008r9vm50 -> https://ror.org/038cq1h45,https://ror.org/008r9vm50,https://ror.org/038cq1h45,SD,SD,Sennar,Khartoum,Sinnar University,Khartoum International Institute for Arabic Languague,education,education
2,https://ror.org/0092t1z08 -> https://ror.org/0092t1z08,https://ror.org/0092t1z08,https://ror.org/0092t1z08,SD,SD,Khartoum,Khartoum,The Future University,The Future University,education,education
1,https://ror.org/00p4jn321 -> https://ror.org/01x7yyx87,https://ror.org/00p4jn321,https://ror.org/01x7yyx87,SD,SD,Khartoum,Khartoum,Sudan International University,National Ribat University,education,education
1,https://ror.org/00p4jn321 -> https://ror.org/03ghc4a37,https://ror.org/00p4jn321,https://ror.org/03ghc4a37,SD,SD,Khartoum,Shendi,Sudan International University,Shendi University,education,education
2,https://ror.org/01g5skz36 -> https://ror.org/01g5skz36,https://ror.org/01g5skz36,https://ror.org/01g5skz36,SD,SD,Omdurman,Omdurman,Ahfad University for Women,Ahfad University for Women,education,education
1,https://ror.org/01g5skz36 -> https://ror.org/02jbayz55,https://ror.org/01g5skz36,https://ror.org/02jbayz55,SD,SD,Omdurman,Khartoum,Ahfad University for Women,University of Khartoum,education,education
6,https://ror.org/01j7x7d84 -> https://ror.org/01j7x7d84,https://ror.org/01j7x7d84,https://ror.org/01j7x7d84,SD,SD,Khartoum,Khartoum,Alzaiem Alazhari University,Alzaiem Alazhari University,education,education
2,https://ror.org/01j7x7d84 -> https://ror.org/025qja684,https://ror.org/01j7x7d84,https://ror.org/025qja684,SD,SD,Khartoum,Omdurman,Alzaiem Alazhari University,Omdurman Islamic University,education,education
1,https://ror.org/01j7x7d84 -> https://ror.org/029jt9a82,https://ror.org/01j7x7d84,https://ror.org/029jt9a82,SD,SD,Khartoum,Khartoum,Alzaiem Alazhari University,International University of Africa,education,education
1,https://ror.org/01j7x7d84 -> https://ror.org/02jbayz55,https://ror.org/01j7x7d84,https://ror.org/02jbayz55,SD,SD,Khartoum,Khartoum,Alzaiem Alazhari University,University of Khartoum,education,education
1,https://ror.org/01j7x7d84 -> https://ror.org/03bm5es30,https://ror.org/01j7x7d84,https://ror.org/03bm5es30,SD,SD,Khartoum,Dongola,Alzaiem Alazhari University,University of Dongola,education,education
2,https://ror.org/01rztx461 -> https://ror.org/001mf9v16,https://ror.org/01rztx461,https://ror.org/001mf9v16,SD,SD,Khartoum,Wad Madani,University of Medical Sciences and Technology,University of Gezira,education,education
1,https://ror.org/01rztx461 -> https://ror.org/00yga0160,https://ror.org/01rztx461,https://ror.org/00yga0160,SD,SD,Khartoum,Khartoum,University of Medical Sciences and Technology,Delta College of Science and Technology,education,education
6,https://ror.org/01rztx461 -> https://ror.org/01rztx461,https://ror.org/01rztx461,https://ror.org/01rztx461,SD,SD,Khartoum,Khartoum,University of Medical Sciences and Technology,University of Medical Sciences and Technology,education,education
1,https://ror.org/01rztx461 -> https://ror.org/029jt9a82,https://ror.org/01rztx461,https://ror.org/029jt9a82,SD,SD,Khartoum,Khartoum,University of Medical Sciences and Technology,International University of Africa,education,education
2,https://ror.org/01rztx461 -> https://ror.org/02fwtg066,https://ror.org/01rztx461,https://ror.org/02fwtg066,SD,SD,Khartoum,Khartoum,University of Medical Sciences and Technology,Sudan University of Science and Technology,education,education
8,https://ror.org/01rztx461 -> https://ror.org/02jbayz55,https://ror.org/01rztx461,https://ror.org/02jbayz55,SD,SD,Khartoum,Khartoum,University of Medical Sciences and Technology,University of Khartoum,education,education
1,https://ror.org/01rztx461 -> https://ror.org/038cq1h45,https://ror.org/01rztx461,https://ror.org/038cq1h45,SD,SD,Khartoum,Khartoum,University of Medical Sciences and Technology,Khartoum International Institute for Arabic Languague,education,education
1,https://ror.org/01rztx461 -> https://ror.org/03ghc4a37,https://ror.org/01rztx461,https://ror.org/03ghc4a37,SD,SD,Khartoum,Shendi,University of Medical Sciences and Technology,Shendi University,education,education
1,https://ror.org/01rztx461 -> https://ror.org/04da1m383,https://ror.org/01rztx461,https://ror.org/04da1m383,SD,SD,Khartoum,Khartoum,University of Medical Sciences and Technology,University of Garden City,education,education
1,https://ror.org/01x7yyx87 -> https://ror.org/001mf9v16,https://ror.org/01x7yyx87,https://ror.org/001mf9v16,SD,SD,Khartoum,Wad Madani,National Ribat University,University of Gezira,education,education
1,https://ror.org/01x7yyx87 -> https://ror.org/00vgwmr59,https://ror.org/01x7yyx87,https://ror.org/00vgwmr59,SD,SD,Khartoum,Khartoum,National Ribat University,Elrazi University,education,education
1,https://ror.org/01x7yyx87 -> https://ror.org/01x7yyx87,https://ror.org/01x7yyx87,https://ror.org/01x7yyx87,SD,SD,Khartoum,Khartoum,National Ribat University,National Ribat University,education,education
