OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.8942986820481302,https://ror.org/022w3f533,SE,Stockholm,Swedish Institute,government
1.883581305521292,https://ror.org/03v3jkw12,SE,Lund,Active Biotech (Sweden),company
1.7657047477298482,https://ror.org/0393v2x22,SE,Luleå,Norrbottens läns Landsting,other
1.7142595300257806,https://ror.org/058hg4545,SE,Simrishamn,Simris Alg (Sweden),company
1.2888535117092323,https://ror.org/03gfs5c49,SE,Göteborg,Nordic School of Public Health,education
1.2277426068544373,https://ror.org/02ehp0f77,SE,Umeå,Umeå Plant Science Centre,facility
1.168333561499335,https://ror.org/01s5jzh92,SE,Stockholm,Stockholm School of Economics,education
0.9992683181741518,https://ror.org/015zanq20,SE,Uppsala,Institute for Evaluation of Labour Market and Education Policy,facility
0.9850050048473439,https://ror.org/026vcq606,SE,Stockholm,KTH Royal Institute of Technology,education
0.9350015812704893,https://ror.org/05ynxx418,SE,Linköping,Linköping University,education
0.9146507821149331,https://ror.org/017jyhg36,SE,Stockholm,Royal College of Music in Stockholm,education
0.9086916610973559,https://ror.org/04gt4je81,SE,Motala,Lasarettet i Motala,healthcare
0.8944637382274521,https://ror.org/05f0yaq80,SE,Stockholm,Stockholm University,education
0.8864334992376386,https://ror.org/048a87296,SE,Uppsala,Uppsala University,education
0.8837466408953623,https://ror.org/012a77v79,SE,Lund,Lund University,education
0.8819939149034606,https://ror.org/01vf7p965,SE,Kista,Swedish Institute of Computer Science,nonprofit
0.876150455304665,https://ror.org/01qas6g18,SE,Borås,Södra Älvsborg Hospital,healthcare
0.8412599205798045,https://ror.org/05kb8h459,SE,Umeå,Umeå University,education
0.8411780851172913,https://ror.org/012k96e85,SE,Umeå,University Hospital of Umeå,healthcare
0.8262655148798901,https://ror.org/0440znq24,SE,Stockholm,Foundation Blanceflor,other
0.8242514257651741,https://ror.org/040wg7k59,SE,Gothenburg,Chalmers University of Technology,education
0.8240298921547772,https://ror.org/01tm6cn81,SE,Gothenburg,University of Gothenburg,education
0.7658699524142082,https://ror.org/016st3p78,SE,Luleå,Luleå University of Technology,education
0.7582308941706368,https://ror.org/056d84691,SE,Stockholm,Karolinska Institutet,education
0.7144247279802326,https://ror.org/02yy8x990,SE,Uppsala,Swedish University of Agricultural Sciences,education
0.6139657825015893,https://ror.org/0093a8w51,SE,Karlskrona,Blekinge Institute of Technology,education
0.489095626583521,https://ror.org/019k1pd13,SE,Sundsvall,Mid Sweden University,education
0.4202166674398451,https://ror.org/05s754026,SE,Karlstad,Karlstad University,education
0.39322334040467816,https://ror.org/05kytsw45,SE,Örebro,Örebro University,education
0.3837057753297886,https://ror.org/047866h90,SE,Lund,BioInvent (Sweden),company
0.333059364256702,https://ror.org/00a4x6777,SE,Vänersborg,Region Västra Götaland,government
0.31437880464011453,https://ror.org/033vfbz75,SE,Västerås,Mälardalen University,education
0.28901878530245906,https://ror.org/00j9qag85,SE,Vaxjo,Linnaeus University,education
0.27682876838979253,https://ror.org/01kdbb633,SE,Bromma,University College Stockholm,education
0.24576099599573975,https://ror.org/04t50sy53,SE,Umeå,Västerbottens Läns Landsting,government
0.2406136360475443,https://ror.org/03t54am93,SE,Jönköping,Jönköping University,education
0.20898818170941993,https://ror.org/043kppn11,SE,Kiruna,Swedish Institute of Space Physics,education
0.19865200075193357,https://ror.org/046hach49,SE,Stockholm,Swedish School of Sport and Health Sciences,education
0.15776081823602295,https://ror.org/00d973h41,SE,Huddinge,Södertörn University,education
0.09558721789095831,https://ror.org/04gey0774,SE,Stockholm,Government of Sweden,government
0.08370398871075728,https://ror.org/05wp7an13,SE,Malmo,Malmö University,education
0.06403051328282622,https://ror.org/00pbfkr44,SE,Stockholm,University College of Arts Crafts and Design,education
0.025719899788085157,https://ror.org/05x4m5564,SE,Solna,Public Health Agency of Sweden,government
0.023849624927196923,https://ror.org/03h0qfp10,SE,Halmstad,Halmstad University,education
0.01609616421674379,https://ror.org/04mj8af82,SE,Stockholm,Swedish Defence University,education
0.009446228271141464,https://ror.org/01apvbh93,SE,Uppsala,Uppsala University Hospital,healthcare
0.009088135201233789,https://ror.org/043fje207,SE,Gävle,University of Gävle,education
0.0,https://ror.org/049ygtv97,SE,Falun,Landstinget Dalarna,government
0.0,https://ror.org/04jnypc35,SE,Mölndal,Integrum (Sweden),company
0.0,https://ror.org/04xvmv949,SE,Gothenburg,Stiftelsen Anna och Gunnar Vidfelts Fond för Biologisk Forskning,nonprofit
0.0,https://ror.org/0570s7p64,SE,Göteborg,Göteborgs Tandläkare Sällskap,other
-0.0004511193859066903,https://ror.org/000hdh770,SE,Falun,Dalarna University,education
-0.0005667147814711728,https://ror.org/0311gd774,SE,Stockholm,Research Institute of Industrial Economics,nonprofit
-0.0030285449998958287,https://ror.org/02zrae794,SE,Stockholm,Stockholm County Council,government
-0.015160104663387027,https://ror.org/026cc4t87,SE,Stockholm,Swedish Institute of Steel Construction,nonprofit
-0.015160104663387027,https://ror.org/028v4fg64,SE,Stockholm,Vattenfall (Sweden),company
-0.015160104663387027,https://ror.org/02dwgrr09,SE,Bollnäs,Intermodulation Products (Sweden),company
-0.015160104663387027,https://ror.org/03hcqp925,SE,Stockholm,Swedish Entrepreneurship Forum,other
-0.015160104663387027,https://ror.org/03z2ts232,SE,Stockholm,Swedish Film Institute,education
-0.01684074706119606,https://ror.org/00j5mtz35,SE,Stockholm,Ratio,facility
-0.02885411652713274,https://ror.org/051mrsz47,SE,Skövde,University of Skövde,education
-0.03847863801891652,https://ror.org/00m8d6786,SE,Stockholm,Karolinska University Hospital,healthcare
-0.0642193232546007,https://ror.org/0257kt353,SE,Trollhättan,University West,education
-0.06505298767656371,https://ror.org/025nk1308,SE,Linköping,Sectra (Sweden),company
-0.06508046978032947,https://ror.org/00be47m52,SE,Stockholm,Perimed (Sweden),company
-0.06508046978032947,https://ror.org/02dxpep57,SE,Stockholm,Swedish National Board of Forensic Medicine,other
-0.06516386714971598,https://ror.org/01nfdxd69,SE,Lund,Swedish Institute for Health Economics,facility
-0.06516386714971598,https://ror.org/0240hhb81,SE,Stockholm,Swedish Consumer Agency,government
-0.06516386714971598,https://ror.org/03advjx75,SE,Gävle,Future Position X,other
-0.06516386714971598,https://ror.org/05fdfws23,SE,Kista,Swedish ICT Research (Sweden),company
-0.07102400421476042,https://ror.org/05q84se63,SE,Uppsala,Nordic Africa Institute,facility
-0.08320525021701719,https://ror.org/03g4sde39,SE,Södertälje,Scania (Sweden),company
-0.08730642015087764,https://ror.org/01fdxwh83,SE,Borås,University of Borås,education
