Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
7,https://ror.org/000hdh770 -> https://ror.org/000hdh770,https://ror.org/000hdh770,https://ror.org/000hdh770,SE,SE,Falun,Falun,Dalarna University,Dalarna University,education,education
1,https://ror.org/000hdh770 -> https://ror.org/016st3p78,https://ror.org/000hdh770,https://ror.org/016st3p78,SE,SE,Falun,Luleå,Dalarna University,Luleå University of Technology,education,education
1,https://ror.org/000hdh770 -> https://ror.org/019k1pd13,https://ror.org/000hdh770,https://ror.org/019k1pd13,SE,SE,Falun,Sundsvall,Dalarna University,Mid Sweden University,education,education
1,https://ror.org/000hdh770 -> https://ror.org/026vcq606,https://ror.org/000hdh770,https://ror.org/026vcq606,SE,SE,Falun,Stockholm,Dalarna University,KTH Royal Institute of Technology,education,education
1,https://ror.org/000hdh770 -> https://ror.org/048a87296,https://ror.org/000hdh770,https://ror.org/048a87296,SE,SE,Falun,Uppsala,Dalarna University,Uppsala University,education,education
2,https://ror.org/000hdh770 -> https://ror.org/05kb8h459,https://ror.org/000hdh770,https://ror.org/05kb8h459,SE,SE,Falun,Umeå,Dalarna University,Umeå University,education,education
28,https://ror.org/0093a8w51 -> https://ror.org/0093a8w51,https://ror.org/0093a8w51,https://ror.org/0093a8w51,SE,SE,Karlskrona,Karlskrona,Blekinge Institute of Technology,Blekinge Institute of Technology,education,education
1,https://ror.org/0093a8w51 -> https://ror.org/00j9qag85,https://ror.org/0093a8w51,https://ror.org/00j9qag85,SE,SE,Karlskrona,Vaxjo,Blekinge Institute of Technology,Linnaeus University,education,education
2,https://ror.org/0093a8w51 -> https://ror.org/00tkrft03,https://ror.org/0093a8w51,https://ror.org/00tkrft03,SE,SE,Karlskrona,Kristianstad,Blekinge Institute of Technology,Kristianstad University,education,education
3,https://ror.org/0093a8w51 -> https://ror.org/012a77v79,https://ror.org/0093a8w51,https://ror.org/012a77v79,SE,SE,Karlskrona,Lund,Blekinge Institute of Technology,Lund University,education,education
1,https://ror.org/0093a8w51 -> https://ror.org/01fdxwh83,https://ror.org/0093a8w51,https://ror.org/01fdxwh83,SE,SE,Karlskrona,Borås,Blekinge Institute of Technology,University of Borås,education,education
1,https://ror.org/0093a8w51 -> https://ror.org/01tm6cn81,https://ror.org/0093a8w51,https://ror.org/01tm6cn81,SE,SE,Karlskrona,Gothenburg,Blekinge Institute of Technology,University of Gothenburg,education,education
1,https://ror.org/0093a8w51 -> https://ror.org/0257kt353,https://ror.org/0093a8w51,https://ror.org/0257kt353,SE,SE,Karlskrona,Trollhättan,Blekinge Institute of Technology,University West,education,education
2,https://ror.org/0093a8w51 -> https://ror.org/033vfbz75,https://ror.org/0093a8w51,https://ror.org/033vfbz75,SE,SE,Karlskrona,Västerås,Blekinge Institute of Technology,Mälardalen University,education,education
7,https://ror.org/0093a8w51 -> https://ror.org/03t54am93,https://ror.org/0093a8w51,https://ror.org/03t54am93,SE,SE,Karlskrona,Jönköping,Blekinge Institute of Technology,Jönköping University,education,education
1,https://ror.org/0093a8w51 -> https://ror.org/040wg7k59,https://ror.org/0093a8w51,https://ror.org/040wg7k59,SE,SE,Karlskrona,Gothenburg,Blekinge Institute of Technology,Chalmers University of Technology,education,education
1,https://ror.org/0093a8w51 -> https://ror.org/05kytsw45,https://ror.org/0093a8w51,https://ror.org/05kytsw45,SE,SE,Karlskrona,Örebro,Blekinge Institute of Technology,Örebro University,education,education
2,https://ror.org/0093a8w51 -> https://ror.org/05s754026,https://ror.org/0093a8w51,https://ror.org/05s754026,SE,SE,Karlskrona,Karlstad,Blekinge Institute of Technology,Karlstad University,education,education
1,https://ror.org/00a4x6777 -> https://ror.org/008y4p075,https://ror.org/00a4x6777,https://ror.org/008y4p075,SE,SE,Vänersborg,Karlskrona,Region Västra Götaland,Region Blekinge,government,government
1,https://ror.org/00a4x6777 -> https://ror.org/00a4x6777,https://ror.org/00a4x6777,https://ror.org/00a4x6777,SE,SE,Vänersborg,Vänersborg,Region Västra Götaland,Region Västra Götaland,government,government
2,https://ror.org/00a4x6777 -> https://ror.org/04vgqjj36,https://ror.org/00a4x6777,https://ror.org/04vgqjj36,SE,SE,Vänersborg,Gothenburg,Region Västra Götaland,Sahlgrenska University Hospital,government,healthcare
1,https://ror.org/00ajvsd91 -> https://ror.org/05s754026,https://ror.org/00ajvsd91,https://ror.org/05s754026,SE,SE,Stockholm,Karlstad,Marie Cederschiöld University,Karlstad University,education,education
1,https://ror.org/00b2whf03 -> https://ror.org/00b2whf03,https://ror.org/00b2whf03,https://ror.org/00b2whf03,SE,SE,Stockholm,Stockholm,Institute for Surface Chemistry,Institute for Surface Chemistry,facility,facility
1,https://ror.org/00d973h41 -> https://ror.org/000hdh770,https://ror.org/00d973h41,https://ror.org/000hdh770,SE,SE,Huddinge,Falun,Södertörn University,Dalarna University,education,education
9,https://ror.org/00d973h41 -> https://ror.org/00d973h41,https://ror.org/00d973h41,https://ror.org/00d973h41,SE,SE,Huddinge,Huddinge,Södertörn University,Södertörn University,education,education
1,https://ror.org/00d973h41 -> https://ror.org/012a77v79,https://ror.org/00d973h41,https://ror.org/012a77v79,SE,SE,Huddinge,Lund,Södertörn University,Lund University,education,education
1,https://ror.org/00d973h41 -> https://ror.org/043fje207,https://ror.org/00d973h41,https://ror.org/043fje207,SE,SE,Huddinge,Gävle,Södertörn University,University of Gävle,education,education
1,https://ror.org/00d973h41 -> https://ror.org/048a87296,https://ror.org/00d973h41,https://ror.org/048a87296,SE,SE,Huddinge,Uppsala,Södertörn University,Uppsala University,education,education
2,https://ror.org/00d973h41 -> https://ror.org/05f0yaq80,https://ror.org/00d973h41,https://ror.org/05f0yaq80,SE,SE,Huddinge,Stockholm,Södertörn University,Stockholm University,education,education
4,https://ror.org/00d973h41 -> https://ror.org/05ynxx418,https://ror.org/00d973h41,https://ror.org/05ynxx418,SE,SE,Huddinge,Linköping,Södertörn University,Linköping University,education,education
1,https://ror.org/00hgzve81 -> https://ror.org/00hgzve81,https://ror.org/00hgzve81,https://ror.org/00hgzve81,SE,SE,Norrköping,Norrköping,Swedish Meteorological and Hydrological Institute,Swedish Meteorological and Hydrological Institute,government,government
1,https://ror.org/00j9qag85 -> https://ror.org/00d973h41,https://ror.org/00j9qag85,https://ror.org/00d973h41,SE,SE,Vaxjo,Huddinge,Linnaeus University,Södertörn University,education,education
39,https://ror.org/00j9qag85 -> https://ror.org/00j9qag85,https://ror.org/00j9qag85,https://ror.org/00j9qag85,SE,SE,Vaxjo,Vaxjo,Linnaeus University,Linnaeus University,education,education
1,https://ror.org/00j9qag85 -> https://ror.org/00tkrft03,https://ror.org/00j9qag85,https://ror.org/00tkrft03,SE,SE,Vaxjo,Kristianstad,Linnaeus University,Kristianstad University,education,education
1,https://ror.org/00j9qag85 -> https://ror.org/012a77v79,https://ror.org/00j9qag85,https://ror.org/012a77v79,SE,SE,Vaxjo,Lund,Linnaeus University,Lund University,education,education
2,https://ror.org/00j9qag85 -> https://ror.org/01fdxwh83,https://ror.org/00j9qag85,https://ror.org/01fdxwh83,SE,SE,Vaxjo,Borås,Linnaeus University,University of Borås,education,education
2,https://ror.org/00j9qag85 -> https://ror.org/01tm6cn81,https://ror.org/00j9qag85,https://ror.org/01tm6cn81,SE,SE,Vaxjo,Gothenburg,Linnaeus University,University of Gothenburg,education,education
