OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.6128225918101968,https://ror.org/01wxh6v83,SG,Singapore,Singapore Institute of Management,education
0.612361043085556,https://ror.org/01tgyzw49,SG,Singapore,National University of Singapore,education
0.5344448813074935,https://ror.org/02e7b5302,SG,Singapore,Nanyang Technological University,education
0.23063182625623638,https://ror.org/050qmg959,SG,Singapore,Singapore Management University,education
0.14177467855517736,https://ror.org/05yb3w112,SG,Singapore,Singapore-MIT Alliance for Research and Technology,education
0.0985249253720237,https://ror.org/02j1m6098,SG,Singapore,Duke-NUS Medical School,education
2.1746353419835882e-05,https://ror.org/00mbfhq81,SG,Singapore,Newcastle University Singapore,education
0.0,https://ror.org/024p43m36,SG,Singapore,Singapore Millennium Foundation,nonprofit
0.0,https://ror.org/03evaaw16,SG,Singapore,University of Wales Institute Cardiff,education
-0.08671702782370877,https://ror.org/05j6fvn87,SG,Singapore,Singapore University of Technology and Design,education
-0.14956961986363188,https://ror.org/036j6sg82,SG,Singapore,Singapore General Hospital,healthcare
-0.2823664457494472,https://ror.org/01s57k749,SG,Singapore,Singapore University of Social Sciences,education
-0.36737867792764645,https://ror.org/0574eex11,SG,Singapore,Temasek Life Sciences Laboratory,facility
-0.3711892782718671,https://ror.org/01y5z8p89,SG,Singapore,James Cook University Singapore,education
-0.37428834551761897,https://ror.org/036wvzt09,SG,Singapore,"Agency for Science, Technology and Research",government
-0.3870367465788202,https://ror.org/01cjdx044,SG,Singapore,Johnson & Johnson (Singapore),company
-0.3870367465788202,https://ror.org/031a9h652,SG,Singapore,"Ministry of Culture, Community and Youth",government
-0.3870367465788202,https://ror.org/032d59j24,SG,Singapore,Tan Tock Seng Hospital,healthcare
-0.3870367465788202,https://ror.org/04gvcex51,SG,Singapore,Ministry of National Development,government
-0.3870367465788202,https://ror.org/05wqa9613,SG,Singapore,Ang Mo Kio Thye Hua Kwan Hospital,healthcare
-0.38735874571689494,https://ror.org/02sck9v68,SG,Singapore,ISEAS - Yusof Ishak Institute,facility
-0.38735874571689494,https://ror.org/04fp9fm22,SG,Singapore,National University Hospital,healthcare
-0.38735874571689494,https://ror.org/05tjjsh18,SG,Singapore,National University Health System,education
-0.3874535616112542,https://ror.org/04v0xgx08,SG,Singapore,Wilmar International (Singapore),company
-0.3874997461425932,https://ror.org/05pxcn248,SG,Singapore,Singapore Polytechnic,education
-0.39623426677656165,https://ror.org/01mgdzc49,SG,Singapore,Centre for Quantum Technologies,facility
-0.40697878787851866,https://ror.org/02gqf9e56,SG,Singapore,"Technology Centre for Offshore and Marine, Singapore",facility
-0.40982111930973913,https://ror.org/041qqrw82,SG,Singapore,Singapore Centre for Environmental Life Sciences Engineering,facility
-0.40982111930973913,https://ror.org/04qf03327,SG,Singapore,Republic Polytechnic,education
-0.4263168259978939,https://ror.org/04s8jdf66,SG,Singapore,LASALLE College of the Arts,education
-0.42631682599794357,https://ror.org/029nvrb94,SG,Singapore,Singapore National Eye Center,healthcare
-0.43939751917103076,https://ror.org/04f8k9513,SG,Singapore,National Heart Centre Singapore,healthcare
-0.43939751917103076,https://ror.org/04me94w47,SG,Singapore,SingHealth,healthcare
-0.46496426046948675,https://ror.org/036ve4657,SG,Singapore,Building and Construction Authority,government
-0.46496426046948675,https://ror.org/0434keq61,SG,Singapore,Ministry of Social and Family Development,government
-0.46496426046948675,https://ror.org/05jzgzx91,SG,Singapore,University of Glasgow Singapore,education
-0.46496426046948675,https://ror.org/05m38qe70,SG,Singapore,Ministry of Defence,government
-0.46527490627904183,https://ror.org/01pjme364,SG,Singapore,Nanyang Academy of Fine Arts,education
-0.46527490627904183,https://ror.org/03cpyc314,SG,Singapore,National Research Foundation,government
-0.46527490627904183,https://ror.org/05xq19q44,SG,Singapore,Ministry of the Environment and Water Resources,government
-0.46536949795085303,https://ror.org/03w6pea42,SG,Singapore,National Dental Centre of Singapore,healthcare
-0.46546232729674847,https://ror.org/01167a838,SG,Singapore,Earth Observatory of Singapore,facility
-0.47794077783884337,https://ror.org/01v2c2791,SG,Singapore,Singapore Institute of Technology,education
-0.504172540485277,https://ror.org/01kcva023,SG,Singapore,Ministry of Education,government
-0.5159586819856136,https://ror.org/05wc95s05,SG,Singapore,Khoo Teck Puat Hospital,healthcare
-0.5170452022791866,https://ror.org/04g9wch13,SG,Singapore,Yale-NUS College,education
-0.5534927182113749,https://ror.org/01w953x65,SG,Singapore,Ngee Ann Polytechnic,education
-0.5579184179207729,https://ror.org/02crz6e12,SG,Singapore,Singapore Eye Research Institute,facility
-0.5708617850137907,https://ror.org/03k1z9s75,SG,Singapore,Temasek Polytechnic,education
-0.5849093309386177,https://ror.org/03bqk3e80,SG,Singapore,National Cancer Centre Singapore,healthcare
-0.5930619279083778,https://ror.org/03d58dr58,SG,Singapore,National Neuroscience Institute,healthcare
-0.6435166028503312,https://ror.org/01xaqx887,SG,Singapore,Advanced Digital Sciences Center,facility
-0.857708273262693,https://ror.org/00xcwps97,SG,Singapore,SingHealth Duke-NUS Academic Medical Centre,healthcare
-0.8791358725744995,https://ror.org/03rtrce80,SG,Singapore,National Centre for Infectious Diseases,healthcare
-1.2821169486135129,https://ror.org/04bqwt245,SG,Singapore,Geriatric Education and Research Institute,facility
