Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00mbfhq81 -> https://ror.org/00mbfhq81,https://ror.org/00mbfhq81,https://ror.org/00mbfhq81,SG,SG,Singapore,Singapore,Newcastle University Singapore,Newcastle University Singapore,education,education
1,https://ror.org/00mbfhq81 -> https://ror.org/01xaqx887,https://ror.org/00mbfhq81,https://ror.org/01xaqx887,SG,SG,Singapore,Singapore,Newcastle University Singapore,Advanced Digital Sciences Center,education,facility
1,https://ror.org/00mbfhq81 -> https://ror.org/05j6fvn87,https://ror.org/00mbfhq81,https://ror.org/05j6fvn87,SG,SG,Singapore,Singapore,Newcastle University Singapore,Singapore University of Technology and Design,education,education
2,https://ror.org/01mgdzc49 -> https://ror.org/01mgdzc49,https://ror.org/01mgdzc49,https://ror.org/01mgdzc49,SG,SG,Singapore,Singapore,Centre for Quantum Technologies,Centre for Quantum Technologies,facility,facility
1,https://ror.org/01s57k749 -> https://ror.org/01tgyzw49,https://ror.org/01s57k749,https://ror.org/01tgyzw49,SG,SG,Singapore,Singapore,Singapore University of Social Sciences,National University of Singapore,education,education
1,https://ror.org/01s57k749 -> https://ror.org/01y5z8p89,https://ror.org/01s57k749,https://ror.org/01y5z8p89,SG,SG,Singapore,Singapore,Singapore University of Social Sciences,James Cook University Singapore,education,education
1,https://ror.org/01s57k749 -> https://ror.org/04bqwt245,https://ror.org/01s57k749,https://ror.org/04bqwt245,SG,SG,Singapore,Singapore,Singapore University of Social Sciences,Geriatric Education and Research Institute,education,facility
2,https://ror.org/01tgyzw49 -> https://ror.org/00mbfhq81,https://ror.org/01tgyzw49,https://ror.org/00mbfhq81,SG,SG,Singapore,Singapore,National University of Singapore,Newcastle University Singapore,education,education
1,https://ror.org/01tgyzw49 -> https://ror.org/01cjdx044,https://ror.org/01tgyzw49,https://ror.org/01cjdx044,SG,SG,Singapore,Singapore,National University of Singapore,Johnson & Johnson (Singapore),education,company
4,https://ror.org/01tgyzw49 -> https://ror.org/01kcva023,https://ror.org/01tgyzw49,https://ror.org/01kcva023,SG,SG,Singapore,Singapore,National University of Singapore,Ministry of Education,education,government
