Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/005q8d646 -> https://ror.org/005q8d646,https://ror.org/005q8d646,https://ror.org/005q8d646,SI,SI,Nova Gorica,Nova Gorica,European Faculty of Law,European Faculty of Law,education,education
7,https://ror.org/00mw0tw28 -> https://ror.org/00mw0tw28,https://ror.org/00mw0tw28,https://ror.org/00mw0tw28,SI,SI,Nova Gorica,Nova Gorica,University of Nova Gorica,University of Nova Gorica,education,education
4,https://ror.org/00mw0tw28 -> https://ror.org/03s5t0r17,https://ror.org/00mw0tw28,https://ror.org/03s5t0r17,SI,SI,Nova Gorica,Ljubljana,University of Nova Gorica,National Institute of Biology,education,facility
2,https://ror.org/00mw0tw28 -> https://ror.org/050mac570,https://ror.org/00mw0tw28,https://ror.org/050mac570,SI,SI,Nova Gorica,Ljubljana,University of Nova Gorica,National Institute of Chemistry,education,facility
2,https://ror.org/00mw0tw28 -> https://ror.org/05ejj5g23,https://ror.org/00mw0tw28,https://ror.org/05ejj5g23,SI,SI,Nova Gorica,Ajdovščina,University of Nova Gorica,Pipistrel (Slovenia),education,company
2,https://ror.org/00mw0tw28 -> https://ror.org/05njb9z20,https://ror.org/00mw0tw28,https://ror.org/05njb9z20,SI,SI,Nova Gorica,Ljubljana,University of Nova Gorica,University of Ljubljana,education,education
1,https://ror.org/01d5jce07 -> https://ror.org/00mw0tw28,https://ror.org/01d5jce07,https://ror.org/00mw0tw28,SI,SI,Maribor,Nova Gorica,University of Maribor,University of Nova Gorica,education,education
67,https://ror.org/01d5jce07 -> https://ror.org/01d5jce07,https://ror.org/01d5jce07,https://ror.org/01d5jce07,SI,SI,Maribor,Maribor,University of Maribor,University of Maribor,education,education
1,https://ror.org/01d5jce07 -> https://ror.org/01h8mzz32,https://ror.org/01d5jce07,https://ror.org/01h8mzz32,SI,SI,Maribor,Ljubljana,University of Maribor,Institute of Metals and Technology,education,facility
2,https://ror.org/01d5jce07 -> https://ror.org/01nr6fy72,https://ror.org/01d5jce07,https://ror.org/01nr6fy72,SI,SI,Maribor,Ljubljana,University of Maribor,Ljubljana University Medical Centre,education,healthcare
