OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.4777710762713918,https://ror.org/04wtfvh23,SK,Trnava,Univerzita Sv. Cyrila A Metoda V Trnave,education
0.423938678472757,https://ror.org/0587ef340,SK,Bratislava,Comenius University Bratislava,education
0.2975839513226795,https://ror.org/05btaka91,SK,Košice,University of Veterinary Medicine in Košice,education
0.18498739865195563,https://ror.org/040mc4x48,SK,Bratislava,Slovak Medical University,education
0.10175455007944871,https://ror.org/0561ghm58,SK,Bratislava,Slovak University of Technology in Bratislava,education
0.08405231345738762,https://ror.org/03rfvyw43,SK,Nitra,Slovak University of Agriculture,education
9.747444901925779e-05,https://ror.org/00j75pt62,SK,Zvolen,Technical University of Zvolen,education
0.0,https://ror.org/04v8db398,SK,Trenčín,Trencianska Univerzita Alexandra Dubceka V Trencine,education
-0.017401846764508882,https://ror.org/039965637,SK,Košice,University of Pavol Jozef Šafárik,education
-0.05440954898926684,https://ror.org/05xm08015,SK,Košice,Technical University of Košice,education
-0.12803300336584206,https://ror.org/0310h1546,SK,Bratislava,University of Economics in Bratislava,education
-0.15050336981721305,https://ror.org/038dnay05,SK,Nitra,Constantine the Philosopher University in Nitra,education
-0.30586981840326916,https://ror.org/05nj8rv48,SK,Trnava,University of Trnava,education
-0.3141004087718474,https://ror.org/016zyd315,SK,Bratislava,Pan-European University,education
-0.3252802011591709,https://ror.org/05ra6d150,SK,Ružomberok,Catholic University in Ruzomberok,education
-0.45934954350990137,https://ror.org/031wwwj55,SK,Žilina,University of Žilina,education
-0.46242392337500404,https://ror.org/02ndfsn03,SK,Prešov,University of Prešov,education
-0.49988622113568193,https://ror.org/016e5hy63,SK,Banská Bystrica,Matej Bel University,education
-0.5119386347442512,https://ror.org/03h7qq074,SK,Bratislava,Slovak Academy of Sciences,government
-0.5760806592771259,https://ror.org/01mhfg188,SK,Banská Bystrica,Public Health Authority of the Slovak Republic,healthcare
-0.5761002962010554,https://ror.org/00pspca89,SK,Bratislava,University Hospital Bratislava,healthcare
-0.5761002962010554,https://ror.org/030mqy313,SK,Bratislava,Bratislava International School of Liberal Arts,education
-0.5761389030443349,https://ror.org/00zevd106,SK,Komárno,Selye János University,education
-0.5761389030443349,https://ror.org/00vbbfz92,SK,Bratislava,Welding Research Institute - Industrial Institute SR,education
-0.5761389030443349,https://ror.org/010bx4f33,SK,Bratislava,KRD Molecular Technologies (Slovakia),company
-0.5761389030443349,https://ror.org/013r8hx77,SK,Prešov,International School of Management Slovakia,education
-0.5761389030443349,https://ror.org/03x0p3p41,SK,Bratislava,GA Drilling (Slovakia),company
-0.5761389030443349,https://ror.org/0443y6a81,SK,Bratislava,Academy of Fine Arts and Design in Bratislava,education
-0.5761389030443349,https://ror.org/04q1st976,SK,Bratislava,Institute of Animal Biochemistry and Genetics,facility
-0.5761389030443349,https://ror.org/05hna7313,SK,Bratislava,Academy of Performing Arts in Bratislava,education
-0.5761389030443349,https://ror.org/05yj6x102,SK,Banská Bystrica,Biotika (Slovakia),company
-0.7024961178007464,https://ror.org/03xhps368,SK,Košice,DB Biotech (Slovakia),company
-0.7371927813013737,https://ror.org/030n38z97,SK,Bratislava,International Laser Center,facility
-0.8152750400535339,https://ror.org/02we0q870,SK,Bratislava,State Geological Institute of Dionýz Štúr,government
-0.8520659560122248,https://ror.org/0077sy889,SK,Bratislava,School of Economics and Management of Public Administration in Bratislava,education
-0.8982852664016928,https://ror.org/00xsnzk20,SK,Bratislava,Slovak Hydrometeorological Institute,government
-0.8983308210235701,https://ror.org/04bxtw313,SK,Bratislava,Sféra (Slovakia),company
-0.9684262391828001,https://ror.org/01r23yy10,SK,Bratislava,Výskumný Ústav Pôdoznalectva a Ochrany Pôdy,facility
-0.9952742844026603,https://ror.org/04xdyq509,SK,Trnava,University of Ss. Cyril and Methodius in Trnava,education
-0.9999838057299923,https://ror.org/02zxbg516,SK,Zvolen,National Forest Centre,facility
-1.0174893081804364,https://ror.org/022cgsm35,SK,Sabinov,Imuna Pharm (Slovakia),company
-1.0544986575613988,https://ror.org/054ygw858,SK,Košice,University of Security Management in Košice,education
-1.1505410233994204,https://ror.org/04ssr4v64,SK,Bratislava,Research Institute for Child Psychology and Pathopsychology,facility
-1.2296657450677153,https://ror.org/03yeht902,SK,Bratislava,Ministry of Finance of the Slovak Republic,government
-1.4594173467621723,https://ror.org/024ckfb15,SK,Bratislava,Academy of the Police Force in Bratislava,education
-1.4594173467621723,https://ror.org/05m83vp63,SK,Liptovský Mikuláš,Armed Forces Academy,education
-1.512034755431009,https://ror.org/04z5nag80,SK,Trnava,Medirex Group Academy,nonprofit
-1.512034755431009,https://ror.org/055mz3852,SK,Banská Štiavnica,Jan Albrecht Music and Art Academy,education
