Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
16,https://ror.org/00j75pt62 -> https://ror.org/00j75pt62,https://ror.org/00j75pt62,https://ror.org/00j75pt62,SK,SK,Zvolen,Zvolen,Technical University of Zvolen,Technical University of Zvolen,education,education
1,https://ror.org/00j75pt62 -> https://ror.org/016e5hy63,https://ror.org/00j75pt62,https://ror.org/016e5hy63,SK,SK,Zvolen,Banská Bystrica,Technical University of Zvolen,Matej Bel University,education,education
1,https://ror.org/00j75pt62 -> https://ror.org/02zxbg516,https://ror.org/00j75pt62,https://ror.org/02zxbg516,SK,SK,Zvolen,Zvolen,Technical University of Zvolen,National Forest Centre,education,facility
1,https://ror.org/00j75pt62 -> https://ror.org/038dnay05,https://ror.org/00j75pt62,https://ror.org/038dnay05,SK,SK,Zvolen,Nitra,Technical University of Zvolen,Constantine the Philosopher University in Nitra,education,education
2,https://ror.org/00j75pt62 -> https://ror.org/03h7qq074,https://ror.org/00j75pt62,https://ror.org/03h7qq074,SK,SK,Zvolen,Bratislava,Technical University of Zvolen,Slovak Academy of Sciences,education,government
1,https://ror.org/00j75pt62 -> https://ror.org/03rfvyw43,https://ror.org/00j75pt62,https://ror.org/03rfvyw43,SK,SK,Zvolen,Nitra,Technical University of Zvolen,Slovak University of Agriculture,education,education
1,https://ror.org/00j75pt62 -> https://ror.org/03yeht902,https://ror.org/00j75pt62,https://ror.org/03yeht902,SK,SK,Zvolen,Bratislava,Technical University of Zvolen,Ministry of Finance of the Slovak Republic,education,government
1,https://ror.org/00j75pt62 -> https://ror.org/05ra6d150,https://ror.org/00j75pt62,https://ror.org/05ra6d150,SK,SK,Zvolen,Ružomberok,Technical University of Zvolen,Catholic University in Ruzomberok,education,education
1,https://ror.org/00zevd106 -> https://ror.org/00zevd106,https://ror.org/00zevd106,https://ror.org/00zevd106,SK,SK,Komárno,Komárno,Selye János University,Selye János University,education,education
1,https://ror.org/016e5hy63 -> https://ror.org/00j75pt62,https://ror.org/016e5hy63,https://ror.org/00j75pt62,SK,SK,Banská Bystrica,Zvolen,Matej Bel University,Technical University of Zvolen,education,education
36,https://ror.org/016e5hy63 -> https://ror.org/016e5hy63,https://ror.org/016e5hy63,https://ror.org/016e5hy63,SK,SK,Banská Bystrica,Banská Bystrica,Matej Bel University,Matej Bel University,education,education
2,https://ror.org/016e5hy63 -> https://ror.org/031wwwj55,https://ror.org/016e5hy63,https://ror.org/031wwwj55,SK,SK,Banská Bystrica,Žilina,Matej Bel University,University of Žilina,education,education
