Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00j0w4q23 -> https://ror.org/00j0w4q23,https://ror.org/00j0w4q23,https://ror.org/00j0w4q23,SN,SN,Mbour,Mbour,African Institute for Mathematical Sciences Senegal,African Institute for Mathematical Sciences Senegal,nonprofit,nonprofit
8,https://ror.org/01jp0tk64 -> https://ror.org/01jp0tk64,https://ror.org/01jp0tk64,https://ror.org/01jp0tk64,SN,SN,Saint-Louis,Saint-Louis,Université Gaston Berger,Université Gaston Berger,education,education
2,https://ror.org/02v8m8m62 -> https://ror.org/02v8m8m62,https://ror.org/02v8m8m62,https://ror.org/02v8m8m62,SN,SN,Dakar,Dakar,École Inter-États des Sciences et Médecine Vétérinaires de Dakar,École Inter-États des Sciences et Médecine Vétérinaires de Dakar,education,education
1,https://ror.org/02ysgwq33 -> https://ror.org/02ysgwq33,https://ror.org/02ysgwq33,https://ror.org/02ysgwq33,SN,SN,Dakar,Dakar,Institut Pasteur de Dakar,Institut Pasteur de Dakar,nonprofit,nonprofit
3,https://ror.org/0485abs19 -> https://ror.org/0485abs19,https://ror.org/0485abs19,https://ror.org/0485abs19,SN,SN,Diourbel,Diourbel,Université Alioune Diop de Bambey,Université Alioune Diop de Bambey,education,education
1,https://ror.org/04je6yw13 -> https://ror.org/00j0w4q23,https://ror.org/04je6yw13,https://ror.org/00j0w4q23,SN,SN,Dakar,Mbour,Cheikh Anta Diop University,African Institute for Mathematical Sciences Senegal,education,nonprofit
1,https://ror.org/04je6yw13 -> https://ror.org/01jp0tk64,https://ror.org/04je6yw13,https://ror.org/01jp0tk64,SN,SN,Dakar,Saint-Louis,Cheikh Anta Diop University,Université Gaston Berger,education,education
1,https://ror.org/04je6yw13 -> https://ror.org/02ysgwq33,https://ror.org/04je6yw13,https://ror.org/02ysgwq33,SN,SN,Dakar,Dakar,Cheikh Anta Diop University,Institut Pasteur de Dakar,education,nonprofit
1,https://ror.org/04je6yw13 -> https://ror.org/03yjk2s16,https://ror.org/04je6yw13,https://ror.org/03yjk2s16,SN,SN,Dakar,Dakar,Cheikh Anta Diop University,Centre Hospitalier National Universitaire de Fann,education,healthcare
1,https://ror.org/04je6yw13 -> https://ror.org/0485abs19,https://ror.org/04je6yw13,https://ror.org/0485abs19,SN,SN,Dakar,Diourbel,Cheikh Anta Diop University,Université Alioune Diop de Bambey,education,education
19,https://ror.org/04je6yw13 -> https://ror.org/04je6yw13,https://ror.org/04je6yw13,https://ror.org/04je6yw13,SN,SN,Dakar,Dakar,Cheikh Anta Diop University,Cheikh Anta Diop University,education,education
1,https://ror.org/04je6yw13 -> https://ror.org/04kxs9506,https://ror.org/04je6yw13,https://ror.org/04kxs9506,SN,SN,Dakar,Dakar,Cheikh Anta Diop University,Centre de Suivi Ecologique,education,other
1,https://ror.org/04z4j3y75 -> https://ror.org/04z4j3y75,https://ror.org/04z4j3y75,https://ror.org/04z4j3y75,SN,SN,Dakar,Dakar,Institut Sénégalais de Recherches Agricoles,Institut Sénégalais de Recherches Agricoles,facility,facility
