Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/00e8bt462 -> https://ror.org/00vfjs247,https://ror.org/00e8bt462,https://ror.org/00vfjs247,SV,SV,San Salvador,San Salvador,Universidad Salvadoreña Alberto Masferrer,Universidad Nueva San Salvador,education,education
1,https://ror.org/00e8bt462 -> https://ror.org/01xs7ed64,https://ror.org/00e8bt462,https://ror.org/01xs7ed64,SV,SV,San Salvador,San Salvador,Universidad Salvadoreña Alberto Masferrer,Universidad Evangelica de El Salvador,education,education
1,https://ror.org/00e8bt462 -> https://ror.org/03sbpft28,https://ror.org/00e8bt462,https://ror.org/03sbpft28,SV,SV,San Salvador,San Salvador,Universidad Salvadoreña Alberto Masferrer,University of El Salvador,education,education
14,https://ror.org/01xs7ed64 -> https://ror.org/01xs7ed64,https://ror.org/01xs7ed64,https://ror.org/01xs7ed64,SV,SV,San Salvador,San Salvador,Universidad Evangelica de El Salvador,Universidad Evangelica de El Salvador,education,education
1,https://ror.org/01xs7ed64 -> https://ror.org/02bhgkk43,https://ror.org/01xs7ed64,https://ror.org/02bhgkk43,SV,SV,San Salvador,San Salvador,Universidad Evangelica de El Salvador,Universidad Centroamericana José Simeón Cañas,education,education
3,https://ror.org/01xs7ed64 -> https://ror.org/03sbpft28,https://ror.org/01xs7ed64,https://ror.org/03sbpft28,SV,SV,San Salvador,San Salvador,Universidad Evangelica de El Salvador,University of El Salvador,education,education
1,https://ror.org/01xs7ed64 -> https://ror.org/05ke4zy29,https://ror.org/01xs7ed64,https://ror.org/05ke4zy29,SV,SV,San Salvador,San Salvador,Universidad Evangelica de El Salvador,Universidad Dr. Andrés Bello,education,education
1,https://ror.org/02bhgkk43 -> https://ror.org/01k8z5j70,https://ror.org/02bhgkk43,https://ror.org/01k8z5j70,SV,SV,San Salvador,San Salvador,Universidad Centroamericana José Simeón Cañas,Universidad Don Bosco,education,education
1,https://ror.org/02bhgkk43 -> https://ror.org/02bhgkk43,https://ror.org/02bhgkk43,https://ror.org/02bhgkk43,SV,SV,San Salvador,San Salvador,Universidad Centroamericana José Simeón Cañas,Universidad Centroamericana José Simeón Cañas,education,education
1,https://ror.org/02spway15 -> https://ror.org/02spway15,https://ror.org/02spway15,https://ror.org/02spway15,SV,SV,San Salvador,San Salvador,Francisco Gavidia University,Francisco Gavidia University,education,education
1,https://ror.org/03gx10y75 -> https://ror.org/03gx10y75,https://ror.org/03gx10y75,https://ror.org/03gx10y75,SV,SV,San Miguel,San Miguel,Universidad Gerardo Barrios,Universidad Gerardo Barrios,education,education
4,https://ror.org/03sbpft28 -> https://ror.org/01xs7ed64,https://ror.org/03sbpft28,https://ror.org/01xs7ed64,SV,SV,San Salvador,San Salvador,University of El Salvador,Universidad Evangelica de El Salvador,education,education
2,https://ror.org/03sbpft28 -> https://ror.org/02bhgkk43,https://ror.org/03sbpft28,https://ror.org/02bhgkk43,SV,SV,San Salvador,San Salvador,University of El Salvador,Universidad Centroamericana José Simeón Cañas,education,education
9,https://ror.org/03sbpft28 -> https://ror.org/03sbpft28,https://ror.org/03sbpft28,https://ror.org/03sbpft28,SV,SV,San Salvador,San Salvador,University of El Salvador,University of El Salvador,education,education
