OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.0,https://ror.org/01h8c9041,SY,Damascus,Syrian Private University,education
-5.670226043815222e-06,https://ror.org/009qm7w92,SY,Damascus,Higher Institute for Applied Sciences and Technology,education
-0.5703160552966929,https://ror.org/03gvw6m91,SY,Damascus,Higher Institute of Business Administration,education
-0.5884956350087777,https://ror.org/043vmz451,SY,Damascus,Syrian Virtual University,education
-1.0016633610154462,https://ror.org/03m098d13,SY,Damascus,Damascus University,education
-1.4287864371845707,https://ror.org/04nqts970,SY,Latakia,Tishreen University,education
-1.5225385942411933,https://ror.org/01pwpsf61,SY,Homs,Al-Baath University,education
-1.5661120734800873,https://ror.org/03mzvxz96,SY,Aleppo,University of Aleppo,education
-1.7319412982092728,https://ror.org/05skgxb48,SY,Dārayyā,Arab International University,education
-1.7859613123054305,https://ror.org/0147hmw17,SY,Damascus,Yarmouk Private University,education
-2.0015917899313425,https://ror.org/00hdydj55,SY,Al Qadmūs,Al Andalus University,education
-2.0015917899313425,https://ror.org/023w7hq91,SY,Douma,General Commission for Scientific Agricultural Research,government
-2.0015917899313425,https://ror.org/02g847680,SY,Dayr ‘Aţīyah,University of Kalamoon,education
-2.001643205171264,https://ror.org/02c7fax93,SY,Deir ez-Zor,Al Furat University,education
-2.001643205171264,https://ror.org/03nk2rw89,SY,Damascus,Atomic Energy Commission of Syria,other
-2.245071555290329,https://ror.org/03frvp088,SY,Dar‘ā,International University for Science and Technology,education
-2.2838599830017112,https://ror.org/00edm2h72,SY,Damascus,Wadi International University,education
-2.566093658725738,https://ror.org/058cmte92,SY,Latakia,Manara University,education
