Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/009qm7w92 -> https://ror.org/009qm7w92,https://ror.org/009qm7w92,https://ror.org/009qm7w92,SY,SY,Damascus,Damascus,Higher Institute for Applied Sciences and Technology,Higher Institute for Applied Sciences and Technology,education,education
1,https://ror.org/009qm7w92 -> https://ror.org/03gvw6m91,https://ror.org/009qm7w92,https://ror.org/03gvw6m91,SY,SY,Damascus,Damascus,Higher Institute for Applied Sciences and Technology,Higher Institute of Business Administration,education,education
1,https://ror.org/009qm7w92 -> https://ror.org/04nqts970,https://ror.org/009qm7w92,https://ror.org/04nqts970,SY,SY,Damascus,Latakia,Higher Institute for Applied Sciences and Technology,Tishreen University,education,education
1,https://ror.org/01h8c9041 -> https://ror.org/01h8c9041,https://ror.org/01h8c9041,https://ror.org/01h8c9041,SY,SY,Damascus,Damascus,Syrian Private University,Syrian Private University,education,education
12,https://ror.org/01pwpsf61 -> https://ror.org/01pwpsf61,https://ror.org/01pwpsf61,https://ror.org/01pwpsf61,SY,SY,Homs,Homs,Al-Baath University,Al-Baath University,education,education
1,https://ror.org/01pwpsf61 -> https://ror.org/03m098d13,https://ror.org/01pwpsf61,https://ror.org/03m098d13,SY,SY,Homs,Damascus,Al-Baath University,Damascus University,education,education
2,https://ror.org/01pwpsf61 -> https://ror.org/03mzvxz96,https://ror.org/01pwpsf61,https://ror.org/03mzvxz96,SY,SY,Homs,Aleppo,Al-Baath University,University of Aleppo,education,education
1,https://ror.org/03gvw6m91 -> https://ror.org/0147hmw17,https://ror.org/03gvw6m91,https://ror.org/0147hmw17,SY,SY,Damascus,Damascus,Higher Institute of Business Administration,Yarmouk Private University,education,education
1,https://ror.org/03gvw6m91 -> https://ror.org/03gvw6m91,https://ror.org/03gvw6m91,https://ror.org/03gvw6m91,SY,SY,Damascus,Damascus,Higher Institute of Business Administration,Higher Institute of Business Administration,education,education
4,https://ror.org/03gvw6m91 -> https://ror.org/03m098d13,https://ror.org/03gvw6m91,https://ror.org/03m098d13,SY,SY,Damascus,Damascus,Higher Institute of Business Administration,Damascus University,education,education
1,https://ror.org/03gvw6m91 -> https://ror.org/043vmz451,https://ror.org/03gvw6m91,https://ror.org/043vmz451,SY,SY,Damascus,Damascus,Higher Institute of Business Administration,Syrian Virtual University,education,education
1,https://ror.org/03gvw6m91 -> https://ror.org/05skgxb48,https://ror.org/03gvw6m91,https://ror.org/05skgxb48,SY,SY,Damascus,Dārayyā,Higher Institute of Business Administration,Arab International University,education,education
1,https://ror.org/03m098d13 -> https://ror.org/00edm2h72,https://ror.org/03m098d13,https://ror.org/00edm2h72,SY,SY,Damascus,Damascus,Damascus University,Wadi International University,education,education
1,https://ror.org/03m098d13 -> https://ror.org/00hdydj55,https://ror.org/03m098d13,https://ror.org/00hdydj55,SY,SY,Damascus,Al Qadmūs,Damascus University,Al Andalus University,education,education
1,https://ror.org/03m098d13 -> https://ror.org/0147hmw17,https://ror.org/03m098d13,https://ror.org/0147hmw17,SY,SY,Damascus,Damascus,Damascus University,Yarmouk Private University,education,education
5,https://ror.org/03m098d13 -> https://ror.org/01pwpsf61,https://ror.org/03m098d13,https://ror.org/01pwpsf61,SY,SY,Damascus,Homs,Damascus University,Al-Baath University,education,education
1,https://ror.org/03m098d13 -> https://ror.org/023w7hq91,https://ror.org/03m098d13,https://ror.org/023w7hq91,SY,SY,Damascus,Douma,Damascus University,General Commission for Scientific Agricultural Research,education,government
3,https://ror.org/03m098d13 -> https://ror.org/02c7fax93,https://ror.org/03m098d13,https://ror.org/02c7fax93,SY,SY,Damascus,Deir ez-Zor,Damascus University,Al Furat University,education,education
1,https://ror.org/03m098d13 -> https://ror.org/02g847680,https://ror.org/03m098d13,https://ror.org/02g847680,SY,SY,Damascus,Dayr ‘Aţīyah,Damascus University,University of Kalamoon,education,education
2,https://ror.org/03m098d13 -> https://ror.org/03frvp088,https://ror.org/03m098d13,https://ror.org/03frvp088,SY,SY,Damascus,Dar‘ā,Damascus University,International University for Science and Technology,education,education
1,https://ror.org/03m098d13 -> https://ror.org/03gvw6m91,https://ror.org/03m098d13,https://ror.org/03gvw6m91,SY,SY,Damascus,Damascus,Damascus University,Higher Institute of Business Administration,education,education
90,https://ror.org/03m098d13 -> https://ror.org/03m098d13,https://ror.org/03m098d13,https://ror.org/03m098d13,SY,SY,Damascus,Damascus,Damascus University,Damascus University,education,education
6,https://ror.org/03m098d13 -> https://ror.org/03mzvxz96,https://ror.org/03m098d13,https://ror.org/03mzvxz96,SY,SY,Damascus,Aleppo,Damascus University,University of Aleppo,education,education
3,https://ror.org/03m098d13 -> https://ror.org/03nk2rw89,https://ror.org/03m098d13,https://ror.org/03nk2rw89,SY,SY,Damascus,Damascus,Damascus University,Atomic Energy Commission of Syria,education,other
3,https://ror.org/03m098d13 -> https://ror.org/04nqts970,https://ror.org/03m098d13,https://ror.org/04nqts970,SY,SY,Damascus,Latakia,Damascus University,Tishreen University,education,education
4,https://ror.org/03m098d13 -> https://ror.org/05skgxb48,https://ror.org/03m098d13,https://ror.org/05skgxb48,SY,SY,Damascus,Dārayyā,Damascus University,Arab International University,education,education
