OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.4753085138384177,https://ror.org/0403qcr87,TH,Pathum Thani,Asian Institute of Technology,education
1.4162423556379258,https://ror.org/010g30191,TH,Bangkok,National Institute of Development Administration,education
1.3873108796917002,https://ror.org/048e91n87,TH,Bangkok,Chulabhorn Graduate Institute,education
1.3378584167462286,https://ror.org/03n273w86,TH,Maha Sarakham,Rajabhat Maha Sarakham University,education
1.290820127849717,https://ror.org/023x8re17,TH,Bangkok,Bangkok Christian Hospital,healthcare
1.2905054172991621,https://ror.org/02sr8jt85,TH,Bangkok,Shinawatra University,education
1.2611956275218972,https://ror.org/03hpjw438,TH,Mueang Nonthaburi,Praboromarajchanok Institute of Heath Workforce Development,other
1.1330330941137676,https://ror.org/02amxp214,TH,Bangkok,Mahachulalongkornrajavidyalaya University,education
1.0945450897861941,https://ror.org/028wp3y58,TH,Bangkok,Chulalongkorn University,education
1.00091588552424,https://ror.org/0152ray34,TH,Nakhon Ratchasima,Maharat Nakhon Ratchasima Hospital,healthcare
0.9325208923160485,https://ror.org/01znkr924,TH,Bangkok,Mahidol University,education
0.8686769231647592,https://ror.org/0057ax056,TH,Bangkok,King Mongkut's University of Technology Thonburi,education
0.7969436857413356,https://ror.org/05gzceg21,TH,Bangkok,Kasetsart University,education
0.7586951568103938,https://ror.org/00q9d8f64,TH,Bangkok,Joint Graduate School of Energy and Environment,education
0.7454389061750015,https://ror.org/002yp7f20,TH,Bangkok,Thammasat University,education
0.7293287527602365,https://ror.org/01nrcma38,TH,Bangkok,Bangkokthonburi University,education
0.6671537506555829,https://ror.org/02d0tyt78,TH,Bangkok,Silpakorn University,education
0.6654326464929832,https://ror.org/05sgb8g78,TH,Nakhon Ratchasima,Suranaree University of Technology,education
0.6613418918689458,https://ror.org/051ax8v50,TH,Chanthaburi,Rambhai Barni Rajabhat University,education
0.526145442037769,https://ror.org/05m2fqn25,TH,Chiang Mai,Chiang Mai University,education
0.5087089809952062,https://ror.org/03zmqc707,TH,Bangkok,Assumption University,education
0.4829078475458033,https://ror.org/03cq4gr50,TH,Khon Kaen,Khon Kaen University,education
0.46372603360837483,https://ror.org/050m5b118,TH,Salaya,Mahamakut Buddhist University,education
0.45131971678558336,https://ror.org/00x7vzk16,TH,Dusit,Suan Dusit University,education
0.42737209445783964,https://ror.org/03e2qe334,TH,Phitsanulok,Naresuan University,education
0.4007657790277908,https://ror.org/00mrw8k38,TH,Bangkok,Ramkhamhaeng University,education
0.3872885421079447,https://ror.org/00nb6mq69,TH,Bangkok,Chulabhorn Research Institute,facility
0.3461405852134079,https://ror.org/04718hx42,TH,Bangkok,Srinakharinwirot University,education
0.31622971313663173,https://ror.org/0575ycz84,TH,Songkhla,Prince of Songkla University,education
0.2939962515174624,https://ror.org/04fy6jb97,TH,Bangkok,King Mongkut's University of Technology North Bangkok,education
0.29079188601977923,https://ror.org/055mf0v62,TH,Bangkok,King Mongkut's Institute of Technology Ladkrabang,education
