Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/000g0zm60 -> https://ror.org/000g0zm60,https://ror.org/000g0zm60,https://ror.org/000g0zm60,TN,TN,Jendouba,Jendouba,University of Jendouba,University of Jendouba,education,education
1,https://ror.org/00dmpgj58 -> https://ror.org/000g0zm60,https://ror.org/00dmpgj58,https://ror.org/000g0zm60,TN,TN,Sousse,Jendouba,University of Sousse,University of Jendouba,education,education
4,https://ror.org/00dmpgj58 -> https://ror.org/00dmpgj58,https://ror.org/00dmpgj58,https://ror.org/00dmpgj58,TN,TN,Sousse,Sousse,University of Sousse,University of Sousse,education,education
1,https://ror.org/00dmpgj58 -> https://ror.org/04d4sd432,https://ror.org/00dmpgj58,https://ror.org/04d4sd432,TN,TN,Sousse,Sfax,University of Sousse,University of Sfax,education,education
1,https://ror.org/00dse3307 -> https://ror.org/00dse3307,https://ror.org/00dse3307,https://ror.org/00dse3307,TN,TN,Al Marsá,Al Marsá,Tunisia Polytechnic School,Tunisia Polytechnic School,education,education
2,https://ror.org/00nhtcg76 -> https://ror.org/00dmpgj58,https://ror.org/00nhtcg76,https://ror.org/00dmpgj58,TN,TN,Monastir,Sousse,University of Monastir,University of Sousse,education,education
13,https://ror.org/00nhtcg76 -> https://ror.org/00nhtcg76,https://ror.org/00nhtcg76,https://ror.org/00nhtcg76,TN,TN,Monastir,Monastir,University of Monastir,University of Monastir,education,education
1,https://ror.org/00nhtcg76 -> https://ror.org/024mpte60,https://ror.org/00nhtcg76,https://ror.org/024mpte60,TN,TN,Monastir,Kairouan,University of Monastir,University of Kairouan,education,education
1,https://ror.org/00nhtcg76 -> https://ror.org/029cgt552,https://ror.org/00nhtcg76,https://ror.org/029cgt552,TN,TN,Monastir,Tunis,University of Monastir,Tunis El Manar University,education,education
1,https://ror.org/00nhtcg76 -> https://ror.org/038ajm817,https://ror.org/00nhtcg76,https://ror.org/038ajm817,TN,TN,Monastir,Tunis,University of Monastir,Université Arabe des Sciences,education,education
2,https://ror.org/00nhtcg76 -> https://ror.org/057x6za15,https://ror.org/00nhtcg76,https://ror.org/057x6za15,TN,TN,Monastir,Tunis,University of Monastir,University of Carthage,education,education
1,https://ror.org/00nhtcg76 -> https://ror.org/05v1m8q81,https://ror.org/00nhtcg76,https://ror.org/05v1m8q81,TN,TN,Monastir,Tunis,University of Monastir,Ministry of Higher Education and Scientific Research,education,government
1,https://ror.org/0197vzs73 -> https://ror.org/0197vzs73,https://ror.org/0197vzs73,https://ror.org/0197vzs73,TN,TN,Hammam-Lif,Hammam-Lif,Center of Biotechnogy of Borj Cédria,Center of Biotechnogy of Borj Cédria,facility,facility
1,https://ror.org/01x4ctb78 -> https://ror.org/01x4ctb78,https://ror.org/01x4ctb78,https://ror.org/01x4ctb78,TN,TN,Aryanah,Aryanah,Institut National de Recherches et d'Analyses Physico-chimiques,Institut National de Recherches et d'Analyses Physico-chimiques,facility,facility
1,https://ror.org/022efad20 -> https://ror.org/01hwc7828,https://ror.org/022efad20,https://ror.org/01hwc7828,TN,TN,Gabès,Medenine,University of Gabès,Institut des Régions Arides,education,facility
1,https://ror.org/024mpte60 -> https://ror.org/024mpte60,https://ror.org/024mpte60,https://ror.org/024mpte60,TN,TN,Kairouan,Kairouan,University of Kairouan,University of Kairouan,education,education
3,https://ror.org/029cgt552 -> https://ror.org/000g0zm60,https://ror.org/029cgt552,https://ror.org/000g0zm60,TN,TN,Tunis,Jendouba,Tunis El Manar University,University of Jendouba,education,education
4,https://ror.org/029cgt552 -> https://ror.org/00dmpgj58,https://ror.org/029cgt552,https://ror.org/00dmpgj58,TN,TN,Tunis,Sousse,Tunis El Manar University,University of Sousse,education,education
1,https://ror.org/029cgt552 -> https://ror.org/00qn2rd91,https://ror.org/029cgt552,https://ror.org/00qn2rd91,TN,TN,Tunis,Tunis,Tunis El Manar University,National Institute of Applied Science and Technology,education,facility
1,https://ror.org/029cgt552 -> https://ror.org/01kzjzn40,https://ror.org/029cgt552,https://ror.org/01kzjzn40,TN,TN,Tunis,Gafsa,Tunis El Manar University,University of Gafsa,education,education
1,https://ror.org/029cgt552 -> https://ror.org/01x4ctb78,https://ror.org/029cgt552,https://ror.org/01x4ctb78,TN,TN,Tunis,Aryanah,Tunis El Manar University,Institut National de Recherches et d'Analyses Physico-chimiques,education,facility
1,https://ror.org/029cgt552 -> https://ror.org/021f99908,https://ror.org/029cgt552,https://ror.org/021f99908,TN,TN,Tunis,Ariana,Tunis El Manar University,École Supérieure Privée d'Ingénierie et de Technologies,education,education
1,https://ror.org/029cgt552 -> https://ror.org/022efad20,https://ror.org/029cgt552,https://ror.org/022efad20,TN,TN,Tunis,Gabès,Tunis El Manar University,University of Gabès,education,education
1,https://ror.org/029cgt552 -> https://ror.org/024mpte60,https://ror.org/029cgt552,https://ror.org/024mpte60,TN,TN,Tunis,Kairouan,Tunis El Manar University,University of Kairouan,education,education
31,https://ror.org/029cgt552 -> https://ror.org/029cgt552,https://ror.org/029cgt552,https://ror.org/029cgt552,TN,TN,Tunis,Tunis,Tunis El Manar University,Tunis El Manar University,education,education
1,https://ror.org/029cgt552 -> https://ror.org/02rfbsc53,https://ror.org/029cgt552,https://ror.org/02rfbsc53,TN,TN,Tunis,Ariana,Tunis El Manar University,Institut Supérieur des Études Technologiques en Communications de Tunis,education,education
1,https://ror.org/029cgt552 -> https://ror.org/033xhzd30,https://ror.org/029cgt552,https://ror.org/033xhzd30,TN,TN,Tunis,Tunis,Tunis El Manar University,Tunisia Private University,education,education
1,https://ror.org/029cgt552 -> https://ror.org/04d4sd432,https://ror.org/029cgt552,https://ror.org/04d4sd432,TN,TN,Tunis,Sfax,Tunis El Manar University,University of Sfax,education,education
2,https://ror.org/029cgt552 -> https://ror.org/04n4f3r80,https://ror.org/029cgt552,https://ror.org/04n4f3r80,TN,TN,Tunis,Tunis,Tunis El Manar University,Military Hospital of Tunis,education,healthcare
3,https://ror.org/029cgt552 -> https://ror.org/04pwyer06,https://ror.org/029cgt552,https://ror.org/04pwyer06,TN,TN,Tunis,Tunis,Tunis El Manar University,Institut Pasteur de Tunis,education,facility
1,https://ror.org/029cgt552 -> https://ror.org/054n9aa03,https://ror.org/029cgt552,https://ror.org/054n9aa03,TN,TN,Tunis,Tunis,Tunis El Manar University,"Arab League Educational, Cultural and Scientific Organization",education,other
5,https://ror.org/029cgt552 -> https://ror.org/057x6za15,https://ror.org/029cgt552,https://ror.org/057x6za15,TN,TN,Tunis,Tunis,Tunis El Manar University,University of Carthage,education,education
1,https://ror.org/029cgt552 -> https://ror.org/05v1m8q81,https://ror.org/029cgt552,https://ror.org/05v1m8q81,TN,TN,Tunis,Tunis,Tunis El Manar University,Ministry of Higher Education and Scientific Research,education,government
1,https://ror.org/02q1spa57 -> https://ror.org/000g0zm60,https://ror.org/02q1spa57,https://ror.org/000g0zm60,TN,TN,Tunis,Jendouba,Tunis University,University of Jendouba,education,education
1,https://ror.org/02q1spa57 -> https://ror.org/00nhtcg76,https://ror.org/02q1spa57,https://ror.org/00nhtcg76,TN,TN,Tunis,Monastir,Tunis University,University of Monastir,education,education
2,https://ror.org/02q1spa57 -> https://ror.org/02q1spa57,https://ror.org/02q1spa57,https://ror.org/02q1spa57,TN,TN,Tunis,Tunis,Tunis University,Tunis University,education,education
1,https://ror.org/02q1spa57 -> https://ror.org/04d4sd432,https://ror.org/02q1spa57,https://ror.org/04d4sd432,TN,TN,Tunis,Sfax,Tunis University,University of Sfax,education,education
1,https://ror.org/02q1spa57 -> https://ror.org/0503ejf32,https://ror.org/02q1spa57,https://ror.org/0503ejf32,TN,TN,Tunis,Manouba,Tunis University,Manouba University,education,education
1,https://ror.org/02q1spa57 -> https://ror.org/057x6za15,https://ror.org/02q1spa57,https://ror.org/057x6za15,TN,TN,Tunis,Tunis,Tunis University,University of Carthage,education,education
1,https://ror.org/02zdnfn05 -> https://ror.org/00sd4s212,https://ror.org/02zdnfn05,https://ror.org/00sd4s212,TN,TN,Tunis,Nabeul,Institut National Agronomique de Tunisie,Institut Supérieur des Études Technologiques de Nabeul,education,education
1,https://ror.org/02zdnfn05 -> https://ror.org/01hwc7828,https://ror.org/02zdnfn05,https://ror.org/01hwc7828,TN,TN,Tunis,Medenine,Institut National Agronomique de Tunisie,Institut des Régions Arides,education,facility
1,https://ror.org/02zdnfn05 -> https://ror.org/02zdnfn05,https://ror.org/02zdnfn05,https://ror.org/02zdnfn05,TN,TN,Tunis,Tunis,Institut National Agronomique de Tunisie,Institut National Agronomique de Tunisie,education,education
1,https://ror.org/02zdnfn05 -> https://ror.org/04vck0k59,https://ror.org/02zdnfn05,https://ror.org/04vck0k59,TN,TN,Tunis,Tunis,Institut National Agronomique de Tunisie,Ministry of Agriculture,education,government
1,https://ror.org/02zdnfn05 -> https://ror.org/057x6za15,https://ror.org/02zdnfn05,https://ror.org/057x6za15,TN,TN,Tunis,Tunis,Institut National Agronomique de Tunisie,University of Carthage,education,education
1,https://ror.org/02zdnfn05 -> https://ror.org/05v1m8q81,https://ror.org/02zdnfn05,https://ror.org/05v1m8q81,TN,TN,Tunis,Tunis,Institut National Agronomique de Tunisie,Ministry of Higher Education and Scientific Research,education,government
1,https://ror.org/02zdnfn05 -> https://ror.org/05v2dq092,https://ror.org/02zdnfn05,https://ror.org/05v2dq092,TN,TN,Tunis,Tunis,Institut National Agronomique de Tunisie,Centre International des Technologies de l'Environnement de Tunis,education,government
2,https://ror.org/04d4sd432 -> https://ror.org/00dmpgj58,https://ror.org/04d4sd432,https://ror.org/00dmpgj58,TN,TN,Sfax,Sousse,University of Sfax,University of Sousse,education,education
4,https://ror.org/04d4sd432 -> https://ror.org/00nhtcg76,https://ror.org/04d4sd432,https://ror.org/00nhtcg76,TN,TN,Sfax,Monastir,University of Sfax,University of Monastir,education,education
1,https://ror.org/04d4sd432 -> https://ror.org/00qn2rd91,https://ror.org/04d4sd432,https://ror.org/00qn2rd91,TN,TN,Sfax,Tunis,University of Sfax,National Institute of Applied Science and Technology,education,facility
3,https://ror.org/04d4sd432 -> https://ror.org/01kzjzn40,https://ror.org/04d4sd432,https://ror.org/01kzjzn40,TN,TN,Sfax,Gafsa,University of Sfax,University of Gafsa,education,education
1,https://ror.org/04d4sd432 -> https://ror.org/024mpte60,https://ror.org/04d4sd432,https://ror.org/024mpte60,TN,TN,Sfax,Kairouan,University of Sfax,University of Kairouan,education,education
21,https://ror.org/04d4sd432 -> https://ror.org/04d4sd432,https://ror.org/04d4sd432,https://ror.org/04d4sd432,TN,TN,Sfax,Sfax,University of Sfax,University of Sfax,education,education
1,https://ror.org/04d4sd432 -> https://ror.org/057x6za15,https://ror.org/04d4sd432,https://ror.org/057x6za15,TN,TN,Sfax,Tunis,University of Sfax,University of Carthage,education,education
1,https://ror.org/04d4sd432 -> https://ror.org/05acynk65,https://ror.org/04d4sd432,https://ror.org/05acynk65,TN,TN,Sfax,Sfax,University of Sfax,Centre of Biotechnology of Sfax,education,facility
1,https://ror.org/04d4sd432 -> https://ror.org/05v1dya15,https://ror.org/04d4sd432,https://ror.org/05v1dya15,TN,TN,Sfax,Nabeul,University of Sfax,Centre de Recherches et des Technologies des Eaux,education,facility
3,https://ror.org/04pwyer06 -> https://ror.org/04pwyer06,https://ror.org/04pwyer06,https://ror.org/04pwyer06,TN,TN,Tunis,Tunis,Institut Pasteur de Tunis,Institut Pasteur de Tunis,facility,facility
5,https://ror.org/04w9mdw91 -> https://ror.org/04w9mdw91,https://ror.org/04w9mdw91,https://ror.org/04w9mdw91,TN,TN,Tunis,Tunis,Institut Supérieur de Gestion de Tunis,Institut Supérieur de Gestion de Tunis,education,education
1,https://ror.org/0503ejf32 -> https://ror.org/00dmpgj58,https://ror.org/0503ejf32,https://ror.org/00dmpgj58,TN,TN,Manouba,Sousse,Manouba University,University of Sousse,education,education
1,https://ror.org/0503ejf32 -> https://ror.org/029cgt552,https://ror.org/0503ejf32,https://ror.org/029cgt552,TN,TN,Manouba,Tunis,Manouba University,Tunis El Manar University,education,education
1,https://ror.org/0503ejf32 -> https://ror.org/04d4sd432,https://ror.org/0503ejf32,https://ror.org/04d4sd432,TN,TN,Manouba,Sfax,Manouba University,University of Sfax,education,education
1,https://ror.org/057x6za15 -> https://ror.org/000g0zm60,https://ror.org/057x6za15,https://ror.org/000g0zm60,TN,TN,Tunis,Jendouba,University of Carthage,University of Jendouba,education,education
1,https://ror.org/057x6za15 -> https://ror.org/029cgt552,https://ror.org/057x6za15,https://ror.org/029cgt552,TN,TN,Tunis,Tunis,University of Carthage,Tunis El Manar University,education,education
1,https://ror.org/057x6za15 -> https://ror.org/02q1spa57,https://ror.org/057x6za15,https://ror.org/02q1spa57,TN,TN,Tunis,Tunis,University of Carthage,Tunis University,education,education
1,https://ror.org/057x6za15 -> https://ror.org/04vck0k59,https://ror.org/057x6za15,https://ror.org/04vck0k59,TN,TN,Tunis,Tunis,University of Carthage,Ministry of Agriculture,education,government
12,https://ror.org/057x6za15 -> https://ror.org/057x6za15,https://ror.org/057x6za15,https://ror.org/057x6za15,TN,TN,Tunis,Tunis,University of Carthage,University of Carthage,education,education
