Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
3,https://ror.org/001v19997 -> https://ror.org/001v19997,https://ror.org/001v19997,https://ror.org/001v19997,TR,TR,Eskişehir,Eskişehir,Eskişehir Osmangazi Üniversitesi Tıp Fakültesi Hastanesi,Eskişehir Osmangazi Üniversitesi Tıp Fakültesi Hastanesi,healthcare,healthcare
1,https://ror.org/001v19997 -> https://ror.org/00jb0e673,https://ror.org/001v19997,https://ror.org/00jb0e673,TR,TR,Eskişehir,Kırklareli,Eskişehir Osmangazi Üniversitesi Tıp Fakültesi Hastanesi,Kırklareli University,healthcare,education
1,https://ror.org/001v19997 -> https://ror.org/00pkvys92,https://ror.org/001v19997,https://ror.org/00pkvys92,TR,TR,Eskişehir,Ankara,Eskişehir Osmangazi Üniversitesi Tıp Fakültesi Hastanesi,Ministry of Health,healthcare,government
1,https://ror.org/001v19997 -> https://ror.org/02eaafc18,https://ror.org/001v19997,https://ror.org/02eaafc18,TR,TR,Eskişehir,İzmir,Eskişehir Osmangazi Üniversitesi Tıp Fakültesi Hastanesi,Ege University,healthcare,education
1,https://ror.org/001v19997 -> https://ror.org/037vvf096,https://ror.org/001v19997,https://ror.org/037vvf096,TR,TR,Eskişehir,Karaman,Eskişehir Osmangazi Üniversitesi Tıp Fakültesi Hastanesi,Karamanoğlu Mehmetbey University,healthcare,education
1,https://ror.org/001v19997 -> https://ror.org/0411seq30,https://ror.org/001v19997,https://ror.org/0411seq30,TR,TR,Eskişehir,İzmit,Eskişehir Osmangazi Üniversitesi Tıp Fakültesi Hastanesi,Kocaeli Üniversitesi,healthcare,education
1,https://ror.org/001v19997 -> https://ror.org/05nz37n09,https://ror.org/001v19997,https://ror.org/05nz37n09,TR,TR,Eskişehir,Eskişehir,Eskişehir Osmangazi Üniversitesi Tıp Fakültesi Hastanesi,Anadolu University,healthcare,education
4,https://ror.org/004ah3r71 -> https://ror.org/004ah3r71,https://ror.org/004ah3r71,https://ror.org/004ah3r71,TR,TR,Sinop,Sinop,Sinop University,Sinop University,education,education
1,https://ror.org/004ah3r71 -> https://ror.org/02s4gkg68,https://ror.org/004ah3r71,https://ror.org/02s4gkg68,TR,TR,Sinop,Adıyaman,Sinop University,Adıyaman University,education,education
1,https://ror.org/004ah3r71 -> https://ror.org/047g8vk19,https://ror.org/004ah3r71,https://ror.org/047g8vk19,TR,TR,Sinop,Kayseri,Sinop University,Erciyes University,education,education
12,https://ror.org/004dg2369 -> https://ror.org/004dg2369,https://ror.org/004dg2369,https://ror.org/004dg2369,TR,TR,Istanbul,Istanbul,Maltepe University,Maltepe University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/00t7bpe49,https://ror.org/004dg2369,https://ror.org/00t7bpe49,TR,TR,Istanbul,Mersin,Maltepe University,European University of Lefke,education,education
1,https://ror.org/004dg2369 -> https://ror.org/00xvwpq40,https://ror.org/004dg2369,https://ror.org/00xvwpq40,TR,TR,Istanbul,Istanbul,Maltepe University,İstanbul Sabahattin Zaim Üniversitesi,education,education
1,https://ror.org/004dg2369 -> https://ror.org/00yze4d93,https://ror.org/004dg2369,https://ror.org/00yze4d93,TR,TR,Istanbul,Istanbul,Maltepe University,Bahçeşehir University,education,education
2,https://ror.org/004dg2369 -> https://ror.org/014bh1q35,https://ror.org/004dg2369,https://ror.org/014bh1q35,TR,TR,Istanbul,Istanbul,Maltepe University,Istanbul 29 Mayis University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/014weej12,https://ror.org/004dg2369,https://ror.org/014weej12,TR,TR,Istanbul,Ankara,Maltepe University,Middle East Technical University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/01etz1309,https://ror.org/004dg2369,https://ror.org/01etz1309,TR,TR,Istanbul,Denizli,Maltepe University,Pamukkale University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/01m59r132,https://ror.org/004dg2369,https://ror.org/01m59r132,TR,TR,Istanbul,Antalya,Maltepe University,Akdeniz University,education,education
2,https://ror.org/004dg2369 -> https://ror.org/01rp2a061,https://ror.org/004dg2369,https://ror.org/01rp2a061,TR,TR,Istanbul,Istanbul,Maltepe University,Acıbadem University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/01x1kqx83,https://ror.org/004dg2369,https://ror.org/01x1kqx83,TR,TR,Istanbul,Bolu,Maltepe University,Bolu Abant İzzet Baysal University,education,education
2,https://ror.org/004dg2369 -> https://ror.org/025mx2575,https://ror.org/004dg2369,https://ror.org/025mx2575,TR,TR,Istanbul,Istanbul,Maltepe University,Yeditepe University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/02eaafc18,https://ror.org/004dg2369,https://ror.org/02eaafc18,TR,TR,Istanbul,İzmir,Maltepe University,Ege University,education,education
2,https://ror.org/004dg2369 -> https://ror.org/02eq60031,https://ror.org/004dg2369,https://ror.org/02eq60031,TR,TR,Istanbul,Istanbul,Maltepe University,Piri Reis University,education,education
2,https://ror.org/004dg2369 -> https://ror.org/02j8k6t75,https://ror.org/004dg2369,https://ror.org/02j8k6t75,TR,TR,Istanbul,Istanbul,Maltepe University,Işık University,education,education
2,https://ror.org/004dg2369 -> https://ror.org/02kswqa67,https://ror.org/004dg2369,https://ror.org/02kswqa67,TR,TR,Istanbul,Istanbul,Maltepe University,Marmara University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/02vh8a032,https://ror.org/004dg2369,https://ror.org/02vh8a032,TR,TR,Istanbul,Ankara,Maltepe University,Bilkent University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/037jwzz50,https://ror.org/004dg2369,https://ror.org/037jwzz50,TR,TR,Istanbul,Istanbul,Maltepe University,Istanbul Medipol University,education,education
6,https://ror.org/004dg2369 -> https://ror.org/03a5qrr21,https://ror.org/004dg2369,https://ror.org/03a5qrr21,TR,TR,Istanbul,Istanbul,Maltepe University,Istanbul University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/03natay60,https://ror.org/004dg2369,https://ror.org/03natay60,TR,TR,Istanbul,Büyükçekmece,Maltepe University,Istanbul Arel University,education,education
2,https://ror.org/004dg2369 -> https://ror.org/03tg3eb07,https://ror.org/004dg2369,https://ror.org/03tg3eb07,TR,TR,Istanbul,Bursa,Maltepe University,Uludağ University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/03zzckc47,https://ror.org/004dg2369,https://ror.org/03zzckc47,TR,TR,Istanbul,Istanbul,Maltepe University,Kadir Has University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/0411seq30,https://ror.org/004dg2369,https://ror.org/0411seq30,TR,TR,Istanbul,İzmit,Maltepe University,Kocaeli Üniversitesi,education,education
1,https://ror.org/004dg2369 -> https://ror.org/04kwvgz42,https://ror.org/004dg2369,https://ror.org/04kwvgz42,TR,TR,Istanbul,Ankara,Maltepe University,Hacettepe University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/04z33a802,https://ror.org/004dg2369,https://ror.org/04z33a802,TR,TR,Istanbul,Istanbul,Maltepe University,Istanbul Yeni Yüzyıl University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/054d5vq03,https://ror.org/004dg2369,https://ror.org/054d5vq03,TR,TR,Istanbul,Istanbul,Maltepe University,Okan University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/054xkpr46,https://ror.org/004dg2369,https://ror.org/054xkpr46,TR,TR,Istanbul,Ankara,Maltepe University,Gazi University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/056wqre19,https://ror.org/004dg2369,https://ror.org/056wqre19,TR,TR,Istanbul,Ankara,Maltepe University,Çankaya University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/05nz37n09,https://ror.org/004dg2369,https://ror.org/05nz37n09,TR,TR,Istanbul,Eskişehir,Maltepe University,Anadolu University,education,education
1,https://ror.org/004dg2369 -> https://ror.org/05syseh24,https://ror.org/004dg2369,https://ror.org/05syseh24,TR,TR,Istanbul,Istanbul,Maltepe University,Naval Academy,education,education
1,https://ror.org/005zfy155 -> https://ror.org/047g8vk19,https://ror.org/005zfy155,https://ror.org/047g8vk19,TR,TR,Kayseri,Kayseri,Kayseri Üniversitesi,Erciyes University,education,education
1,https://ror.org/005zfy155 -> https://ror.org/05nz37n09,https://ror.org/005zfy155,https://ror.org/05nz37n09,TR,TR,Kayseri,Eskişehir,Kayseri Üniversitesi,Anadolu University,education,education
2,https://ror.org/009axq942 -> https://ror.org/009axq942,https://ror.org/009axq942,https://ror.org/009axq942,TR,TR,Muş,Muş,Muş Alparslan University,Muş Alparslan University,education,education
2,https://ror.org/00aff0y51 -> https://ror.org/00dbd8b73,https://ror.org/00aff0y51,https://ror.org/00dbd8b73,TR,TR,İzmir,Izmir,Dr. Behçet Uz Çocuk Hastalıkları Hastanesi,Dokuz Eylül University,healthcare,education
19,https://ror.org/00btgsb62 -> https://ror.org/00btgsb62,https://ror.org/00btgsb62,https://ror.org/00btgsb62,TR,TR,Istanbul,Istanbul,Galatasaray University,Galatasaray University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/00dbd8b73,https://ror.org/00btgsb62,https://ror.org/00dbd8b73,TR,TR,Istanbul,Izmir,Galatasaray University,Dokuz Eylül University,education,education
3,https://ror.org/00btgsb62 -> https://ror.org/00jb0e673,https://ror.org/00btgsb62,https://ror.org/00jb0e673,TR,TR,Istanbul,Kırklareli,Galatasaray University,Kırklareli University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/00jzwgz36,https://ror.org/00btgsb62,https://ror.org/00jzwgz36,TR,TR,Istanbul,Istanbul,Galatasaray University,Koç University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/00qsyw664,https://ror.org/00btgsb62,https://ror.org/00qsyw664,TR,TR,Istanbul,Istanbul,Galatasaray University,Istanbul Aydın University,education,education
5,https://ror.org/00btgsb62 -> https://ror.org/00yze4d93,https://ror.org/00btgsb62,https://ror.org/00yze4d93,TR,TR,Istanbul,Istanbul,Galatasaray University,Bahçeşehir University,education,education
2,https://ror.org/00btgsb62 -> https://ror.org/0145w8333,https://ror.org/00btgsb62,https://ror.org/0145w8333,TR,TR,Istanbul,Istanbul,Galatasaray University,Altınbaş University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/014bh1q35,https://ror.org/00btgsb62,https://ror.org/014bh1q35,TR,TR,Istanbul,Istanbul,Galatasaray University,Istanbul 29 Mayis University,education,education
2,https://ror.org/00btgsb62 -> https://ror.org/014weej12,https://ror.org/00btgsb62,https://ror.org/014weej12,TR,TR,Istanbul,Ankara,Galatasaray University,Middle East Technical University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/01jjhfr75,https://ror.org/00btgsb62,https://ror.org/01jjhfr75,TR,TR,Istanbul,Istanbul,Galatasaray University,Özyeğin University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/01psaa030,https://ror.org/00btgsb62,https://ror.org/01psaa030,TR,TR,Istanbul,Istanbul,Galatasaray University,Turkish Air Force Academy,education,education
4,https://ror.org/00btgsb62 -> https://ror.org/01wntqw50,https://ror.org/00btgsb62,https://ror.org/01wntqw50,TR,TR,Istanbul,Ankara,Galatasaray University,Ankara University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/01zxaph45,https://ror.org/00btgsb62,https://ror.org/01zxaph45,TR,TR,Istanbul,Alanya,Galatasaray University,Alanya Alaaddin Keykubat Üniversitesi,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/020ddy191,https://ror.org/00btgsb62,https://ror.org/020ddy191,TR,TR,Istanbul,Istanbul,Galatasaray University,Istanbul Şehir University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/02dzjmc73,https://ror.org/00btgsb62,https://ror.org/02dzjmc73,TR,TR,Istanbul,Scutari,Galatasaray University,Üsküdar University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/02eaafc18,https://ror.org/00btgsb62,https://ror.org/02eaafc18,TR,TR,Istanbul,İzmir,Galatasaray University,Ege University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/02eq60031,https://ror.org/00btgsb62,https://ror.org/02eq60031,TR,TR,Istanbul,Istanbul,Galatasaray University,Piri Reis University,education,education
2,https://ror.org/00btgsb62 -> https://ror.org/02kswqa67,https://ror.org/00btgsb62,https://ror.org/02kswqa67,TR,TR,Istanbul,Istanbul,Galatasaray University,Marmara University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/02v3kkq53,https://ror.org/00btgsb62,https://ror.org/02v3kkq53,TR,TR,Istanbul,Istanbul,Galatasaray University,Istanbul Commerce University,education,education
3,https://ror.org/00btgsb62 -> https://ror.org/02vh8a032,https://ror.org/00btgsb62,https://ror.org/02vh8a032,TR,TR,Istanbul,Ankara,Galatasaray University,Bilkent University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/03081nz23,https://ror.org/00btgsb62,https://ror.org/03081nz23,TR,TR,Istanbul,Istanbul,Galatasaray University,Istinye University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/0396cd675,https://ror.org/00btgsb62,https://ror.org/0396cd675,TR,TR,Istanbul,Mardin,Galatasaray University,Mardin Artuklu University,education,education
9,https://ror.org/00btgsb62 -> https://ror.org/03a5qrr21,https://ror.org/00btgsb62,https://ror.org/03a5qrr21,TR,TR,Istanbul,Istanbul,Galatasaray University,Istanbul University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/03dcvf827,https://ror.org/00btgsb62,https://ror.org/03dcvf827,TR,TR,Istanbul,Istanbul,Galatasaray University,Beykent University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/03gn5cg19,https://ror.org/00btgsb62,https://ror.org/03gn5cg19,TR,TR,Istanbul,Kahramanmaraş,Galatasaray University,Kahramanmaraş Sütçü İmam University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/03n7yzv56,https://ror.org/00btgsb62,https://ror.org/03n7yzv56,TR,TR,Istanbul,Aydin,Galatasaray University,Adnan Menderes University,education,education
1,https://ror.org/00btgsb62 -> https://ror.org/03tg3eb07,https://ror.org/00btgsb62,https://ror.org/03tg3eb07,TR,TR,Istanbul,Bursa,Galatasaray University,Uludağ University,education,education
3,https://ror.org/00btgsb62 -> https://ror.org/03z9tma90,https://ror.org/00btgsb62,https://ror.org/03z9tma90,TR,TR,Istanbul,Istanbul,Galatasaray University,Boğaziçi University,education,education
5,https://ror.org/00btgsb62 -> https://ror.org/03zzckc47,https://ror.org/00btgsb62,https://ror.org/03zzckc47,TR,TR,Istanbul,Istanbul,Galatasaray University,Kadir Has University,education,education
2,https://ror.org/00btgsb62 -> https://ror.org/049asqa32,https://ror.org/00btgsb62,https://ror.org/049asqa32,TR,TR,Istanbul,Istanbul,Galatasaray University,Sabancı Üniversitesi,education,education
2,https://ror.org/00btgsb62 -> https://ror.org/04kwvgz42,https://ror.org/00btgsb62,https://ror.org/04kwvgz42,TR,TR,Istanbul,Ankara,Galatasaray University,Hacettepe University,education,education
