Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
26,https://ror.org/0028v3876 -> https://ror.org/0028v3876,https://ror.org/0028v3876,https://ror.org/0028v3876,TW,TW,Minxiong,Minxiong,National Chung Cheng University,National Chung Cheng University,education,education
1,https://ror.org/0028v3876 -> https://ror.org/0029n1t76,https://ror.org/0028v3876,https://ror.org/0029n1t76,TW,TW,Minxiong,Tainan,National Chung Cheng University,Southern Taiwan University of Science and Technology,education,education
2,https://ror.org/0028v3876 -> https://ror.org/005gkfa10,https://ror.org/0028v3876,https://ror.org/005gkfa10,TW,TW,Minxiong,Changhua,National Chung Cheng University,National Changhua University of Education,education,education
8,https://ror.org/0028v3876 -> https://ror.org/00d80zx46,https://ror.org/0028v3876,https://ror.org/00d80zx46,TW,TW,Minxiong,Taoyuan City,National Chung Cheng University,Chang Gung University,education,education
4,https://ror.org/0028v3876 -> https://ror.org/00mjawt10,https://ror.org/0028v3876,https://ror.org/00mjawt10,TW,TW,Minxiong,Kaohsiung,National Chung Cheng University,National Sun Yat-sen University,education,education
2,https://ror.org/0028v3876 -> https://ror.org/00mng9617,https://ror.org/0028v3876,https://ror.org/00mng9617,TW,TW,Minxiong,Hualien City,National Chung Cheng University,National Dong Hwa University,education,education
2,https://ror.org/0028v3876 -> https://ror.org/00q523p52,https://ror.org/0028v3876,https://ror.org/00q523p52,TW,TW,Minxiong,Douliu,National Chung Cheng University,National Formosa University,education,education
1,https://ror.org/0028v3876 -> https://ror.org/00v408z34,https://ror.org/0028v3876,https://ror.org/00v408z34,TW,TW,Minxiong,Taichung,National Chung Cheng University,China Medical University,education,education
1,https://ror.org/0028v3876 -> https://ror.org/00zhvdn11,https://ror.org/0028v3876,https://ror.org/00zhvdn11,TW,TW,Minxiong,Taichung,National Chung Cheng University,Tunghai University,education,education
1,https://ror.org/0028v3876 -> https://ror.org/013zjb662,https://ror.org/0028v3876,https://ror.org/013zjb662,TW,TW,Minxiong,Kaohsiung,National Chung Cheng University,National University of Kaohsiung,education,education
5,https://ror.org/0028v3876 -> https://ror.org/01b8kcc49,https://ror.org/0028v3876,https://ror.org/01b8kcc49,TW,TW,Minxiong,Tainan,National Chung Cheng University,National Cheng Kung University,education,education
1,https://ror.org/0028v3876 -> https://ror.org/01d81q939,https://ror.org/0028v3876,https://ror.org/01d81q939,TW,TW,Minxiong,Taipei,National Chung Cheng University,National Open University,education,education
