OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.8599946208581253,https://ror.org/0276bwh55,TZ,Arusha,Eastern and Southern African Management Institute,education
0.8599370179279946,https://ror.org/04jsebv71,TZ,Dar es Salaam,Institute of Finance Management,education
0.8542731329863538,https://ror.org/02hh51f62,TZ,Dar es Salaam,International Medical and Technological University,education
0.592795996626944,https://ror.org/041vsn055,TZ,Arusha,Nelson Mandela African Institution of Science and Technology,education
0.24645287882065203,https://ror.org/02m6yfe37,TZ,Dar es Salaam,Open University of Tanzania,education
0.22929237021446472,https://ror.org/04knhza04,TZ,Moshi,Kilimanjaro Christian Medical Centre,healthcare
0.22353655631704908,https://ror.org/03kndyq24,TZ,Moshi,Moshi Co-operative University,education
0.17426587199312918,https://ror.org/05k903r09,TZ,Dar es Salaam,Ardhi University,education
0.024461991379544152,https://ror.org/05qcsva92,TZ,Dar es Salaam,College of Business Education,education
2.0503323934206116e-05,https://ror.org/009n8zh45,TZ,Dodoma,The University of Dodoma,education
0.0,https://ror.org/02sejv728,TZ,Zanzibar,Zanzibar University,education
0.0,https://ror.org/0316x1478,TZ,Zanzibar,State University of Zanzibar,education
-0.020571773188060784,https://ror.org/027pr6c67,TZ,Dar es Salaam,Muhimbili University of Health and Allied Sciences,education
-0.14013444011368018,https://ror.org/02c02vy89,TZ,Dar es Salaam,African Institute for Mathematical Sciences,other
-0.14015788559501904,https://ror.org/0479aed98,TZ,Dar es Salaam,University of Dar es Salaam,education
-0.14060607110389126,https://ror.org/02tzc1925,TZ,Mbulu,Haydom Lutheran Hospital,healthcare
-0.142941420559837,https://ror.org/009nnap37,TZ,Arusha,Institute of Accountancy Arusha,education
-0.1457765312415146,https://ror.org/02qrvdj69,TZ,Morogoro,Mzumbe University,education
-0.2560377410280857,https://ror.org/02r85r585,TZ,Dodoma,Institute of Rural Development Planning,education
-0.271426668810546,https://ror.org/0511zqc76,TZ,Arusha,Tumaini University,education
-0.3533471243026095,https://ror.org/02xvk2686,TZ,Dar es Salaam,Muhimbili National Hospital,healthcare
-0.4071533569973746,https://ror.org/0051sgx15,TZ,Dar es Salaam,University of Bagamoyo,education
-0.5823418900169588,https://ror.org/020wq5714,TZ,Arusha,University of Arusha,education
-0.6005592219296124,https://ror.org/0369jpd83,TZ,Dar es Salaam,Ministry of Livestock and Fisheries,government
-0.6013030306647152,https://ror.org/00jdryp44,TZ,Morogoro,Sokoine University of Agriculture,education
-0.6255201830608117,https://ror.org/01vy3hr18,TZ,Dar es Salaam,Hubert Kairuki Memorial University,education
-0.7678975598056452,https://ror.org/00p8msr48,TZ,Mwanza,St. Augustine University of Tanzania,education
-0.7736565275631265,https://ror.org/04mvbr723,TZ,Dar es Salaam,St. Joseph University In Tanzania,education
-0.8824090434220531,https://ror.org/055326464,TZ,Mbeya,Mbeya University of Science and Technology,education
-0.88426788919066,https://ror.org/03zeb7y98,TZ,Dar es Salaam,Institute of Social Work,nonprofit
-0.9392537086111848,https://ror.org/02jmk1h66,TZ,Dodoma,St. John's University of Tanzania,education
-0.9999322432280016,https://ror.org/01x7j0342,TZ,Hombolo,Local Government Training Institute,education
-0.9999322432280016,https://ror.org/059dvm679,TZ,Arusha,"East, Central and Southern Africa Health Community",other
-1.020523824781629,https://ror.org/02jy5b122,TZ,Dar es Salaam,Management and Development for Health,healthcare
-1.0205478307883435,https://ror.org/05tfxp741,TZ,Dar es Salaam,Ocean Road Cancer Institute,facility
-1.0262315188018072,https://ror.org/015qmyq14,TZ,Mwanza,Catholic University of Health and Allied Sciences,education
-1.1002828867411834,https://ror.org/02465hh03,TZ,Dodoma,"Ministry of Health, Community Development, Gender, Elderly and Children",government
-1.1050971578024364,https://ror.org/02a86ry03,TZ,Morogoro,Muslim University of Morogoro,education
-1.1356589314148298,https://ror.org/02e2ve941,TZ,Arusha,Mount Meru University,education
-1.140109275193089,https://ror.org/038c55s31,TZ,Dar es Salaam,Dar es Salaam Institute of Technology,education
-1.140109275193089,https://ror.org/01g454487,TZ,Dar es Salaam,National Institute of Transport,education
-1.140109275193089,https://ror.org/041g2nn20,TZ,Dar es Salaam,Research on Poverty Alleviation,other
-1.1406520402484122,https://ror.org/03e04g978,TZ,Dar es Salaam,Tanzania Commission for Science and Technology,government
-1.2032530094025413,https://ror.org/05yfwg049,TZ,Moshi,College of African Wildlife Management,education
-1.600848104055182,https://ror.org/00ezwn594,TZ,Dar es Salaam,Ministry of Natural Resources and Tourism,government
-1.6012760346473132,https://ror.org/01sr63h27,TZ,Lushoto,Sebastian Kolowa Memorial University,education
