OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.1226966257536506,https://ror.org/0405eh275,UA,Kamyianets-Podilskyy,Kamenets Podolsky National University,education
2.062023447093603,https://ror.org/04qfewz28,UA,Simferopol,Crimea State Medical University named after S. I. Georgievsky,education
2.0619767186962883,https://ror.org/03t955590,UA,Yalta,Crimean State Humanitarian University,education
1.8439551148145203,https://ror.org/010hy3w58,UA,Kharkiv,Kharkiv State University of Food Technology and Trade,education
1.7678791772970743,https://ror.org/014kkjk75,UA,Lviv,Lviv Medical University,education
1.6730448864009488,https://ror.org/04wd8np46,UA,Kharkiv,Yaroslav Mudryi National Law University,education
1.6062696053029974,https://ror.org/03cfeg204,UA,Kropyvnytskyi,Flight Academy of the National Aviation University,education
1.6038731982692174,https://ror.org/05d0bdm05,UA,Bakhchysarai,Crimean Astrophysical Observatory,facility
1.6037074842990708,https://ror.org/051czz811,UA,Simferopol,National Academy of Environmental and Resort Construction,education
1.5805172131452987,https://ror.org/028ap6052,UA,Lviv,Institute of Animal Biology NAAS,facility
1.5629459939174273,https://ror.org/00qybfa89,UA,Donetsk,Donetsk State University,education
1.5392461518108815,https://ror.org/05j07r343,UA,Kyiv,Ukrainian Academy of Agrarian Sciences,nonprofit
1.531111608529806,https://ror.org/00gjv5s24,UA,Kharkiv,H.S. Skovoroda Kharkiv National Pedagogical University,education
1.5096450765139728,https://ror.org/03hbhg091,UA,Lviv,Lviv Academy of Commerce,education
1.456203112463544,https://ror.org/01wzvb985,UA,Kyiv,Kyiv National Economic University,education
1.4467627481835195,https://ror.org/01sks0025,UA,Kharkiv,Kharkiv National Medical University,education
1.4216218885862202,https://ror.org/01jf72w53,UA,Kyiv,Central Scientific Research Institute of Armament and Military Equipment of the Armed Forces of Ukraine,facility
1.3900469730867253,https://ror.org/05wvagp91,UA,Odessa,South Ukrainian National Pedagogical University named after K. D. Ushynsky,education
1.3387292416669578,https://ror.org/00hdaxs89,UA,Donetsk,Donetsk National Medical University,education
1.3174496107491576,https://ror.org/02sdhsy65,UA,Kyiv,National Academy for Public Administration under the President of Ukraine,education
1.2936763125117525,https://ror.org/01tz4vf62,UA,Kyiv,"Kyiv National I. K. Karpenko-Kary Theatre, Cinema and Television University",education
1.2512575007378364,https://ror.org/033ntwq47,UA,Khmelnytskyi,Khmelnytskyi Humanitarian-Pedagogical Academy,education
1.2485177371368956,https://ror.org/04s92tb21,UA,Odessa,Odessa State Environmental University,education
1.2451754300606237,https://ror.org/02vbn8n59,UA,Khmelnytskyi,Khmelnytsky University of Management and Law,education
1.2410951156506749,https://ror.org/02vrpj575,UA,Kyiv,Kyiv Academic University,education
1.2213243235170415,https://ror.org/03smh8813,UA,Rivne,Luhansk State Medical University,education
1.2050088208966534,https://ror.org/0502vx353,UA,Lviv,Lviv National Academy of Arts,education
1.1956664144419737,https://ror.org/0110at529,UA,Odessa,Odessa National Medical University,education
1.1462586126169465,https://ror.org/0022yfe36,UA,Lviv,Lviv National Musical Academy named after Mykola Lysenko,education
1.1284109965084874,https://ror.org/03vganq87,UA,Kyiv,National Academy of Internal Affairs,government
1.1227881109077362,https://ror.org/04r8a1r80,UA,Khmelnytskyi,Khmelnytskyi National University,education
1.1215335664884578,https://ror.org/026tjcs76,UA,Dnipro,National Metallurgical Academy of Ukraine,education
1.1167499139030859,https://ror.org/00yp5c433,UA,Kharkiv,"National Technical University ""Kharkiv Polytechnic Institute""",education
1.1041758572032876,https://ror.org/00tfv9y59,UA,Sumy,Ukrainian Academy of Banking of the National Bank of Ukraine,education
1.0956195862761557,https://ror.org/04b5zca04,UA,Dnipro,Dnipro National University of Railway Transport named after Academician V. Lazaryan,education
1.077759213387872,https://ror.org/05xaz0w84,UA,Odessa,Odessa National Polytechnic University,education
1.062147189213248,https://ror.org/00zqqv187,UA,Kharkiv,Kharkiv Medical Academy of Postgraduate Education,education
1.0620052712900991,https://ror.org/05erbjx97,UA,Simferopol,V.I. Vernadsky Crimean Federal University,education
1.0554004011354894,https://ror.org/0097mbe50,UA,Kharkiv,Kharkiv National University of Construction and Architecture,education
1.0511278529555679,https://ror.org/01ctj1b90,UA,Kharkiv,Kharkiv National University of Radio Electronics,education
1.0498351558702863,https://ror.org/050z03n93,UA,Kharkiv,Kharkiv National Kotlyarevsky University of Arts,education
1.0239497407120761,https://ror.org/01erfz980,UA,Alchevs’k,Donbas State Technical University,education
1.0112286101925443,https://ror.org/00whe2089,UA,Donetsk,Donetsk National Technical University,education
1.0083956412937898,https://ror.org/02aaqv166,UA,Kyiv,Taras Shevchenko National University of Kyiv,education
1.00724005103134,https://ror.org/03fx0zp19,UA,Odessa,Odessa National O.S.Popov Academy of Telecommunication,education
0.9879129949541973,https://ror.org/048j5n646,UA,Kharkiv,National Aerospace University – Kharkiv Aviation Institute,education
0.9754357353313223,https://ror.org/00zxz8845,UA,Kharkiv,National University of Pharmacy,education
0.9661206676581826,https://ror.org/00qk1f078,UA,Dnipro,Oles Honchar Dnipro National University,education
0.9630991225953276,https://ror.org/01669gb09,UA,Lviv,I.Krypiakevych Institute of Ukrainian Studies National Academy of Sciences of Ukraine,facility
0.9429186701452122,https://ror.org/054zhk838,UA,Kyiv,"National Scientific Center ""M.D. Strazhesko Institute of Cardiology""",facility
0.9369053929196539,https://ror.org/001040111,UA,Kyiv,National Academy of Agrarian Sciences of Ukraine,government
0.9294385733377071,https://ror.org/01z23y265,UA,Kharkiv,Kharkiv National Agrarian University named after V.V.Dokuchajev,education
0.9293984318163595,https://ror.org/0469ncz24,UA,Dnipro,Dnipropetrovsk State Medical Academy,healthcare
0.9164999901598612,https://ror.org/05grw1m33,UA,Kharkiv,Yaroslav Mudryi National Law University,education
0.9060168060844407,https://ror.org/020hbs629,UA,Kyiv,Kyiv National Linguistic University,education
0.9024129971775978,https://ror.org/027c1kk44,UA,Kharkiv,Kharkov State Zooveterinary Academy,education
0.8988461877117715,https://ror.org/05qze6v15,UA,Odesa,Odessa National Maritime University,education
0.8932163560338459,https://ror.org/00qbb2v66,UA,Kharkiv,Kharkiv University of Air Force,education
0.8886668477905868,https://ror.org/006sv2266,UA,Zaporizhia,Classic Private University,education
0.8757552827366792,https://ror.org/02nh5kj96,UA,Kyiv,National Academy of Fine Art and Architecture,education
0.8729025612162168,https://ror.org/03b6cpn03,UA,Odesa,Odesa I. I. Mechnikov National University,education
0.8616522265744794,https://ror.org/01b62sk68,UA,Kharkiv,Kharkiv National Automobile and Highway University,education
0.8511192984216212,https://ror.org/004ezwb23,UA,Irpin,State Tax University,education
0.8460864828305387,https://ror.org/02r9h1127,UA,Kharkiv,Kharkiv State Academy of Culture,education
0.8442106000965349,https://ror.org/05f8ce979,UA,Kharkiv,Ukrainian State University of Railway Transport,education
0.843484061160338,https://ror.org/03e269852,UA,Mariupol,Donetsk State University of Management,education
0.8293567697192792,https://ror.org/00batt813,UA,Kyiv,National Pedagogical Dragomanov University,education
0.8286655439718595,https://ror.org/01s7y5e82,UA,Lviv,Lviv University,education
0.8210002913666076,https://ror.org/02v8f6d18,UA,Kyiv,KROK University,education
0.778135499047776,https://ror.org/03edafd86,UA,Kyiv,Bogomolets National Medical University,education
0.7699097362996824,https://ror.org/02pkshz09,UA,Kharkiv,Kharkiv National University of Internal Affairs,education
0.7679705591963741,https://ror.org/0027cag10,UA,Lviv,Danylo Halytsky Lviv National Medical University,education
0.7504912166843651,https://ror.org/00je4t102,UA,Kyiv,National Academy of Sciences of Ukraine,government
0.7256208794039819,https://ror.org/03wfca816,UA,Kyiv,National University of Kyiv Mohyla Academy,education
0.7149036604167108,https://ror.org/03ftejk10,UA,Kharkiv,V. N. Karazin Kharkiv National University,education
0.7107749646655198,https://ror.org/00xfvkq36,UA,Vinnytsia,Vasyl' Stus Donetsk National University,education
0.701563484385236,https://ror.org/05h1pdj54,UA,Kyiv,National Academy of Educational Sciences of Ukraine,nonprofit
0.6952319380184485,https://ror.org/023wxgq18,UA,Ivano-Frankivsk,Ivano-Frankivsk National Medical University,education
0.6865408257773719,https://ror.org/05g6n4k07,UA,Odessa,Odesa National University of Technology,education
0.6767228772305953,https://ror.org/027gawg81,UA,Kharkiv,Kharkiv State Veterinary Academy,education
0.6748863782974114,https://ror.org/044ghaj56,UA,Zhytomyr,Zhytomyr Ivan Franko State University,education
0.6567541412201744,https://ror.org/006kf9d11,UA,Kyiv,Kyiv School of Economics,education
0.6556867567336963,https://ror.org/03arvq761,UA,Luhansk,Volodymyr Dahl East Ukrainian National University,education
0.6504881785993898,https://ror.org/02anx2442,UA,Kharkiv,Simon Kuznets Kharkiv National University of Economics,education
0.6474414604245289,https://ror.org/03jnxyq69,UA,Kyiv,Banking University,education
0.6461381460240456,https://ror.org/02md2kv66,UA,Kryvyi Rih,Kryvyi Rih National University,education
0.6381833044250721,https://ror.org/01491yv14,UA,Lviv,Ukrainian Academy of Printing,education
0.6286734220629396,https://ror.org/01p07y544,UA,Kyiv,Hryhorii Skovoroda University in Pereiaslav,education
0.6253352446929566,https://ror.org/0525x3k72,UA,Zaporizhia,Zaporizhzhya State Engineering Academy,education
0.6063609534732453,https://ror.org/01f74x078,UA,Kyiv,National Aviation University,education
0.6044332659792584,https://ror.org/05b4xwc96,UA,Kamianets-Podilskyi,Kamianets-Podіlskyi Ivan Ohiienko National University,education
0.6039648899393173,https://ror.org/03zjvmt75,UA,Mykolayiv,Mykolayiv National Agrarian University,education
0.6037989763107582,https://ror.org/0253bfw77,UA,Kyiv,The National Institute for Strategic Studies,facility
0.6030449775950039,https://ror.org/0441cbj57,UA,Kyiv,National University of Life and Environmental Sciences of Ukraine,education
0.5987425879795812,https://ror.org/00nagev26,UA,Vinnytsia,Vinnytsia National Technical University,education
0.5874394664061853,https://ror.org/042dnf796,UA,Kyiv,National Academy of Medical Sciences of Ukraine,government
0.5807758031671534,https://ror.org/042me8y77,UA,Lviv,Stepan Gzhytskyi National University of Veterinary Medicine and Biotechnologies Lviv,education
0.580380400310562,https://ror.org/03cb4jc22,UA,Lviv,SCIVP of Veterinary Medicinal Products and Feed Additives,facility
0.5779225494023738,https://ror.org/0542q3127,UA,Lviv,Lviv Polytechnic National University,education
0.5687674342090792,https://ror.org/0282prk66,UA,Odessa,National University Odesa Law Academy,education
0.5586120768174853,https://ror.org/053mxw461,UA,Sevastopol,Sevastopol National Technical University,education
0.5414157812316421,https://ror.org/044n25186,UA,Chernivtsi,Chernivtsi National University,education
0.5403821364379251,https://ror.org/05cczs510,UA,Poltava,Ukrainian Medical Stomatological Academy,education
0.5393376717529896,https://ror.org/03sgk3c38,UA,Kyiv,National University of Food Technologies,education
0.5320449291412012,https://ror.org/031bs2a09,UA,Dnipro,Ukrainian State University of Chemical Technology,education
