Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
3,https://ror.org/000kkaz97 -> https://ror.org/000kkaz97,https://ror.org/000kkaz97,https://ror.org/000kkaz97,UA,UA,Odessa,Odessa,Odessa State Agrarian University,Odessa State Agrarian University,education,education
1,https://ror.org/000kkaz97 -> https://ror.org/04p1tkq77,https://ror.org/000kkaz97,https://ror.org/04p1tkq77,UA,UA,Odessa,Kamianets-Podilskyi,Odessa State Agrarian University,Podillya State Agrarian and Engineering University,education,education
7,https://ror.org/000psgr90 -> https://ror.org/000psgr90,https://ror.org/000psgr90,https://ror.org/000psgr90,UA,UA,Kropyvnytskyi,Kropyvnytskyi,Volodymyr Vynnychenko Central Ukrainian State University,Volodymyr Vynnychenko Central Ukrainian State University,education,education
1,https://ror.org/001040111 -> https://ror.org/00v64w771,https://ror.org/001040111,https://ror.org/00v64w771,UA,UA,Kyiv,Kyiv,National Academy of Agrarian Sciences of Ukraine,National Scientific Centre “Institute of Agrarian Economics”,government,government
1,https://ror.org/001040111 -> https://ror.org/01x3jjv63,https://ror.org/001040111,https://ror.org/01x3jjv63,UA,UA,Kyiv,Uzhgorod,National Academy of Agrarian Sciences of Ukraine,Uzhhorod National University,government,education
2,https://ror.org/001040111 -> https://ror.org/02qp15436,https://ror.org/001040111,https://ror.org/02qp15436,UA,UA,Kyiv,Kyiv,National Academy of Agrarian Sciences of Ukraine,Kyiv National University of Construction and Architecture,government,education
1,https://ror.org/001040111 -> https://ror.org/02v8f6d18,https://ror.org/001040111,https://ror.org/02v8f6d18,UA,UA,Kyiv,Kyiv,National Academy of Agrarian Sciences of Ukraine,KROK University,government,education
1,https://ror.org/0022yfe36 -> https://ror.org/012b9mf52,https://ror.org/0022yfe36,https://ror.org/012b9mf52,UA,UA,Lviv,Kyiv,Lviv National Musical Academy named after Mykola Lysenko,Kyiv National University of Culture and Arts,education,education
39,https://ror.org/0027cag10 -> https://ror.org/0027cag10,https://ror.org/0027cag10,https://ror.org/0027cag10,UA,UA,Lviv,Lviv,Danylo Halytsky Lviv National Medical University,Danylo Halytsky Lviv National Medical University,education,education
1,https://ror.org/0027cag10 -> https://ror.org/003wdqw68,https://ror.org/0027cag10,https://ror.org/003wdqw68,UA,UA,Lviv,Kyiv,Danylo Halytsky Lviv National Medical University,Kyiv Medical University,education,education
1,https://ror.org/0027cag10 -> https://ror.org/02cyra061,https://ror.org/0027cag10,https://ror.org/02cyra061,UA,UA,Lviv,Kyiv,Danylo Halytsky Lviv National Medical University,Shupyk National Healthcare University of Ukraine,education,education
1,https://ror.org/0027cag10 -> https://ror.org/03edafd86,https://ror.org/0027cag10,https://ror.org/03edafd86,UA,UA,Lviv,Kyiv,Danylo Halytsky Lviv National Medical University,Bogomolets National Medical University,education,education
1,https://ror.org/0027cag10 -> https://ror.org/042dnf796,https://ror.org/0027cag10,https://ror.org/042dnf796,UA,UA,Lviv,Kyiv,Danylo Halytsky Lviv National Medical University,National Academy of Medical Sciences of Ukraine,education,government
2,https://ror.org/0027cag10 -> https://ror.org/0542q3127,https://ror.org/0027cag10,https://ror.org/0542q3127,UA,UA,Lviv,Lviv,Danylo Halytsky Lviv National Medical University,Lviv Polytechnic National University,education,education
1,https://ror.org/003wdqw68 -> https://ror.org/042dnf796,https://ror.org/003wdqw68,https://ror.org/042dnf796,UA,UA,Kyiv,Kyiv,Kyiv Medical University,National Academy of Medical Sciences of Ukraine,education,government
18,https://ror.org/004ezwb23 -> https://ror.org/004ezwb23,https://ror.org/004ezwb23,https://ror.org/004ezwb23,UA,UA,Irpin,Irpin,State Tax University,State Tax University,education,education
1,https://ror.org/004ezwb23 -> https://ror.org/01d5fpx70,https://ror.org/004ezwb23,https://ror.org/01d5fpx70,UA,UA,Irpin,Ostroh,State Tax University,National University Ostroh Academy,education,education
1,https://ror.org/004ezwb23 -> https://ror.org/01ezcv773,https://ror.org/004ezwb23,https://ror.org/01ezcv773,UA,UA,Irpin,Kyiv,State Tax University,Interregional Academy of Personnel Management,education,education
1,https://ror.org/004ezwb23 -> https://ror.org/03sgk3c38,https://ror.org/004ezwb23,https://ror.org/03sgk3c38,UA,UA,Irpin,Kyiv,State Tax University,National University of Food Technologies,education,education
2,https://ror.org/004ezwb23 -> https://ror.org/03vganq87,https://ror.org/004ezwb23,https://ror.org/03vganq87,UA,UA,Irpin,Kyiv,State Tax University,National Academy of Internal Affairs,education,government
1,https://ror.org/004ezwb23 -> https://ror.org/0441cbj57,https://ror.org/004ezwb23,https://ror.org/0441cbj57,UA,UA,Irpin,Kyiv,State Tax University,National University of Life and Environmental Sciences of Ukraine,education,education
1,https://ror.org/004n78r59 -> https://ror.org/004n78r59,https://ror.org/004n78r59,https://ror.org/004n78r59,UA,UA,Lviv,Lviv,Hetman Petro Sahaidachnyi National Army Academy,Hetman Petro Sahaidachnyi National Army Academy,education,education
3,https://ror.org/005da4z68 -> https://ror.org/005da4z68,https://ror.org/005da4z68,https://ror.org/005da4z68,UA,UA,Mykolayiv,Mykolayiv,Mykolaiv V.O. Sukhomlynskyi National University,Mykolaiv V.O. Sukhomlynskyi National University,education,education
2,https://ror.org/006kf9d11 -> https://ror.org/019z71x08,https://ror.org/006kf9d11,https://ror.org/019z71x08,UA,UA,Kyiv,Kyiv,Kyiv School of Economics,Kyiv National Economic University named after Vadym Hetman,education,education
1,https://ror.org/006kf9d11 -> https://ror.org/03wfca816,https://ror.org/006kf9d11,https://ror.org/03wfca816,UA,UA,Kyiv,Kyiv,Kyiv School of Economics,National University of Kyiv Mohyla Academy,education,education
1,https://ror.org/006kf9d11 -> https://ror.org/03xzjyz35,https://ror.org/006kf9d11,https://ror.org/03xzjyz35,UA,UA,Kyiv,Odessa,Kyiv School of Economics,Odessa National Economics University,education,education
4,https://ror.org/006sv2266 -> https://ror.org/006sv2266,https://ror.org/006sv2266,https://ror.org/006sv2266,UA,UA,Zaporizhia,Zaporizhia,Classic Private University,Classic Private University,education,education
2,https://ror.org/006sv2266 -> https://ror.org/00wmr0278,https://ror.org/006sv2266,https://ror.org/00wmr0278,UA,UA,Zaporizhia,Zaporizhzhya,Classic Private University,Zaporizhzhya State Medical University,education,healthcare
