Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/000etct68 -> https://ror.org/000etct68,https://ror.org/000etct68,https://ror.org/000etct68,UG,UG,Masaka,Masaka,Muteesa I Royal University,Muteesa I Royal University,education,education
2,https://ror.org/004fggg55 -> https://ror.org/01wb6tr49,https://ror.org/004fggg55,https://ror.org/01wb6tr49,UG,UG,Entebbe,Kampala,"Ministry of Agriculture, Animal Industry and Fisheries",Kyambogo University,government,education
1,https://ror.org/004fggg55 -> https://ror.org/035d9jb31,https://ror.org/004fggg55,https://ror.org/035d9jb31,UG,UG,Entebbe,Tororo,"Ministry of Agriculture, Animal Industry and Fisheries",Busitema University,government,education
1,https://ror.org/004fggg55 -> https://ror.org/03dmz0111,https://ror.org/004fggg55,https://ror.org/03dmz0111,UG,UG,Entebbe,Kampala,"Ministry of Agriculture, Animal Industry and Fisheries",Makerere University,government,education
1,https://ror.org/007pr2d48 -> https://ror.org/000etct68,https://ror.org/007pr2d48,https://ror.org/000etct68,UG,UG,Mukono,Masaka,Uganda Christian University,Muteesa I Royal University,education,education
6,https://ror.org/007pr2d48 -> https://ror.org/007pr2d48,https://ror.org/007pr2d48,https://ror.org/007pr2d48,UG,UG,Mukono,Mukono,Uganda Christian University,Uganda Christian University,education,education
1,https://ror.org/007pr2d48 -> https://ror.org/01bkn5154,https://ror.org/007pr2d48,https://ror.org/01bkn5154,UG,UG,Mukono,Mbarara,Uganda Christian University,Mbarara University of Science and Technology,education,education
1,https://ror.org/007pr2d48 -> https://ror.org/01dn27978,https://ror.org/007pr2d48,https://ror.org/01dn27978,UG,UG,Mukono,Kabale,Uganda Christian University,Kabale University,education,education
4,https://ror.org/007pr2d48 -> https://ror.org/01wb6tr49,https://ror.org/007pr2d48,https://ror.org/01wb6tr49,UG,UG,Mukono,Kampala,Uganda Christian University,Kyambogo University,education,education
1,https://ror.org/007pr2d48 -> https://ror.org/02trpe492,https://ror.org/007pr2d48,https://ror.org/02trpe492,UG,UG,Mukono,Kampala,Uganda Christian University,Bugema University,education,education
5,https://ror.org/007pr2d48 -> https://ror.org/03dmz0111,https://ror.org/007pr2d48,https://ror.org/03dmz0111,UG,UG,Mukono,Kampala,Uganda Christian University,Makerere University,education,education
1,https://ror.org/007pr2d48 -> https://ror.org/03qhad759,https://ror.org/007pr2d48,https://ror.org/03qhad759,UG,UG,Mukono,Mbale,Uganda Christian University,LivingStone International University,education,education
1,https://ror.org/00ew8c753 -> https://ror.org/04wr6mz63,https://ror.org/00ew8c753,https://ror.org/04wr6mz63,UG,UG,Gulu,Arua,St. Mary's Hospital Lacor,Muni University,healthcare,education
2,https://ror.org/00f041n88 -> https://ror.org/03dmz0111,https://ror.org/00f041n88,https://ror.org/03dmz0111,UG,UG,Mbarara,Kampala,Mbarara National Referral Hospital,Makerere University,healthcare,education
1,https://ror.org/00nmq1179 -> https://ror.org/057mqf960,https://ror.org/00nmq1179,https://ror.org/057mqf960,UG,UG,Kampala,Entebbe,Ndejje University,Nkumba University,education,education
1,https://ror.org/017g82c94 -> https://ror.org/014khff20,https://ror.org/017g82c94,https://ror.org/014khff20,UG,UG,Kampala,Kampala,Kampala International University,Kampala University,education,education
13,https://ror.org/017g82c94 -> https://ror.org/017g82c94,https://ror.org/017g82c94,https://ror.org/017g82c94,UG,UG,Kampala,Kampala,Kampala International University,Kampala International University,education,education
1,https://ror.org/017g82c94 -> https://ror.org/017xqsb41,https://ror.org/017g82c94,https://ror.org/017xqsb41,UG,UG,Kampala,Buloba,Kampala International University,Africa Renewal University,education,education
3,https://ror.org/017g82c94 -> https://ror.org/01bkn5154,https://ror.org/017g82c94,https://ror.org/01bkn5154,UG,UG,Kampala,Mbarara,Kampala International University,Mbarara University of Science and Technology,education,education
1,https://ror.org/017g82c94 -> https://ror.org/01wb6tr49,https://ror.org/017g82c94,https://ror.org/01wb6tr49,UG,UG,Kampala,Kampala,Kampala International University,Kyambogo University,education,education
3,https://ror.org/017g82c94 -> https://ror.org/02h97hh92,https://ror.org/017g82c94,https://ror.org/02h97hh92,UG,UG,Kampala,Kampala,Kampala International University,Cavendish University Uganda,education,education
9,https://ror.org/017g82c94 -> https://ror.org/03dmz0111,https://ror.org/017g82c94,https://ror.org/03dmz0111,UG,UG,Kampala,Kampala,Kampala International University,Makerere University,education,education
1,https://ror.org/017g82c94 -> https://ror.org/03ph49z03,https://ror.org/017g82c94,https://ror.org/03ph49z03,UG,UG,Kampala,Mbale,Kampala International University,Islamic University in Uganda,education,education
3,https://ror.org/01bkn5154 -> https://ror.org/017g82c94,https://ror.org/01bkn5154,https://ror.org/017g82c94,UG,UG,Mbarara,Kampala,Mbarara University of Science and Technology,Kampala International University,education,education
