OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
2.663196154826149,https://ror.org/05626m728,US,Chicago,"John H. Stroger, Jr. Hospital of Cook County",healthcare
2.647344039486733,https://ror.org/03yy7hq10,US,Lenexa,Grantham University,education
2.0678317586215584,https://ror.org/04981wd25,US,Wyncote,Reconstructionist Rabbinical College,education
2.0391573252494477,https://ror.org/01qa6hr76,US,Chicago,Institute for Clinical Social Work,education
2.0382904383707556,https://ror.org/02x5a4z89,US,Atlanta,Argosy University,education
1.9738564018429783,https://ror.org/0421f6a14,US,Jacksonville,Naval Hospital Jacksonville,healthcare
1.9722737430538044,https://ror.org/02p038k52,US,Ullin,Shawnee Community College,education
1.9722737430538044,https://ror.org/035b5r707,US,Newark,Essex County College,education
1.9722737430538044,https://ror.org/039szfp14,US,St. Louis,Ranken Technical College,education
1.9651699160749818,https://ror.org/04sv9xq20,US,Chicago,TCS Education System,nonprofit
1.9644694027012333,https://ror.org/02pj6m510,US,Pasadena,Pacific Oaks College,education
1.9641405299443393,https://ror.org/003gx4r22,US,Athens,University of Georgia Press,education
1.930538559859187,https://ror.org/05x358x43,US,Palo Alto,Sofia University,education
1.9269987793167447,https://ror.org/00dds9q45,US,Portland,Maine College of Art,education
1.917805811746326,https://ror.org/00rw81y84,US,Kalamazoo,Kalamazoo Valley Community College,education
1.91565026712942,https://ror.org/051fq1m45,US,Boston,Massachusetts Executive Office of Health and Human Services,government
1.91565026712942,https://ror.org/05d8vt634,US,Tempe,Harrison Middleton University,education
1.9110639662146183,https://ror.org/03dnnq935,US,Culver City,Antioch University Los Angeles,education
1.888786207281214,https://ror.org/05a7av867,US,New York City,Hebrew Union College - Jewish Institute of Religion,education
1.8870330793215941,https://ror.org/048w9r832,US,Albany,Albany Law School,education
1.8870330793215941,https://ror.org/058jtxa41,US,New Bern,Craven Community College,education
1.8672215058244035,https://ror.org/02h6mhy16,US,Bemidji,Oak Hills Christian College,education
1.8628844104603606,https://ror.org/033d6zz21,US,Chicago,McCormick Theological Seminary,education
1.8617774333963302,https://ror.org/02bmrs815,US,Seattle,South Seattle College,education
1.8550652926583338,https://ror.org/0381kjh19,US,Green Bay,Northeast Wisconsin Technical College,education
1.8550195567692316,https://ror.org/016twdg30,US,New York City,Tri-Institutional PhD Program in Chemical Biology,education
1.8463399196189738,https://ror.org/0232n8553,US,San Francisco,American College of Traditional Chinese Medicine,education
1.8463399196189738,https://ror.org/02yxc8q04,US,New York City,New York Foundation,nonprofit
1.8463399196189738,https://ror.org/03zhqv657,US,Fullerton,Marshall B. Ketchum University,education
1.8369683621273283,https://ror.org/015mh9580,US,Eau Claire,Chippewa Valley Technical College,education
1.8279963341858645,https://ror.org/01j933b41,US,Wichita,Wichita Area Technical College,education
1.8251350362475829,https://ror.org/04shrgb80,US,Waterloo,Allen College,education
1.813040889229213,https://ror.org/0597zww19,US,Geneva,African Literature Association,nonprofit
1.809299389341321,https://ror.org/05y3p3k12,US,Brookline,Hebrew College,education
1.8082346755017262,https://ror.org/055j5q029,US,Salt Lake City,Midwives College of Utah,education
1.8030246348332148,https://ror.org/03eksqx74,US,Mineola,Winthrop-University Hospital,healthcare
1.8020060332185721,https://ror.org/01ak8sk10,US,Detroit,Wayne County Community College District,education
1.7785305718331625,https://ror.org/011rcn817,US,Brockton,Massasoit Community College,education
1.7781597302883771,https://ror.org/00c1pz865,US,Sacramento,International Academy of Design & Technology,education
1.775113284544371,https://ror.org/02vfy4r65,US,Charleston,Charleston Area Medical Center,healthcare
1.7741684954551158,https://ror.org/04ttjs010,US,Indianapolis,Indianapolis Public Schools,education
1.767077689810221,https://ror.org/04jr0a134,US,San Francisco,Academy of Art University,education
1.7660032342922518,https://ror.org/05x0zqa09,US,Norfolk,Northeast Community College,education
1.7654208433306775,https://ror.org/03tkh4446,US,La Plata,College of Southern Maryland,education
1.765409238004615,https://ror.org/03szj8a51,US,Catonsville,Hussman Institute for Autism,nonprofit
1.7613402958482136,https://ror.org/0433rbd97,US,Phoenix,Paradise Valley Community College,education
1.7586774733890764,https://ror.org/00embpk79,US,Sarasota,East West College of Natural Medicine,education
1.7586774733890764,https://ror.org/00k9r5g94,US,Atlanta,Technical College System of Georgia,education
1.7586774733890764,https://ror.org/02dq20r43,US,Gainesville,Dragon Rises College of Oriental Medicine,education
1.7586774733890764,https://ror.org/03mz4b890,US,Tampa,Hillsborough County Public Schools,education
1.7586774733890764,https://ror.org/054s7hj41,US,Centennial,Jones International University,education
1.7579275960139549,https://ror.org/00wr13y59,US,Brooklyn,Lutheran Medical Center,healthcare
1.75712884642065,https://ror.org/03mwphj92,US,Rochester Hills,Rochester Center for Behavioral Medicine,healthcare
1.756898925790015,https://ror.org/015zds189,US,Juneau,Alaska Department of Transportation and Public Facilities,government
1.7554458727763629,https://ror.org/02kk3dq58,US,Bismarck,United Tribes Technical College,education
1.7529857471179697,https://ror.org/03v4jhb18,US,Bloomfield Hills,Cranbrook Academy of Art,other
1.7514642008542922,https://ror.org/00xspzv28,US,Reynoldsburg,Ohio Department of Agriculture,government
1.7514642008542922,https://ror.org/03w6mvs43,US,Tempe,Western International University,education
1.7514642008542922,https://ror.org/04cxn3n47,US,"Washington, D.C.",American Institute of Architects,nonprofit
1.7514642008542922,https://ror.org/05fz3qx12,US,College Station,Institute of Nautical Archaeology,nonprofit
1.7511433738228521,https://ror.org/01cswdc74,US,Huntsville,AEgis Technologies (United States),company
1.7486707475208607,https://ror.org/05pj5cg52,US,Alexandria,Close Up Foundation,nonprofit
1.745251403780387,https://ror.org/008e3px62,US,Concordia,Cloud County Community College,education
1.745251403780387,https://ror.org/02sh7hr68,US,El Dorado,Butler Community College,education
1.743375202552795,https://ror.org/00342ps77,US,Cincinnati,Cincinnati Christian University,education
1.743375202552795,https://ror.org/04r2bq949,US,Fort Lauderdale,Kaplan (United States),company
1.7421452509538327,https://ror.org/01s6z0f52,US,Chicago,Catholic Theological Union,education
1.7197205141132024,https://ror.org/01p18bt48,US,Thomasville,Thomas University,education
1.7197205141132024,https://ror.org/055bddn28,US,Tavares,Lake County Schools,education
1.7186203784715888,https://ror.org/0297n1v45,US,Garland,Amberton University,education
1.7151589767409656,https://ror.org/057pedz06,US,Baytown,Lee College,education
1.7099029197276685,https://ror.org/02qeysd40,US,Tacoma,Tacoma Community College,education
1.7085471706144257,https://ror.org/017ph0q89,US,Scranton,The Wright Center for Graduate Medical Education,healthcare
1.7085471706144257,https://ror.org/05nqdns93,US,Los Angeles,Pacific States University,education
1.708223158626203,https://ror.org/00kmqf908,US,East Aurora,Christ the King Seminary,education
1.7057222448349958,https://ror.org/039gx9203,US,Corsicana,Navarro College,education
1.7057222448349958,https://ror.org/03j70bf39,US,Houston,American College of Acupuncture & Oriental Medicine,education
1.7057222448349958,https://ror.org/04jfp6348,US,Fremont,Soraa (United States),company
1.7054035286197406,https://ror.org/00dqq0p30,US,Harlingen,Texas State Technical College Harlingen,education
1.698235575343118,https://ror.org/0145dtj11,US,Santa Monica,University of Santa Monica,education
1.6954222177393647,https://ror.org/05v55dh34,US,York,Memorial Hospital,healthcare
1.6943820885910321,https://ror.org/01nvm2856,US,Laurel,Maryland University of Integrative Health,education
1.685812987210106,https://ror.org/00hrg0j91,US,Washington,The Chicago School of Professional Psychology,education
1.6791985865729404,https://ror.org/00cemh325,US,La Jolla,Sanford Consortium for Regenerative Medicine,facility
1.6791985865729404,https://ror.org/01spfrk28,US,Los Angeles,Columbia College Hollywood,education
1.6735848833357638,https://ror.org/04n4x0209,US,Detroit,College for Creative Studies,education
1.6735848833357638,https://ror.org/051kxxw69,US,Pensacola,Pensacola State College,education
1.6735848833357638,https://ror.org/05jnjmr07,US,Richmond,Virginia Department of Education,government
1.6658459662070926,https://ror.org/02axqg987,US,Lufkin,Angelina College,education
1.6622361834238606,https://ror.org/00q16t150,US,Dallas,University of Texas Health Science Center at Dallas,education
1.6619123009810162,https://ror.org/03k84rm07,US,Oakland,Center for Environmental Health,facility
1.6619123009810162,https://ror.org/04gdyqq92,US,Charlotte,Charlotte Christian College and Theological Seminary,education
1.6619123009810162,https://ror.org/05v9c7616,US,Winterville,Pitt Community College,education
1.66159698204926,https://ror.org/01vqm0433,US,Washington,Beaufort County Community College,education
1.6615078424635583,https://ror.org/00het1s45,US,Winston-Salem,Forsyth Technical Community College,education
1.6578851079636434,https://ror.org/02dczrr13,US,Atlanta,Boys & Girls Clubs of America,nonprofit
1.6571554112714086,https://ror.org/04sq8k219,US,Louisville,University of Louisville Hospital,healthcare
1.6527854570203098,https://ror.org/01avf0w32,US,Kinston,Lenoir Community College,education
1.6522101602862787,https://ror.org/05rv4p237,US,Aurora,Asian Pacific Development Center,nonprofit
1.6479224174806908,https://ror.org/04y9v0932,US,Phoenix,Argosy University,education
1.639668971516508,https://ror.org/02nwxzm09,US,Lansing,Lansing Community College,education
1.6395963615033549,https://ror.org/051c2tp06,US,Buffalo,Bryant & Stratton College,education
1.6389052152231702,https://ror.org/0369thf37,US,Olney,Illinois Eastern Community Colleges,education
1.6341995025638891,https://ror.org/05gja2q95,US,Phoenix,Phoenix Seminary,education
1.6289943594483969,https://ror.org/052rvpm80,US,Phenix City,Chattahoochee Valley Community College,education
1.6289943594483969,https://ror.org/05htdfq36,US,Brewton,Jefferson Davis Community College,education
1.6289943594483969,https://ror.org/05tqt7092,US,Birmingham,Jefferson State Community College,education
1.6258465203647583,https://ror.org/047jxj944,US,Rochester,Vaccinex (United States),company
1.6244450155977082,https://ror.org/034948b51,US,Decatur,Calhoun Community College,education
1.6219516234855935,https://ror.org/04h9z0906,US,Charlotte,Central Piedmont Community College,education
1.6180140539915626,https://ror.org/01dj44198,US,Snyder,Western Texas College,education
