Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/009ytxb56 -> https://ror.org/009ytxb56,https://ror.org/009ytxb56,https://ror.org/009ytxb56,UY,UY,Montevideo,Montevideo,Asociación Psicoanalítica del Uruguay,Asociación Psicoanalítica del Uruguay,other,other
1,https://ror.org/00jkr8r49 -> https://ror.org/00ysy1705,https://ror.org/00jkr8r49,https://ror.org/00ysy1705,UY,UY,Montevideo,Montevideo,Programa de Desarrollo de las Ciencias Básicas,Ministerio de Educación y Cultura,education,government
3,https://ror.org/00jkr8r49 -> https://ror.org/030bbe882,https://ror.org/00jkr8r49,https://ror.org/030bbe882,UY,UY,Montevideo,Montevideo,Programa de Desarrollo de las Ciencias Básicas,Universidad de la República,education,education
3,https://ror.org/00jkr8r49 -> https://ror.org/04dpm2z73,https://ror.org/00jkr8r49,https://ror.org/04dpm2z73,UY,UY,Montevideo,Montevideo,Programa de Desarrollo de las Ciencias Básicas,Institut Pasteur de Montevideo,education,facility
1,https://ror.org/00ysy1705 -> https://ror.org/04dpm2z73,https://ror.org/00ysy1705,https://ror.org/04dpm2z73,UY,UY,Montevideo,Montevideo,Ministerio de Educación y Cultura,Institut Pasteur de Montevideo,government,facility
7,https://ror.org/019xvpc30 -> https://ror.org/019xvpc30,https://ror.org/019xvpc30,https://ror.org/019xvpc30,UY,UY,Montevideo,Montevideo,Universidad Católica del Uruguay,Universidad Católica del Uruguay,education,education
1,https://ror.org/019xvpc30 -> https://ror.org/030bbe882,https://ror.org/019xvpc30,https://ror.org/030bbe882,UY,UY,Montevideo,Montevideo,Universidad Católica del Uruguay,Universidad de la República,education,education
1,https://ror.org/019xvpc30 -> https://ror.org/03egaj678,https://ror.org/019xvpc30,https://ror.org/03egaj678,UY,UY,Montevideo,Montevideo,Universidad Católica del Uruguay,Agencia Nacional de Investigación e Innovación,education,government
1,https://ror.org/030bbe882 -> https://ror.org/00jkr8r49,https://ror.org/030bbe882,https://ror.org/00jkr8r49,UY,UY,Montevideo,Montevideo,Universidad de la República,Programa de Desarrollo de las Ciencias Básicas,education,education
5,https://ror.org/030bbe882 -> https://ror.org/00ysy1705,https://ror.org/030bbe882,https://ror.org/00ysy1705,UY,UY,Montevideo,Montevideo,Universidad de la República,Ministerio de Educación y Cultura,education,government
2,https://ror.org/030bbe882 -> https://ror.org/019xvpc30,https://ror.org/030bbe882,https://ror.org/019xvpc30,UY,UY,Montevideo,Montevideo,Universidad de la República,Universidad Católica del Uruguay,education,education
1,https://ror.org/030bbe882 -> https://ror.org/0289ggs32,https://ror.org/030bbe882,https://ror.org/0289ggs32,UY,UY,Montevideo,Montevideo,Universidad de la República,Administracion de los Servicios de Salud del Estado,education,healthcare
2,https://ror.org/030bbe882 -> https://ror.org/02sspdz82,https://ror.org/030bbe882,https://ror.org/02sspdz82,UY,UY,Montevideo,Tacuarembó,Universidad de la República,Instituto Nacional de Investigación Agropecuaria,education,government
1,https://ror.org/030bbe882 -> https://ror.org/02yke5x89,https://ror.org/030bbe882,https://ror.org/02yke5x89,UY,UY,Montevideo,Montevideo,Universidad de la República,Universidad de la Empresa,education,education
118,https://ror.org/030bbe882 -> https://ror.org/030bbe882,https://ror.org/030bbe882,https://ror.org/030bbe882,UY,UY,Montevideo,Montevideo,Universidad de la República,Universidad de la República,education,education
1,https://ror.org/030bbe882 -> https://ror.org/038vdm896,https://ror.org/030bbe882,https://ror.org/038vdm896,UY,UY,Montevideo,Montevideo,Universidad de la República,Universidad CLAEH,education,education
2,https://ror.org/030bbe882 -> https://ror.org/03egaj678,https://ror.org/030bbe882,https://ror.org/03egaj678,UY,UY,Montevideo,Montevideo,Universidad de la República,Agencia Nacional de Investigación e Innovación,education,government
5,https://ror.org/030bbe882 -> https://ror.org/03ypykr22,https://ror.org/030bbe882,https://ror.org/03ypykr22,UY,UY,Montevideo,Montevideo,Universidad de la República,Universidad Ort Uruguay,education,education
3,https://ror.org/030bbe882 -> https://ror.org/04dpm2z73,https://ror.org/030bbe882,https://ror.org/04dpm2z73,UY,UY,Montevideo,Montevideo,Universidad de la República,Institut Pasteur de Montevideo,education,facility
1,https://ror.org/030bbe882 -> https://ror.org/04jdthe46,https://ror.org/030bbe882,https://ror.org/04jdthe46,UY,UY,Montevideo,Montevideo,Universidad de la República,Hospital de Clínicas,education,healthcare
2,https://ror.org/030bbe882 -> https://ror.org/053fyjq47,https://ror.org/030bbe882,https://ror.org/053fyjq47,UY,UY,Montevideo,Montevideo,Universidad de la República,"Consejo Nacional de Innovación, Ciencia y Tecnología",education,government
1,https://ror.org/030bbe882 -> https://ror.org/05ef3nj70,https://ror.org/030bbe882,https://ror.org/05ef3nj70,UY,UY,Montevideo,Montevideo,Universidad de la República,Centro Uruguayo de Imagenología Molecular,education,facility
1,https://ror.org/030bbe882 -> https://ror.org/05w626e73,https://ror.org/030bbe882,https://ror.org/05w626e73,UY,UY,Montevideo,Montevideo,Universidad de la República,Universidad de Montevideo,education,education
1,https://ror.org/03egaj678 -> https://ror.org/030bbe882,https://ror.org/03egaj678,https://ror.org/030bbe882,UY,UY,Montevideo,Montevideo,Agencia Nacional de Investigación e Innovación,Universidad de la República,government,education
1,https://ror.org/03ypykr22 -> https://ror.org/030bbe882,https://ror.org/03ypykr22,https://ror.org/030bbe882,UY,UY,Montevideo,Montevideo,Universidad Ort Uruguay,Universidad de la República,education,education
3,https://ror.org/03ypykr22 -> https://ror.org/03ypykr22,https://ror.org/03ypykr22,https://ror.org/03ypykr22,UY,UY,Montevideo,Montevideo,Universidad Ort Uruguay,Universidad Ort Uruguay,education,education
1,https://ror.org/044gxcb75 -> https://ror.org/030bbe882,https://ror.org/044gxcb75,https://ror.org/030bbe882,UY,UY,Montevideo,Montevideo,Hospital Central de las Fuerzas Armadas,Universidad de la República,healthcare,education
1,https://ror.org/04dpm2z73 -> https://ror.org/030bbe882,https://ror.org/04dpm2z73,https://ror.org/030bbe882,UY,UY,Montevideo,Montevideo,Institut Pasteur de Montevideo,Universidad de la República,facility,education
1,https://ror.org/04dpm2z73 -> https://ror.org/03ypykr22,https://ror.org/04dpm2z73,https://ror.org/03ypykr22,UY,UY,Montevideo,Montevideo,Institut Pasteur de Montevideo,Universidad Ort Uruguay,facility,education
2,https://ror.org/05w626e73 -> https://ror.org/03egaj678,https://ror.org/05w626e73,https://ror.org/03egaj678,UY,UY,Montevideo,Montevideo,Universidad de Montevideo,Agencia Nacional de Investigación e Innovación,education,government
6,https://ror.org/05w626e73 -> https://ror.org/05w626e73,https://ror.org/05w626e73,https://ror.org/05w626e73,UY,UY,Montevideo,Montevideo,Universidad de Montevideo,Universidad de Montevideo,education,education
