OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.8203550739706351,https://ror.org/03c824k52,UZ,Samarkand,Samarkand State Medical Institute,healthcare
0.8203506566300925,https://ror.org/05s259e10,UZ,Tashkent,Tashkent Pediatric Medical Institute,healthcare
0.580225797528053,https://ror.org/05sgw3s08,UZ,Tashkent,Tashkent Medical Academy,education
0.1939079335455872,https://ror.org/011647w73,UZ,Tashkent,National University of Uzbekistan,education
0.08632131085049953,https://ror.org/01kt71615,UZ,Tashkent,Tashkent Institute of Textile and Light Industry,education
0.04845247456660517,https://ror.org/01mk88r89,UZ,Jizzakh,Jizzakh branch of the National University of Uzbekistan named after Mirzo Ulugbek,education
0.03154869595164096,https://ror.org/00phht511,UZ,Tashkent,Tashkent Institute of Architecture and Construction,education
0.03144117139309397,https://ror.org/01s4mx151,UZ,Tashkent,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,education
1.4070308165130057e-06,https://ror.org/00ae65a65,UZ,Samarkand,Samarkand Institute of Economics and Service,education
0.0,https://ror.org/00swkht58,UZ,Bukhara,Bukhara State Medical Institute,healthcare
0.0,https://ror.org/00x6wnm78,UZ,Tashkent,Central Asian University,education
0.0,https://ror.org/02etsyv71,UZ,Tashkent,Russian Economic University after G.V. Plekhanov,education
0.0,https://ror.org/03tqe1x88,UZ,Andijon,Andijan Institute of Agricultural,education
-0.0038768923586391738,https://ror.org/045qcpw44,UZ,Tashkent,Tashkent Chemical-Technological Institute,education
-0.0354261719308031,https://ror.org/01xgfaw76,UZ,Tashkent,Academy of Sciences Republic of Uzbekistan,government
-0.16599335405919646,https://ror.org/00k8k8t47,UZ,Namangan,Namangan State University,education
-0.19576100963526488,https://ror.org/00qcztw05,UZ,Tashkent,Ministry of Health of the Republic of Uzbekistan,government
-0.19576100963526488,https://ror.org/02ps8wg39,UZ,Tashkent,Tashkent Institute Of Postgraduate Medical Education,healthcare
-0.23097600455755177,https://ror.org/01bmg2a15,UZ,Tashkent,Tashkent State Technical University named after Islam Karimov,education
-0.2586068823693021,https://ror.org/03d53xe41,UZ,Tashkent,Tashkent State University of Oriental Studies,education
-0.31853712261619005,https://ror.org/043dtk166,UZ,Tashkent,University of World Economy and Diplomacy,education
-0.34096340852525,https://ror.org/05gr4mx33,UZ,Tashkent,Tashkent State Agrarian University,education
-0.3576404818581098,https://ror.org/01x2s7885,UZ,Tashkent,Tashkent State University of Law,education
-0.39078085147866776,https://ror.org/051g1n833,UZ,Tashkent,Tashkent State Pedagogical University named after Nizami,education
-0.4197763023098548,https://ror.org/05awqgz82,UZ,Tashkent,Republican Specialized Scientific and Practical Medical Center of Oncology and Radiology,healthcare
-0.4197763023098548,https://ror.org/035v3tr79,UZ,Tashkent,New Uzbekistan University,education
