Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
6,https://ror.org/00ae65a65 -> https://ror.org/00ae65a65,https://ror.org/00ae65a65,https://ror.org/00ae65a65,UZ,UZ,Samarkand,Samarkand,Samarkand Institute of Economics and Service,Samarkand Institute of Economics and Service,education,education
1,https://ror.org/00ae65a65 -> https://ror.org/02b6gy972,https://ror.org/00ae65a65,https://ror.org/02b6gy972,UZ,UZ,Samarkand,Samarkand,Samarkand Institute of Economics and Service,Samarkand State University named after Sharof Rashidov,education,education
1,https://ror.org/00ae65a65 -> https://ror.org/0350qvj56,https://ror.org/00ae65a65,https://ror.org/0350qvj56,UZ,UZ,Samarkand,Qarshi,Samarkand Institute of Economics and Service,Karshi State University,education,education
2,https://ror.org/00ae65a65 -> https://ror.org/03gc29549,https://ror.org/00ae65a65,https://ror.org/03gc29549,UZ,UZ,Samarkand,Samarkand,Samarkand Institute of Economics and Service,"Samarkand State University of Veterinary Medicine, Livestock and Biotechnologies",education,education
2,https://ror.org/00ae65a65 -> https://ror.org/0593kfr97,https://ror.org/00ae65a65,https://ror.org/0593kfr97,UZ,UZ,Samarkand,Urganch,Samarkand Institute of Economics and Service,Urgench State University,education,education
1,https://ror.org/00ae65a65 -> https://ror.org/059w0gb06,https://ror.org/00ae65a65,https://ror.org/059w0gb06,UZ,UZ,Samarkand,Nukus,Samarkand Institute of Economics and Service,Karakalpak State University,education,education
5,https://ror.org/00bad4666 -> https://ror.org/00bad4666,https://ror.org/00bad4666,https://ror.org/00bad4666,UZ,UZ,Andijon,Andijon,Andijan State University,Andijan State University,education,education
1,https://ror.org/00bad4666 -> https://ror.org/0190ze463,https://ror.org/00bad4666,https://ror.org/0190ze463,UZ,UZ,Andijon,Fergana,Andijan State University,Ferghana State University,education,education
2,https://ror.org/00fds2k14 -> https://ror.org/00fds2k14,https://ror.org/00fds2k14,https://ror.org/00fds2k14,UZ,UZ,Fergana,Fergana,Ferghana Polytechnical Institute,Ferghana Polytechnical Institute,education,education
8,https://ror.org/00jxr5c40 -> https://ror.org/00jxr5c40,https://ror.org/00jxr5c40,https://ror.org/00jxr5c40,UZ,UZ,Tashkent,Tashkent,Tashkent State Transport University,Tashkent State Transport University,education,education
1,https://ror.org/00jxr5c40 -> https://ror.org/03zjy9626,https://ror.org/00jxr5c40,https://ror.org/03zjy9626,UZ,UZ,Tashkent,Jizzax,Tashkent State Transport University,Jizzakh Polytechnic Institute,education,education
1,https://ror.org/00jxr5c40 -> https://ror.org/042xrxv40,https://ror.org/00jxr5c40,https://ror.org/042xrxv40,UZ,UZ,Tashkent,Tashkent,Tashkent State Transport University,Turin Polytechnic University,education,education
7,https://ror.org/00k8k8t47 -> https://ror.org/00k8k8t47,https://ror.org/00k8k8t47,https://ror.org/00k8k8t47,UZ,UZ,Namangan,Namangan,Namangan State University,Namangan State University,education,education
2,https://ror.org/00k8k8t47 -> https://ror.org/017x26m02,https://ror.org/00k8k8t47,https://ror.org/017x26m02,UZ,UZ,Namangan,Tashkent,Namangan State University,Uzbek State University of World Languages,education,education
1,https://ror.org/00k8k8t47 -> https://ror.org/043h9aq51,https://ror.org/00k8k8t47,https://ror.org/043h9aq51,UZ,UZ,Namangan,Tashkent,Namangan State University,Tashkent Islamic University,education,education
4,https://ror.org/00phht511 -> https://ror.org/00phht511,https://ror.org/00phht511,https://ror.org/00phht511,UZ,UZ,Tashkent,Tashkent,Tashkent Institute of Architecture and Construction,Tashkent Institute of Architecture and Construction,education,education
1,https://ror.org/00phht511 -> https://ror.org/0593kfr97,https://ror.org/00phht511,https://ror.org/0593kfr97,UZ,UZ,Tashkent,Urganch,Tashkent Institute of Architecture and Construction,Urgench State University,education,education
1,https://ror.org/00qcztw05 -> https://ror.org/01ga8zd22,https://ror.org/00qcztw05,https://ror.org/01ga8zd22,UZ,UZ,Tashkent,Andijon,Ministry of Health of the Republic of Uzbekistan,Andijan State Medical Institute,government,healthcare
8,https://ror.org/00ste1919 -> https://ror.org/00ste1919,https://ror.org/00ste1919,https://ror.org/00ste1919,UZ,UZ,Tashkent,Tashkent,Tashkent Pharmaceutical Institute,Tashkent Pharmaceutical Institute,education,education
1,https://ror.org/00swkht58 -> https://ror.org/00swkht58,https://ror.org/00swkht58,https://ror.org/00swkht58,UZ,UZ,Bukhara,Bukhara,Bukhara State Medical Institute,Bukhara State Medical Institute,healthcare,healthcare
1,https://ror.org/00x6wnm78 -> https://ror.org/00x6wnm78,https://ror.org/00x6wnm78,https://ror.org/00x6wnm78,UZ,UZ,Tashkent,Tashkent,Central Asian University,Central Asian University,education,education
