OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
1.1852147481341564,https://ror.org/03thbf157,VE,Caracas,Bolivarian University of Venezuela,education
0.8523171809339061,https://ror.org/031h0qv85,VE,Caracas,Universidad Nacional Experimental de las Artes,education
0.6476607667922665,https://ror.org/03951zg45,VE,Caracas,Universidad Nacional Experimental Simón Rodríguez,education
0.5194242373766609,https://ror.org/05kacnm89,VE,Caracas,Central University of Venezuela,education
0.4660804682488148,https://ror.org/051kdrm61,VE,Caracas,Universidad Santa María,education
0.38921713633790267,https://ror.org/049r7sn84,VE,Maracaibo,Universidad Rafael Belloso Chacín,education
0.35854513643250513,https://ror.org/02h1b1x27,VE,Mérida,University of the Andes,education
0.3270602627987347,https://ror.org/05sj7yp62,VE,Valencia,University of Carabobo,education
0.24496844054650563,https://ror.org/04382kq29,VE,Barinas,Universidad Nacional Experimental de los Llanos Occidentales Ezequiel Zamora,education
0.24129803917659506,https://ror.org/031j8q670,VE,Maracaibo,Rafael Urdaneta University,education
0.17453179368295116,https://ror.org/01zstgj41,VE,Cabimas,Universidad Nacional Experimental Rafael María Baralt,education
0.1703195319871735,https://ror.org/04h3gcf69,VE,Maracay,Instituto Nacional de Investigaciones Agricolas,government
0.16533711529420098,https://ror.org/02ntheh91,VE,San Antonio de Los Altos,Instituto Venezolano de Investigaciones Científicas,facility
0.1631298453659163,https://ror.org/03whcj350,VE,Cabudare,University Fermín Toro,education
0.1426535210551239,https://ror.org/03mnvhz29,VE,Barquisimeto,"Universidad Nacional Experimental Politécnica ""Antonio José de Sucre""",education
0.09338038281156975,https://ror.org/009fkxv41,VE,Valencia,Arturo Michelena University,education
0.049943359382149714,https://ror.org/01ak5cj98,VE,Caracas,Simón Bolívar University,education
5.589117773805249e-05,https://ror.org/007fpb915,VE,Caracas,Universidad Católica Andrés Bello,education
0.0,https://ror.org/03wezdz19,VE,San Juan de los Morros,Universidad Nacional Experimental de los Llanos Centrales Rómulo Gallegos,education
-0.06762462871737944,https://ror.org/04vy5s568,VE,Maracaibo,University of Zulia,education
-0.16323346643248401,https://ror.org/04xxs0n60,VE,Turmero,Universidad Bicentenaria de Aragua,education
-0.2341122567767668,https://ror.org/03qgg3111,VE,Barquisimeto,Universidad Centroccidental Lisandro Alvarado,education
-0.3041724943822826,https://ror.org/02ybb5327,VE,Coro,Universidad Nacional Experimental Francisco de Miranda,education
-0.3070172607225555,https://ror.org/024msj675,VE,Barquisimeto,Universidad Yacambú,education
-0.35233279642802107,https://ror.org/02zkjb195,VE,Caracas,Universidad José María Vargas,education
-0.43783215197632264,https://ror.org/02b1w6965,VE,Caracas,Escuela Nacional de Administración y Hacienda Pública-Instituto Universitario de Tecnología,education
-0.48057813077890016,https://ror.org/04yg3w958,VE,Caracas,Centro Médico Docente La Trinidad,nonprofit
-0.48057844139974837,https://ror.org/00vpxhq27,VE,Caracas,Hospital Clínico Universitario de Caracas,healthcare
-0.48057844139974837,https://ror.org/014apwk83,VE,Caracas,Instituto de Estudios Avanzados,government
-0.533944151280752,https://ror.org/030vkw561,VE,Caracas,Universidad Alejandro de Humboldt,education
-0.533944151280752,https://ror.org/040tkk892,VE,Catia La Mar,Universidad Nacional Experimental Marítima del Caribe,education
-0.5691862245088157,https://ror.org/02gz76y84,VE,Caracas,Universidad Nacional Abierta,education
-0.6107831530356514,https://ror.org/04yts9m86,VE,Maracaibo,Universidad Dr. José Gregorio Hernández,education
-0.6107838761062706,https://ror.org/03yzht074,VE,Valera,Universidad Valle del Momboy,education
-0.6223000995827015,https://ror.org/00fr68j09,VE,San Cristóbal,Universidad Nacional Experimental del Táchira,education
-0.6414575043666737,https://ror.org/01vd34q60,VE,El Valle del Espíritu Santo,Universidad de Margarita,education
-0.6414575043666737,https://ror.org/050yqvv05,VE,Caracas,Fondo Nacional de Ciencia Tecnología e Innovación,government
-0.6729412402357312,https://ror.org/03d6w0229,VE,Valencia,Universidad José Antonio Páez,education
-0.6932180921542036,https://ror.org/046np5693,VE,Caracas,Metropolitan University,education
-0.7741017777423851,https://ror.org/00qseeb08,VE,Ciudad Guayana,Universidad Nacional Experimental de Guayana,education
-0.8346640538549448,https://ror.org/023kaz366,VE,Caracas,Provita,nonprofit
-0.8392041147661754,https://ror.org/01cbeee29,VE,Maracaibo,Universidad Católica Cecilio Acosta,education
-0.9055534491986147,https://ror.org/03sm7xj72,VE,San Felipe,Universidad Nacional Experimental del Yaracuy,education
-0.9999473672031562,https://ror.org/017qtn133,VE,Caracas,Universidad Monteávila,education
