Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
4,https://ror.org/007fpb915 -> https://ror.org/007fpb915,https://ror.org/007fpb915,https://ror.org/007fpb915,VE,VE,Caracas,Caracas,Universidad Católica Andrés Bello,Universidad Católica Andrés Bello,education,education
1,https://ror.org/007fpb915 -> https://ror.org/017qtn133,https://ror.org/007fpb915,https://ror.org/017qtn133,VE,VE,Caracas,Caracas,Universidad Católica Andrés Bello,Universidad Monteávila,education,education
1,https://ror.org/007fpb915 -> https://ror.org/02ntheh91,https://ror.org/007fpb915,https://ror.org/02ntheh91,VE,VE,Caracas,San Antonio de Los Altos,Universidad Católica Andrés Bello,Instituto Venezolano de Investigaciones Científicas,education,facility
3,https://ror.org/007fpb915 -> https://ror.org/046np5693,https://ror.org/007fpb915,https://ror.org/046np5693,VE,VE,Caracas,Caracas,Universidad Católica Andrés Bello,Metropolitan University,education,education
1,https://ror.org/007fpb915 -> https://ror.org/04xxs0n60,https://ror.org/007fpb915,https://ror.org/04xxs0n60,VE,VE,Caracas,Turmero,Universidad Católica Andrés Bello,Universidad Bicentenaria de Aragua,education,education
2,https://ror.org/007fpb915 -> https://ror.org/05kacnm89,https://ror.org/007fpb915,https://ror.org/05kacnm89,VE,VE,Caracas,Caracas,Universidad Católica Andrés Bello,Central University of Venezuela,education,education
1,https://ror.org/009fkxv41 -> https://ror.org/009fkxv41,https://ror.org/009fkxv41,https://ror.org/009fkxv41,VE,VE,Valencia,Valencia,Arturo Michelena University,Arturo Michelena University,education,education
1,https://ror.org/009fkxv41 -> https://ror.org/031j8q670,https://ror.org/009fkxv41,https://ror.org/031j8q670,VE,VE,Valencia,Maracaibo,Arturo Michelena University,Rafael Urdaneta University,education,education
1,https://ror.org/00qseeb08 -> https://ror.org/00qseeb08,https://ror.org/00qseeb08,https://ror.org/00qseeb08,VE,VE,Ciudad Guayana,Ciudad Guayana,Universidad Nacional Experimental de Guayana,Universidad Nacional Experimental de Guayana,education,education
3,https://ror.org/01ak5cj98 -> https://ror.org/01ak5cj98,https://ror.org/01ak5cj98,https://ror.org/01ak5cj98,VE,VE,Caracas,Caracas,Simón Bolívar University,Simón Bolívar University,education,education
1,https://ror.org/01ak5cj98 -> https://ror.org/02ntheh91,https://ror.org/01ak5cj98,https://ror.org/02ntheh91,VE,VE,Caracas,San Antonio de Los Altos,Simón Bolívar University,Instituto Venezolano de Investigaciones Científicas,education,facility
1,https://ror.org/01ak5cj98 -> https://ror.org/04vy5s568,https://ror.org/01ak5cj98,https://ror.org/04vy5s568,VE,VE,Caracas,Maracaibo,Simón Bolívar University,University of Zulia,education,education
2,https://ror.org/01ak5cj98 -> https://ror.org/05kacnm89,https://ror.org/01ak5cj98,https://ror.org/05kacnm89,VE,VE,Caracas,Caracas,Simón Bolívar University,Central University of Venezuela,education,education
5,https://ror.org/01zstgj41 -> https://ror.org/01zstgj41,https://ror.org/01zstgj41,https://ror.org/01zstgj41,VE,VE,Cabimas,Cabimas,Universidad Nacional Experimental Rafael María Baralt,Universidad Nacional Experimental Rafael María Baralt,education,education
1,https://ror.org/01zstgj41 -> https://ror.org/02ntheh91,https://ror.org/01zstgj41,https://ror.org/02ntheh91,VE,VE,Cabimas,San Antonio de Los Altos,Universidad Nacional Experimental Rafael María Baralt,Instituto Venezolano de Investigaciones Científicas,education,facility
1,https://ror.org/01zstgj41 -> https://ror.org/049r7sn84,https://ror.org/01zstgj41,https://ror.org/049r7sn84,VE,VE,Cabimas,Maracaibo,Universidad Nacional Experimental Rafael María Baralt,Universidad Rafael Belloso Chacín,education,education
2,https://ror.org/01zstgj41 -> https://ror.org/04vy5s568,https://ror.org/01zstgj41,https://ror.org/04vy5s568,VE,VE,Cabimas,Maracaibo,Universidad Nacional Experimental Rafael María Baralt,University of Zulia,education,education
1,https://ror.org/01zstgj41 -> https://ror.org/04xxs0n60,https://ror.org/01zstgj41,https://ror.org/04xxs0n60,VE,VE,Cabimas,Turmero,Universidad Nacional Experimental Rafael María Baralt,Universidad Bicentenaria de Aragua,education,education
4,https://ror.org/024msj675 -> https://ror.org/024msj675,https://ror.org/024msj675,https://ror.org/024msj675,VE,VE,Barquisimeto,Barquisimeto,Universidad Yacambú,Universidad Yacambú,education,education
1,https://ror.org/024msj675 -> https://ror.org/03sm7xj72,https://ror.org/024msj675,https://ror.org/03sm7xj72,VE,VE,Barquisimeto,San Felipe,Universidad Yacambú,Universidad Nacional Experimental del Yaracuy,education,education
1,https://ror.org/024msj675 -> https://ror.org/04h3gcf69,https://ror.org/024msj675,https://ror.org/04h3gcf69,VE,VE,Barquisimeto,Maracay,Universidad Yacambú,Instituto Nacional de Investigaciones Agricolas,education,government
