Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
3,https://ror.org/001ydh096 -> https://ror.org/001ydh096,https://ror.org/001ydh096,https://ror.org/001ydh096,VN,VN,Da Nang,Da Nang,Da Nang University of Technology,Da Nang University of Technology,education,education
9,https://ror.org/003g49r03 -> https://ror.org/003g49r03,https://ror.org/003g49r03,https://ror.org/003g49r03,VN,VN,Ho Chi Minh City,Ho Chi Minh City,Pham Ngoc Thach University of Medicine,Pham Ngoc Thach University of Medicine,education,education
2,https://ror.org/003g49r03 -> https://ror.org/00waaqh38,https://ror.org/003g49r03,https://ror.org/00waaqh38,VN,VN,Ho Chi Minh City,Ho Chi Minh City,Pham Ngoc Thach University of Medicine,Vietnam National University Ho Chi Minh City,education,education
1,https://ror.org/003g49r03 -> https://ror.org/01n2t3x97,https://ror.org/003g49r03,https://ror.org/01n2t3x97,VN,VN,Ho Chi Minh City,Hanoi,Pham Ngoc Thach University of Medicine,Hanoi Medical University,education,education
4,https://ror.org/003g49r03 -> https://ror.org/025kb2624,https://ror.org/003g49r03,https://ror.org/025kb2624,VN,VN,Ho Chi Minh City,Ho Chi Minh City,Pham Ngoc Thach University of Medicine,Ho Chi Minh City Medicine and Pharmacy University,education,education
1,https://ror.org/003g49r03 -> https://ror.org/05rehad94,https://ror.org/003g49r03,https://ror.org/05rehad94,VN,VN,Ho Chi Minh City,Ho Chi Minh City,Pham Ngoc Thach University of Medicine,Oxford University Clinical Research Unit,education,facility
5,https://ror.org/006qk6d61 -> https://ror.org/006qk6d61,https://ror.org/006qk6d61,https://ror.org/006qk6d61,VN,VN,Hanoi,Hanoi,University of Transport and Communications,University of Transport and Communications,education,education
1,https://ror.org/006qk6d61 -> https://ror.org/00waaqh38,https://ror.org/006qk6d61,https://ror.org/00waaqh38,VN,VN,Hanoi,Ho Chi Minh City,University of Transport and Communications,Vietnam National University Ho Chi Minh City,education,education
2,https://ror.org/006qk6d61 -> https://ror.org/021xbwv17,https://ror.org/006qk6d61,https://ror.org/021xbwv17,VN,VN,Hanoi,Hanoi,University of Transport and Communications,National Economics University,education,education
33,https://ror.org/0071qz696 -> https://ror.org/0071qz696,https://ror.org/0071qz696,https://ror.org/0071qz696,VN,VN,Can Tho,Can Tho,Can Tho University,Can Tho University,education,education
1,https://ror.org/0071qz696 -> https://ror.org/00waaqh38,https://ror.org/0071qz696,https://ror.org/00waaqh38,VN,VN,Can Tho,Ho Chi Minh City,Can Tho University,Vietnam National University Ho Chi Minh City,education,education
1,https://ror.org/0071qz696 -> https://ror.org/010yce376,https://ror.org/0071qz696,https://ror.org/010yce376,VN,VN,Can Tho,Ho Chi Minh City,Can Tho University,University of Economics Ho Chi Minh City,education,education
5,https://ror.org/0071qz696 -> https://ror.org/023pm6532,https://ror.org/0071qz696,https://ror.org/023pm6532,VN,VN,Can Tho,Long Xuyên,Can Tho University,An Giang University,education,education
1,https://ror.org/0071qz696 -> https://ror.org/05ghhgs79,https://ror.org/0071qz696,https://ror.org/05ghhgs79,VN,VN,Can Tho,Trà Vinh,Can Tho University,Tra Vinh University,education,education
2,https://ror.org/00dd6af44 -> https://ror.org/0360g3z42,https://ror.org/00dd6af44,https://ror.org/0360g3z42,VN,VN,Hanoi,Hanoi,Thang Long University,Hanoi National University of Education,education,education
1,https://ror.org/00gjkwr85 -> https://ror.org/01z1bn264,https://ror.org/00gjkwr85,https://ror.org/01z1bn264,VN,VN,Hanoi,Hanoi,Hanoi Open University,University of Languages and International Studies,education,education
1,https://ror.org/00n8yb347 -> https://ror.org/025kb2624,https://ror.org/00n8yb347,https://ror.org/025kb2624,VN,VN,Ho Chi Minh City,Ho Chi Minh City,Cho Ray Hospital,Ho Chi Minh City Medicine and Pharmacy University,healthcare,education
1,https://ror.org/00qaa6j11 -> https://ror.org/001ydh096,https://ror.org/00qaa6j11,https://ror.org/001ydh096,VN,VN,Huế,Da Nang,Hue University,Da Nang University of Technology,education,education
