Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
5,https://ror.org/00033n668 -> https://ror.org/00033n668,https://ror.org/00033n668,https://ror.org/00033n668,XK,XK,Pristina,Pristina,University for Business and Technology,University for Business and Technology,education,education
2,https://ror.org/00033n668 -> https://ror.org/05t3p2g92,https://ror.org/00033n668,https://ror.org/05t3p2g92,XK,XK,Pristina,Pristina,University for Business and Technology,University of Prishtina,education,education
2,https://ror.org/01jrt3n05 -> https://ror.org/01jrt3n05,https://ror.org/01jrt3n05,https://ror.org/01jrt3n05,XK,XK,Peć,Peć,"University ""Haxhi Zeka""","University ""Haxhi Zeka""",education,education
4,https://ror.org/0395pak08 -> https://ror.org/0395pak08,https://ror.org/0395pak08,https://ror.org/0395pak08,XK,XK,Pristina,Pristina,AAB College,AAB College,education,education
1,https://ror.org/050p80d78 -> https://ror.org/050p80d78,https://ror.org/050p80d78,https://ror.org/050p80d78,XK,XK,Mitrovica,Mitrovica,University of Priština - Kosovska Mitrovica,University of Priština - Kosovska Mitrovica,education,education
1,https://ror.org/05bdz9q12 -> https://ror.org/05bdz9q12,https://ror.org/05bdz9q12,https://ror.org/05bdz9q12,XK,XK,Pristina,Pristina,Fama College,Fama College,education,education
1,https://ror.org/05bdz9q12 -> https://ror.org/05t3p2g92,https://ror.org/05bdz9q12,https://ror.org/05t3p2g92,XK,XK,Pristina,Pristina,Fama College,University of Prishtina,education,education
1,https://ror.org/05t3p2g92 -> https://ror.org/00033n668,https://ror.org/05t3p2g92,https://ror.org/00033n668,XK,XK,Pristina,Pristina,University of Prishtina,University for Business and Technology,education,education
1,https://ror.org/05t3p2g92 -> https://ror.org/0395pak08,https://ror.org/05t3p2g92,https://ror.org/0395pak08,XK,XK,Pristina,Pristina,University of Prishtina,AAB College,education,education
1,https://ror.org/05t3p2g92 -> https://ror.org/04g3dmm81,https://ror.org/05t3p2g92,https://ror.org/04g3dmm81,XK,XK,Pristina,Gjakova,University of Prishtina,Universiteti i Gjakovës “Fehmi Agani”,education,education
54,https://ror.org/05t3p2g92 -> https://ror.org/05t3p2g92,https://ror.org/05t3p2g92,https://ror.org/05t3p2g92,XK,XK,Pristina,Pristina,University of Prishtina,University of Prishtina,education,education
