Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
20,https://ror.org/003hsr719 -> https://ror.org/003hsr719,https://ror.org/003hsr719,https://ror.org/003hsr719,ZA,ZA,Pretoria,Pretoria,Sefako Makgatho Health Sciences University,Sefako Makgatho Health Sciences University,education,education
3,https://ror.org/003hsr719 -> https://ror.org/010f1sq29,https://ror.org/003hsr719,https://ror.org/010f1sq29,ZA,ZA,Pretoria,Potchefstroom,Sefako Makgatho Health Sciences University,North-West University,education,education
1,https://ror.org/003hsr719 -> https://ror.org/016sewp10,https://ror.org/003hsr719,https://ror.org/016sewp10,ZA,ZA,Pretoria,Grahamstown,Sefako Makgatho Health Sciences University,Rhodes University,education,education
3,https://ror.org/003hsr719 -> https://ror.org/017p87168,https://ror.org/003hsr719,https://ror.org/017p87168,ZA,ZA,Pretoria,Polokwane,Sefako Makgatho Health Sciences University,University of Limpopo,education,education
2,https://ror.org/003hsr719 -> https://ror.org/0338xea48,https://ror.org/003hsr719,https://ror.org/0338xea48,ZA,ZA,Pretoria,Thohoyandou,Sefako Makgatho Health Sciences University,University of Venda,education,education
1,https://ror.org/003hsr719 -> https://ror.org/037mrss42,https://ror.org/003hsr719,https://ror.org/037mrss42,ZA,ZA,Pretoria,Pretoria,Sefako Makgatho Health Sciences University,Tshwane University of Technology,education,education
1,https://ror.org/003hsr719 -> https://ror.org/03p74gp79,https://ror.org/003hsr719,https://ror.org/03p74gp79,ZA,ZA,Pretoria,Rondebosch,Sefako Makgatho Health Sciences University,University of Cape Town,education,education
1,https://ror.org/003hsr719 -> https://ror.org/03v8ter60,https://ror.org/003hsr719,https://ror.org/03v8ter60,ZA,ZA,Pretoria,Empangeni,Sefako Makgatho Health Sciences University,University of Zululand,education,education
1,https://ror.org/003hsr719 -> https://ror.org/05q60vz69,https://ror.org/003hsr719,https://ror.org/05q60vz69,ZA,ZA,Pretoria,Cape Town,Sefako Makgatho Health Sciences University,South African Medical Research Council,education,other
3,https://ror.org/0047q0d34 -> https://ror.org/0047q0d34,https://ror.org/0047q0d34,https://ror.org/0047q0d34,ZA,ZA,Johannesburg,Johannesburg,South African Theological Seminary,South African Theological Seminary,education,education
1,https://ror.org/0047q0d34 -> https://ror.org/0303y7a51,https://ror.org/0047q0d34,https://ror.org/0303y7a51,ZA,ZA,Johannesburg,Durban,South African Theological Seminary,Durban University of Technology,education,education
1,https://ror.org/005r3tp02 -> https://ror.org/048cwvf49,https://ror.org/005r3tp02,https://ror.org/048cwvf49,ZA,ZA,Pretoria,Pretoria,South African National Biodiversity Institute,University of South Africa,facility,education
1,https://ror.org/009xwd568 -> https://ror.org/005r3tp02,https://ror.org/009xwd568,https://ror.org/005r3tp02,ZA,ZA,Bloemfontein,Pretoria,University of the Free State,South African National Biodiversity Institute,education,facility
371,https://ror.org/009xwd568 -> https://ror.org/009xwd568,https://ror.org/009xwd568,https://ror.org/009xwd568,ZA,ZA,Bloemfontein,Bloemfontein,University of the Free State,University of the Free State,education,education
16,https://ror.org/009xwd568 -> https://ror.org/00g0p6g84,https://ror.org/009xwd568,https://ror.org/00g0p6g84,ZA,ZA,Bloemfontein,Pretoria,University of the Free State,University of Pretoria,education,education
2,https://ror.org/009xwd568 -> https://ror.org/00h2vm590,https://ror.org/009xwd568,https://ror.org/00h2vm590,ZA,ZA,Bloemfontein,Cape Town,University of the Free State,University of the Western Cape,education,education
1,https://ror.org/009xwd568 -> https://ror.org/00znvbk37,https://ror.org/009xwd568,https://ror.org/00znvbk37,ZA,ZA,Bloemfontein,Johannesburg,University of the Free State,National Health Laboratory Service,education,government
19,https://ror.org/009xwd568 -> https://ror.org/010f1sq29,https://ror.org/009xwd568,https://ror.org/010f1sq29,ZA,ZA,Bloemfontein,Potchefstroom,University of the Free State,North-West University,education,education
6,https://ror.org/009xwd568 -> https://ror.org/016sewp10,https://ror.org/009xwd568,https://ror.org/016sewp10,ZA,ZA,Bloemfontein,Grahamstown,University of the Free State,Rhodes University,education,education
1,https://ror.org/009xwd568 -> https://ror.org/01748j177,https://ror.org/009xwd568,https://ror.org/01748j177,ZA,ZA,Bloemfontein,Pretoria,University of the Free State,Collaborative Africa Budget Reform Initiative,education,other
8,https://ror.org/009xwd568 -> https://ror.org/017p87168,https://ror.org/009xwd568,https://ror.org/017p87168,ZA,ZA,Bloemfontein,Polokwane,University of the Free State,University of Limpopo,education,education
9,https://ror.org/009xwd568 -> https://ror.org/0184vwv17,https://ror.org/009xwd568,https://ror.org/0184vwv17,ZA,ZA,Bloemfontein,Alice,University of the Free State,University of Fort Hare,education,education
1,https://ror.org/009xwd568 -> https://ror.org/01kde9c12,https://ror.org/009xwd568,https://ror.org/01kde9c12,ZA,ZA,Bloemfontein,Pretoria,University of the Free State,Council on Higher Education,education,government
3,https://ror.org/009xwd568 -> https://ror.org/01kn7bc28,https://ror.org/009xwd568,https://ror.org/01kn7bc28,ZA,ZA,Bloemfontein,Kimberley,University of the Free State,Sol Plaatje University,education,education
1,https://ror.org/009xwd568 -> https://ror.org/01scpqc23,https://ror.org/009xwd568,https://ror.org/01scpqc23,ZA,ZA,Bloemfontein,Johannesburg,University of the Free State,Mapungubwe Institute for Strategic Reflection,education,facility
2,https://ror.org/009xwd568 -> https://ror.org/02svzjn28,https://ror.org/009xwd568,https://ror.org/02svzjn28,ZA,ZA,Bloemfontein,Mthatha,University of the Free State,Walter Sisulu University,education,education
1,https://ror.org/009xwd568 -> https://ror.org/0303y7a51,https://ror.org/009xwd568,https://ror.org/0303y7a51,ZA,ZA,Bloemfontein,Durban,University of the Free State,Durban University of Technology,education,education
3,https://ror.org/009xwd568 -> https://ror.org/0338xea48,https://ror.org/009xwd568,https://ror.org/0338xea48,ZA,ZA,Bloemfontein,Thohoyandou,University of the Free State,University of Venda,education,education
8,https://ror.org/009xwd568 -> https://ror.org/033z08192,https://ror.org/009xwd568,https://ror.org/033z08192,ZA,ZA,Bloemfontein,Bloemfontein,University of the Free State,Central University of Technology,education,education
