OrgSpringRank,OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType
0.0002400198428945332,https://ror.org/04xrk2k91,ZM,Lusaka,University of Africa,education
-1.1472461141417673e-06,https://ror.org/002z77y34,ZM,Kitwe,Copperstone University,education
-0.1156793530202237,https://ror.org/01z6f4063,ZM,Lusaka,DMI St. Eugene University,education
-0.517532263481031,https://ror.org/00603mc70,ZM,Lusaka,University of Lusaka,education
-0.999777227617133,https://ror.org/00vz50m28,ZM,Lusaka,Zambian Open University,education
-1.1156965520280278,https://ror.org/03gh19d69,ZM,Lusaka,University of Zambia,education
-1.2207212225633064,https://ror.org/01frwjw20,ZM,Lusaka,Chreso Ministries,nonprofit
-1.2207409770612978,https://ror.org/0247acz73,ZM,Lusaka,Cavendish University Zambia,education
-1.325801757833446,https://ror.org/03fgtjr33,ZM,Kitwe,Copperbelt University,education
-1.615692638793607,https://ror.org/02vmcxs72,ZM,Kabwe,Mulungushi University,education
-2.1156793312856412,https://ror.org/04je4qa93,ZM,Lusaka,Zambia National Public Health Institute,government
-2.1156793312856412,https://ror.org/05ervsk64,ZM,Lusaka,Supershine University,education
-2.1156912950841784,https://ror.org/016ayye29,ZM,Lusaka,Lusaka Apex Medical University,education
-2.2207295848784296,https://ror.org/0522zyy65,ZM,Monze,Rusangu University,education
