Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
1,https://ror.org/002z77y34 -> https://ror.org/00vz50m28,https://ror.org/002z77y34,https://ror.org/00vz50m28,ZM,ZM,Kitwe,Lusaka,Copperstone University,Zambian Open University,education,education
2,https://ror.org/00603mc70 -> https://ror.org/03fgtjr33,https://ror.org/00603mc70,https://ror.org/03fgtjr33,ZM,ZM,Lusaka,Kitwe,University of Lusaka,Copperbelt University,education,education
7,https://ror.org/00603mc70 -> https://ror.org/03gh19d69,https://ror.org/00603mc70,https://ror.org/03gh19d69,ZM,ZM,Lusaka,Lusaka,University of Lusaka,University of Zambia,education,education
3,https://ror.org/00vz50m28 -> https://ror.org/00vz50m28,https://ror.org/00vz50m28,https://ror.org/00vz50m28,ZM,ZM,Lusaka,Lusaka,Zambian Open University,Zambian Open University,education,education
1,https://ror.org/00vz50m28 -> https://ror.org/03fgtjr33,https://ror.org/00vz50m28,https://ror.org/03fgtjr33,ZM,ZM,Lusaka,Kitwe,Zambian Open University,Copperbelt University,education,education
2,https://ror.org/00vz50m28 -> https://ror.org/03gh19d69,https://ror.org/00vz50m28,https://ror.org/03gh19d69,ZM,ZM,Lusaka,Lusaka,Zambian Open University,University of Zambia,education,education
2,https://ror.org/01frwjw20 -> https://ror.org/0522zyy65,https://ror.org/01frwjw20,https://ror.org/0522zyy65,ZM,ZM,Lusaka,Monze,Chreso Ministries,Rusangu University,nonprofit,education
1,https://ror.org/01z6f4063 -> https://ror.org/01z6f4063,https://ror.org/01z6f4063,https://ror.org/01z6f4063,ZM,ZM,Lusaka,Lusaka,DMI St. Eugene University,DMI St. Eugene University,education,education
1,https://ror.org/01z6f4063 -> https://ror.org/03gh19d69,https://ror.org/01z6f4063,https://ror.org/03gh19d69,ZM,ZM,Lusaka,Lusaka,DMI St. Eugene University,University of Zambia,education,education
1,https://ror.org/0247acz73 -> https://ror.org/03gh19d69,https://ror.org/0247acz73,https://ror.org/03gh19d69,ZM,ZM,Lusaka,Lusaka,Cavendish University Zambia,University of Zambia,education,education
3,https://ror.org/02vmcxs72 -> https://ror.org/02vmcxs72,https://ror.org/02vmcxs72,https://ror.org/02vmcxs72,ZM,ZM,Kabwe,Kabwe,Mulungushi University,Mulungushi University,education,education
1,https://ror.org/02vmcxs72 -> https://ror.org/03gh19d69,https://ror.org/02vmcxs72,https://ror.org/03gh19d69,ZM,ZM,Kabwe,Lusaka,Mulungushi University,University of Zambia,education,education
1,https://ror.org/03fgtjr33 -> https://ror.org/00vz50m28,https://ror.org/03fgtjr33,https://ror.org/00vz50m28,ZM,ZM,Kitwe,Lusaka,Copperbelt University,Zambian Open University,education,education
1,https://ror.org/03fgtjr33 -> https://ror.org/0247acz73,https://ror.org/03fgtjr33,https://ror.org/0247acz73,ZM,ZM,Kitwe,Lusaka,Copperbelt University,Cavendish University Zambia,education,education
4,https://ror.org/03fgtjr33 -> https://ror.org/03fgtjr33,https://ror.org/03fgtjr33,https://ror.org/03fgtjr33,ZM,ZM,Kitwe,Kitwe,Copperbelt University,Copperbelt University,education,education
4,https://ror.org/03fgtjr33 -> https://ror.org/03gh19d69,https://ror.org/03fgtjr33,https://ror.org/03gh19d69,ZM,ZM,Kitwe,Lusaka,Copperbelt University,University of Zambia,education,education
1,https://ror.org/03fgtjr33 -> https://ror.org/0522zyy65,https://ror.org/03fgtjr33,https://ror.org/0522zyy65,ZM,ZM,Kitwe,Monze,Copperbelt University,Rusangu University,education,education
2,https://ror.org/03gh19d69 -> https://ror.org/00603mc70,https://ror.org/03gh19d69,https://ror.org/00603mc70,ZM,ZM,Lusaka,Lusaka,University of Zambia,University of Lusaka,education,education
1,https://ror.org/03gh19d69 -> https://ror.org/00vz50m28,https://ror.org/03gh19d69,https://ror.org/00vz50m28,ZM,ZM,Lusaka,Lusaka,University of Zambia,Zambian Open University,education,education
3,https://ror.org/03gh19d69 -> https://ror.org/016ayye29,https://ror.org/03gh19d69,https://ror.org/016ayye29,ZM,ZM,Lusaka,Lusaka,University of Zambia,Lusaka Apex Medical University,education,education
3,https://ror.org/03gh19d69 -> https://ror.org/02vmcxs72,https://ror.org/03gh19d69,https://ror.org/02vmcxs72,ZM,ZM,Lusaka,Kabwe,University of Zambia,Mulungushi University,education,education
8,https://ror.org/03gh19d69 -> https://ror.org/03fgtjr33,https://ror.org/03gh19d69,https://ror.org/03fgtjr33,ZM,ZM,Lusaka,Kitwe,University of Zambia,Copperbelt University,education,education
71,https://ror.org/03gh19d69 -> https://ror.org/03gh19d69,https://ror.org/03gh19d69,https://ror.org/03gh19d69,ZM,ZM,Lusaka,Lusaka,University of Zambia,University of Zambia,education,education
1,https://ror.org/03gh19d69 -> https://ror.org/04je4qa93,https://ror.org/03gh19d69,https://ror.org/04je4qa93,ZM,ZM,Lusaka,Lusaka,University of Zambia,Zambia National Public Health Institute,education,government
1,https://ror.org/03gh19d69 -> https://ror.org/0522zyy65,https://ror.org/03gh19d69,https://ror.org/0522zyy65,ZM,ZM,Lusaka,Monze,University of Zambia,Rusangu University,education,education
1,https://ror.org/03gh19d69 -> https://ror.org/05ervsk64,https://ror.org/03gh19d69,https://ror.org/05ervsk64,ZM,ZM,Lusaka,Lusaka,University of Zambia,Supershine University,education,education
1,https://ror.org/04xrk2k91 -> https://ror.org/00vz50m28,https://ror.org/04xrk2k91,https://ror.org/00vz50m28,ZM,ZM,Lusaka,Lusaka,University of Africa,Zambian Open University,education,education
