Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
9,https://ror.org/005f4y685 -> https://ror.org/005f4y685,https://ror.org/005f4y685,https://ror.org/005f4y685,ZW,ZW,Chinhoyi,Chinhoyi,Chinhoyi University of Technology,Chinhoyi University of Technology,education,education
3,https://ror.org/005f4y685 -> https://ror.org/02gv1gw80,https://ror.org/005f4y685,https://ror.org/02gv1gw80,ZW,ZW,Chinhoyi,Gweru,Chinhoyi University of Technology,Midlands State University,education,education
2,https://ror.org/005f4y685 -> https://ror.org/02kesvt12,https://ror.org/005f4y685,https://ror.org/02kesvt12,ZW,ZW,Chinhoyi,Bulawayo,Chinhoyi University of Technology,National University of Science and Technology,education,education
1,https://ror.org/005f4y685 -> https://ror.org/02s5cdn70,https://ror.org/005f4y685,https://ror.org/02s5cdn70,ZW,ZW,Chinhoyi,Gwanda,Chinhoyi University of Technology,Gwanda State University,education,education
1,https://ror.org/005f4y685 -> https://ror.org/042zvmz29,https://ror.org/005f4y685,https://ror.org/042zvmz29,ZW,ZW,Chinhoyi,Bindura,Chinhoyi University of Technology,Bindura University of Science Education,education,education
6,https://ror.org/005f4y685 -> https://ror.org/04ze6rb18,https://ror.org/005f4y685,https://ror.org/04ze6rb18,ZW,ZW,Chinhoyi,Harare,Chinhoyi University of Technology,University of Zimbabwe,education,education
1,https://ror.org/005f4y685 -> https://ror.org/05fzhrv79,https://ror.org/005f4y685,https://ror.org/05fzhrv79,ZW,ZW,Chinhoyi,Bulawayo,Chinhoyi University of Technology,Lupane State University,education,education
1,https://ror.org/005f4y685 -> https://ror.org/05hdq6q33,https://ror.org/005f4y685,https://ror.org/05hdq6q33,ZW,ZW,Chinhoyi,Harare,Chinhoyi University of Technology,Women's University in Africa,education,education
1,https://ror.org/00wn5gw44 -> https://ror.org/00c9gh315,https://ror.org/00wn5gw44,https://ror.org/00c9gh315,ZW,ZW,Masvingo,Bulawayo,Great Zimbabwe University,Solusi University,education,education
3,https://ror.org/00wn5gw44 -> https://ror.org/00wn5gw44,https://ror.org/00wn5gw44,https://ror.org/00wn5gw44,ZW,ZW,Masvingo,Masvingo,Great Zimbabwe University,Great Zimbabwe University,education,education
1,https://ror.org/00wn5gw44 -> https://ror.org/02e7r0h80,https://ror.org/00wn5gw44,https://ror.org/02e7r0h80,ZW,ZW,Masvingo,Harare,Great Zimbabwe University,Harare Institute of Technology,education,education
3,https://ror.org/00wn5gw44 -> https://ror.org/02gv1gw80,https://ror.org/00wn5gw44,https://ror.org/02gv1gw80,ZW,ZW,Masvingo,Gweru,Great Zimbabwe University,Midlands State University,education,education
1,https://ror.org/00wn5gw44 -> https://ror.org/02kesvt12,https://ror.org/00wn5gw44,https://ror.org/02kesvt12,ZW,ZW,Masvingo,Bulawayo,Great Zimbabwe University,National University of Science and Technology,education,education
1,https://ror.org/00wn5gw44 -> https://ror.org/042zvmz29,https://ror.org/00wn5gw44,https://ror.org/042zvmz29,ZW,ZW,Masvingo,Bindura,Great Zimbabwe University,Bindura University of Science Education,education,education
