Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
2,https://ror.org/000e0be47 -> https://ror.org/000e0be47,https://ror.org/000e0be47,https://ror.org/000e0be47,US,US,Evanston,Evanston,Northwestern University,Northwestern University,education,education
1,https://ror.org/000e0be47 -> https://ror.org/00by1q217,https://ror.org/000e0be47,https://ror.org/00by1q217,US,CH,Evanston,Basel,Northwestern University,Roche (Switzerland),education,company
1,https://ror.org/000e0be47 -> https://ror.org/00za53h95,https://ror.org/000e0be47,https://ror.org/00za53h95,US,US,Evanston,Baltimore,Northwestern University,Johns Hopkins University,education,education
1,https://ror.org/000e0be47 -> https://ror.org/013meh722,https://ror.org/000e0be47,https://ror.org/013meh722,US,GB,Evanston,Cambridge,Northwestern University,University of Cambridge,education,education
1,https://ror.org/000e0be47 -> https://ror.org/01c4pz451,https://ror.org/000e0be47,https://ror.org/01c4pz451,US,IR,Evanston,Tehran,Northwestern University,Tehran University of Medical Sciences,education,education
2,https://ror.org/000e0be47 -> https://ror.org/02qz8b764,https://ror.org/000e0be47,https://ror.org/02qz8b764,US,US,Evanston,Cold Spring Harbor,Northwestern University,Cold Spring Harbor Laboratory,education,nonprofit
1,https://ror.org/000e0be47 -> https://ror.org/04fegvg32,https://ror.org/000e0be47,https://ror.org/04fegvg32,US,US,Evanston,North Chicago,Northwestern University,Rosalind Franklin University of Medicine and Science,education,education
1,https://ror.org/000nhpy59 -> https://ror.org/02gfc7t72,https://ror.org/000nhpy59,https://ror.org/02gfc7t72,ES,ES,Alicante,Madrid,Instituto de Neurociencias,Consejo Superior de Investigaciones Científicas,facility,government
1,https://ror.org/000qzf213 -> https://ror.org/040af2s02,https://ror.org/000qzf213,https://ror.org/040af2s02,KR,FI,Daejeon,Helsinki,Korea University of Science and Technology,University of Helsinki,education,education
3,https://ror.org/000xsnr85 -> https://ror.org/000xsnr85,https://ror.org/000xsnr85,https://ror.org/000xsnr85,ES,ES,Leioa,Leioa,University of the Basque Country,University of the Basque Country,education,education
1,https://ror.org/000xsnr85 -> https://ror.org/00pz2fp31,https://ror.org/000xsnr85,https://ror.org/00pz2fp31,ES,ES,Leioa,Vitoria-Gasteiz,University of the Basque Country,Basque Government,education,government
1,https://ror.org/000xsnr85 -> https://ror.org/01a2wsa50,https://ror.org/000xsnr85,https://ror.org/01a2wsa50,ES,ES,Leioa,Donostia / San Sebastian,University of the Basque Country,Biogipuzkoa Health Research Institute,education,facility
1,https://ror.org/000xsnr85 -> https://ror.org/03czfpz43,https://ror.org/000xsnr85,https://ror.org/03czfpz43,ES,US,Leioa,Atlanta,University of the Basque Country,Emory University,education,education
1,https://ror.org/000xsnr85 -> https://ror.org/04f6hmf16,https://ror.org/000xsnr85,https://ror.org/04f6hmf16,ES,FR,Leioa,Montpellier,University of the Basque Country,Languedoc-Roussillon Universities,education,other
1,https://ror.org/000xsnr85 -> https://ror.org/05n3asa33,https://ror.org/000xsnr85,https://ror.org/05n3asa33,ES,ES,Leioa,Málaga,University of the Basque Country,Instituto de Investigación Biomédica de Málaga,education,facility
2,https://ror.org/001w7jn25 -> https://ror.org/001w7jn25,https://ror.org/001w7jn25,https://ror.org/001w7jn25,DE,DE,Berlin,Berlin,Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,healthcare,healthcare
1,https://ror.org/001w7jn25 -> https://ror.org/00r1edq15,https://ror.org/001w7jn25,https://ror.org/00r1edq15,DE,DE,Berlin,Greifswald,Charité - Universitätsmedizin Berlin,University of Greifswald,healthcare,education
1,https://ror.org/001w7jn25 -> https://ror.org/043c0p156,https://ror.org/001w7jn25,https://ror.org/043c0p156,DE,NL,Berlin,Amsterdam,Charité - Universitätsmedizin Berlin,Royal Netherlands Academy of Arts and Sciences,healthcare,government
1,https://ror.org/001w7jn25 -> https://ror.org/055f7t516,https://ror.org/001w7jn25,https://ror.org/055f7t516,DE,RU,Berlin,Moscow,Charité - Universitätsmedizin Berlin,National Research University Higher School of Economics,healthcare,education
